,ts_code,name,industry
2694,600687.SH,刚泰控股,黄金
3094,601899.SH,紫金矿业,黄金
2960,601069.SH,西部黄金,黄金
2521,600489.SH,中金黄金,黄金
2389,600311.SH,荣华实业,黄金
699,002237.SZ,恒邦股份,黄金
617,002155.SZ,湖南黄金,黄金
2570,600547.SH,山东黄金,黄金
2928,600988.SH,赤峰黄金,黄金
2769,600766.SH,园城黄金,黄金
2451,600385.SH,山东金泰,黄金
846,002385.SZ,大北农,饲料
38,000048.SZ,*ST康达,饲料
1027,002567.SZ,唐人神,饲料
3307,603363.SH,傲农生物,饲料
251,000702.SZ,正虹科技,饲料
3418,603668.SH,天马科技,饲料
363,000876.SZ,新希望,饲料
2488,600438.SH,通威股份,饲料
1337,002891.SZ,中宠股份,饲料
586,002124.SZ,天邦股份,饲料
562,002100.SZ,天康生物,饲料
2289,600195.SH,中牧股份,饲料
772,002311.SZ,海大集团,饲料
3388,603609.SH,禾丰牧业,饲料
1763,300381.SZ,溢多利,饲料
1008,002548.SZ,金新农,饲料
2048,300673.SZ,佩蒂股份,饲料
619,002157.SZ,正邦科技,饲料
104,000505.SZ,京粮控股,食品
1121,002661.SZ,克明面业,食品
210,000639.SZ,西王食品,食品
122,000529.SZ,广弘控股,食品
437,000972.SZ,ST中基,食品
3354,603536.SH,惠发股份,食品
3299,603345.SH,安井食品,食品
1783,300401.SZ,花园生物,食品
942,002481.SZ,双塔食品,食品
1086,002626.SZ,金达威,食品
2281,600186.SH,莲花健康,食品
1560,300175.SZ,朗源股份,食品
2181,600073.SH,上海梅林,食品
1523,300138.SZ,晨光生物,食品
262,000716.SZ,黑芝麻,食品
2286,600191.SH,华资实业,食品
1110,002650.SZ,加加食品,食品
2377,600298.SH,安琪酵母,食品
1064,002604.SZ,*ST龙力,食品
1531,300146.SZ,汤臣倍健,食品
2898,600929.SH,湖南盐业,食品
1534,300149.SZ,量子生物,食品
2864,600872.SH,中炬高新,食品
2865,600873.SH,梅花生物,食品
3161,603043.SH,广州酒家,食品
3432,603696.SH,安记食品,食品
747,002286.SZ,保龄宝,食品
1300,002852.SZ,道道全,食品
378,000895.SZ,双汇发展,食品
3519,603886.SH,元祖股份,食品
1295,002847.SZ,盐津铺子,食品
1017,002557.SZ,洽洽食品,食品
1289,002840.SZ,华统股份,食品
391,000911.SZ,南宁糖业,食品
678,002216.SZ,三全食品,食品
3140,603020.SH,爱普股份,食品
1270,002820.SZ,桂发祥,食品
2383,600305.SH,恒顺醋业,食品
3146,603027.SH,千禾味业,食品
3176,603079.SH,圣达生物,食品
2742,600737.SH,中粮糖业,食品
377,000893.SZ,*ST东凌,食品
3346,603517.SH,绝味食品,食品
3506,603866.SH,桃李面包,食品
968,002507.SZ,涪陵榨菜,食品
1042,002582.SZ,好想你,食品
2858,600866.SH,星湖科技,食品
3265,603288.SH,海天味业,食品
682,002220.SZ,天宝食品,食品
515,002053.SZ,云南能投,食品
1183,002726.SZ,龙大肉食,食品
956,002495.SZ,佳隆股份,食品
791,002330.SZ,得利斯,食品
1155,002695.SZ,煌上煌,食品
3466,603777.SH,来伊份,食品
976,002515.SZ,金字火腿,食品
1162,002702.SZ,海欣食品,食品
2112,300741.SZ,华宝股份,食品
1669,300285.SZ,国瓷材料,陶瓷
3259,603268.SH,松发股份,陶瓷
1791,300409.SZ,道氏技术,陶瓷
1618,300234.SZ,开尔新材,陶瓷
1474,300089.SZ,文化长城,陶瓷
2245,600145.SH,*ST新亿,陶瓷
3496,603838.SH,四通股份,陶瓷
3103,601939.SH,建设银行,银行
3286,603323.SH,吴江银行,银行
2154,600036.SH,招商银行,银行
3076,601818.SH,光大银行,银行
2137,600016.SH,民生银行,银行
3078,601838.SH,成都银行,银行
2136,600015.SH,华夏银行,银行
3081,601860.SH,紫金银行,银行
1386,002948.SZ,青岛银行,银行
2987,601169.SH,北京银行,银行
2893,600908.SH,无锡银行,银行
1377,002936.SZ,郑州银行,银行
3113,601988.SH,中国银行,银行
2127,600000.SH,浦发银行,银行
3119,601997.SH,贵阳银行,银行
3120,601998.SH,中信银行,银行
1288,002839.SZ,张家港行,银行
1258,002807.SZ,江阴银行,银行
3036,601577.SH,长沙银行,银行
0,000001.SZ,平安银行,银行
604,002142.SZ,宁波银行,银行
2945,601009.SH,南京银行,银行
3009,601288.SH,农业银行,银行
2896,600919.SH,江苏银行,银行
3014,601328.SH,交通银行,银行
3004,601229.SH,上海银行,银行
3027,601398.SH,工商银行,银行
2985,601166.SH,兴业银行,银行
2897,600926.SH,杭州银行,银行
2977,601128.SH,常熟银行,银行
3510,603876.SH,鼎胜新材,铝
188,000612.SZ,焦作万方,铝
2310,600219.SH,南山铝业,铝
1810,300428.SZ,四通新材,铝
962,002501.SZ,利源精制,铝
1274,002824.SZ,和胜股份,铝
3547,603937.SH,丽岛新材,铝
2771,600768.SH,宁波富邦,铝
1000,002540.SZ,亚太科技,铝
3561,603978.SH,深圳新星,铝
622,002160.SZ,常铝股份,铝
794,002333.SZ,罗普斯金,铝
1712,300328.SZ,宜安科技,铝
2613,600595.SH,中孚实业,铝
544,002082.SZ,万邦德,铝
2680,600673.SH,东阳光科,铝
1038,002578.SZ,闽发铝业,铝
2879,600888.SH,新疆众和,铝
840,002379.SZ,宏创控股,铝
3025,601388.SH,怡球资源,铝
3042,601600.SH,中国铝业,铝
1871,300489.SZ,中飞股份,铝
3057,601677.SH,明泰铝业,铝
323,000807.SZ,云铝股份,铝
1721,300337.SZ,银邦股份,铝
665,002203.SZ,海亮股份,铜
401,000923.SZ,河北宣工,铜
2341,600255.SH,梦舟股份,铜
2072,300697.SZ,电工合金,铜
756,002295.SZ,精艺股份,铜
2986,601168.SH,西部矿业,铜
365,000878.SZ,云南铜业,铜
2978,601137.SH,博威合金,铜
633,002171.SZ,楚江新材,铜
2997,601212.SH,白银有色,铜
202,000630.SZ,铜陵有色,铜
3350,603527.SH,众源新材,铜
2522,600490.SH,鹏欣资源,铜
2431,600362.SH,江西铜业,铜
2953,601020.SH,华钰矿业,铅锌
45,000060.SZ,中金岭南,铅锌
180,000603.SZ,盛达矿业,铅锌
94,000426.SZ,兴业矿业,铅锌
2407,600331.SH,宏达股份,铅锌
2905,600961.SH,株冶集团,铅锌
2558,600531.SH,豫光金铅,铅锌
290,000758.SZ,中色股份,铅锌
2527,600497.SH,驰宏锌锗,铅锌
439,000975.SZ,银泰资源,铅锌
576,002114.SZ,罗平锌电,铅锌
241,000688.SZ,国城矿业,铅锌
2413,600338.SH,西藏珠峰,铅锌
284,000751.SZ,锌业股份,铅锌
3016,601333.SH,广深铁路,铁路
2942,601006.SH,大秦铁路,铁路
146,000557.SZ,西部创业,铁路
2229,600125.SH,铁龙物流,铁路
3262,603278.SH,大业股份,钢加工
594,002132.SZ,恒星科技,钢加工
2510,600477.SH,杭萧钢构,钢加工
2955,601028.SH,玉龙股份,钢加工
3270,603300.SH,华铁科技,钢加工
434,000969.SZ,安泰科技,钢加工
948,002487.SZ,大金重工,钢加工
2625,600608.SH,ST沪科,钢加工
1729,300345.SZ,红宇新材,钢加工
939,002478.SZ,常宝股份,钢加工
2526,600496.SH,精工钢构,钢加工
3365,603577.SH,汇金通,钢加工
904,002443.SZ,金洲管道,钢加工
3342,603507.SH,振江股份,钢加工
2262,600165.SH,新日恒力,钢加工
1005,002545.SZ,东方铁塔,钢加工
375,000890.SZ,法尔胜,钢加工
1001,002541.SZ,鸿路钢构,钢加工
2579,600558.SH,大西洋,钢加工
1200,002743.SZ,富煌钢构,钢加工
300,000778.SZ,新兴铸管,钢加工
3147,603028.SH,赛福天,钢加工
3512,603878.SH,武进不锈,钢加工
2930,600992.SH,贵绳股份,钢加工
1292,002843.SZ,泰嘉股份,钢加工
2943,601007.SH,金陵饭店,酒店餐饮
2758,600754.SH,锦江股份,酒店餐饮
95,000428.SZ,华天酒店,酒店餐饮
5,000007.SZ,全新好,酒店餐饮
2653,600640.SH,号百控股,酒店餐饮
118,000524.SZ,岭南控股,酒店餐饮
267,000721.SZ,西安饮食,酒店餐饮
767,002306.SZ,*ST云网,酒店餐饮
648,002186.SZ,全聚德,酒店餐饮
2344,600258.SH,首旅酒店,酒店餐饮
1025,002565.SZ,顺灏股份,造纸
2909,600966.SH,博汇纸业,造纸
98,000488.SZ,晨鸣纸业,造纸
529,002067.SZ,景兴纸业,造纸
3217,603165.SH,荣晟环保,造纸
2907,600963.SH,岳阳林纸,造纸
474,002012.SZ,凯恩股份,造纸
161,000576.SZ,广东甘化,造纸
343,000833.SZ,粤桂股份,造纸
972,002511.SZ,中顺洁柔,造纸
2177,600069.SH,银鸽投资,造纸
2386,600308.SH,华泰股份,造纸
329,000815.SZ,美利云,造纸
764,002303.SZ,美盈森,造纸
2325,600235.SH,民丰特纸,造纸
982,002521.SZ,齐峰新材,造纸
2208,600103.SH,青山纸业,造纸
2587,600567.SH,山鹰纸业,造纸
540,002078.SZ,太阳纸业,造纸
3455,603733.SH,仙鹤股份,造纸
2793,600793.SH,宜宾纸业,造纸
2426,600356.SH,恒丰纸业,造纸
3386,603607.SH,京华激光,造纸
2485,600433.SH,冠豪高新,造纸
1424,300038.SZ,数知科技,通信设备
1414,300028.SZ,金亚科技,通信设备
1886,300504.SZ,天邑股份,通信设备
1896,300514.SZ,友讯达,通信设备
1884,300502.SZ,新易盛,通信设备
319,000801.SZ,四川九洲,通信设备
3412,603660.SH,苏州科达,通信设备
844,002383.SZ,合众思壮,通信设备
845,002384.SZ,东山精密,通信设备
2889,600898.SH,国美通讯,通信设备
1459,300074.SZ,华平股份,通信设备
2517,600485.SH,信威集团,通信设备
1940,300560.SZ,中富通,通信设备
1411,300025.SZ,华星创业,通信设备
757,002296.SZ,辉煌科技,通信设备
2106,300735.SZ,光弘科技,通信设备
774,002313.SZ,日海智能,通信设备
1308,002861.SZ,瀛通通讯,通信设备
2003,300627.SZ,华测导航,通信设备
374,000889.SZ,中嘉博创,通信设备
2004,300628.SZ,亿联网络,通信设备
1296,002848.SZ,高斯贝尔,通信设备
2085,300711.SZ,广哈通信,通信设备
2014,300638.SZ,广和通,通信设备
1316,002869.SZ,金溢科技,通信设备
2084,300710.SZ,万隆光电,通信设备
2073,300698.SZ,万马科技,通信设备
742,002281.SZ,光迅科技,通信设备
2778,600776.SH,东方通信,通信设备
1279,002829.SZ,星网宇达,通信设备
2777,600775.SH,南京熊猫,通信设备
1245,002792.SZ,通宇通讯,通信设备
2767,600764.SH,中国海防,通信设备
2107,300736.SZ,百邦科技,通信设备
1327,002881.SZ,美格智能,通信设备
53,000070.SZ,特发信息,通信设备
3442,603712.SH,七一二,通信设备
3436,603703.SH,盛洋科技,通信设备
830,002369.SZ,卓翼科技,通信设备
514,002052.SZ,同洲电子,通信设备
48,000063.SZ,中兴通讯,通信设备
2684,600677.SH,航天通信,通信设备
2687,600680.SH,*ST上普,通信设备
820,002359.SZ,北讯集团,通信设备
1935,300555.SZ,路通视信,通信设备
345,000836.SZ,富通鑫茂,通信设备
1980,300603.SZ,立昂技术,通信设备
1943,300563.SZ,神宇股份,通信设备
1944,300565.SZ,科信技术,通信设备
1956,300578.SZ,会畅通讯,通信设备
693,002231.SZ,奥维通信,通信设备
1968,300590.SZ,移为通信,通信设备
1371,002929.SZ,润建通信,通信设备
1974,300597.SZ,吉大通信,通信设备
3478,603803.SH,瑞斯康达,通信设备
857,002396.SZ,星网锐捷,通信设备
1464,300079.SZ,数码科技,通信设备
2528,600498.SH,烽火通信,通信设备
1595,300211.SZ,亿通科技,通信设备
3243,603220.SH,贝通信,通信设备
1696,300312.SZ,邦讯技术,通信设备
1706,300322.SZ,硕贝德,通信设备
952,002491.SZ,通鼎互联,通信设备
3285,603322.SH,超讯通信,通信设备
1043,002583.SZ,海能达,通信设备
2583,600562.SH,国睿科技,通信设备
2417,600345.SH,长江通信,通信设备
1737,300353.SZ,东土科技,通信设备
1562,300177.SZ,中海达,通信设备
2292,600198.SH,*ST大唐,通信设备
613,002151.SZ,北斗星通,通信设备
926,002465.SZ,海格通信,通信设备
3327,603421.SH,鼎信通讯,通信设备
1552,300167.SZ,迪威迅,通信设备
3083,601869.SH,长飞光纤,通信设备
1694,300310.SZ,宜通世纪,通信设备
240,000687.SZ,华讯方舟,通信设备
1597,300213.SZ,佳讯飞鸿,通信设备
1007,002547.SZ,春兴精工,通信设备
3179,603083.SH,剑桥科技,通信设备
166,000586.SZ,汇源通信,通信设备
3160,603042.SH,华脉科技,通信设备
1648,300264.SZ,佳创视讯,通信设备
1654,300270.SZ,中威电子,通信设备
577,002115.SZ,三维通信,通信设备
150,000561.SZ,烽火电子,通信设备
479,002017.SZ,东信和平,通信设备
980,002519.SZ,银河电子,通信设备
3199,603118.SH,共进股份,通信设备
2550,600522.SH,中天科技,通信设备
2346,600260.SH,凯乐科技,通信设备
138,000547.SZ,航天发展,通信设备
1683,300299.SZ,富春股份,通信设备
551,002089.SZ,新海宜,通信设备
2750,600745.SH,闻泰科技,通信设备
3360,603559.SH,中通国脉,通信设备
2210,600105.SH,永鼎股份,通信设备
1486,300101.SZ,振芯科技,通信设备
1483,300098.SZ,高新兴,通信设备
3382,603602.SH,纵横通信,通信设备
1519,300134.SZ,大富科技,通信设备
623,002161.SZ,远望谷,通信设备
2234,600130.SH,波导股份,通信设备
907,002446.SZ,盛路通信,通信设备
874,002413.SZ,雷科防务,通信设备
3345,603516.SH,淳中科技,通信设备
2929,600990.SH,四创电子,通信设备
1779,300397.SZ,天和防务,通信设备
1776,300394.SZ,天孚通信,通信设备
1521,300136.SZ,信维通信,通信设备
656,002194.SZ,*ST凡谷,通信设备
2519,600487.SH,亨通光电,通信设备
1875,300493.SZ,润欣科技,通信设备
2979,601138.SH,工业富联,通信设备
440,000976.SZ,华铁股份,运输设备
3284,603321.SH,梅轮电梯,运输设备
3389,603611.SH,诺力股份,运输设备
3195,603111.SH,康尼机电,运输设备
6,000008.SZ,神州高铁,运输设备
1837,300455.SZ,康拓红外,运输设备
2885,600894.SH,广日股份,运输设备
1228,002774.SZ,快意电梯,运输设备
828,002367.SZ,康力电梯,运输设备
2910,600967.SH,内蒙一机,运输设备
1397,300011.SZ,鼎汉技术,运输设备
2525,600495.SH,晋西车轴,运输设备
3066,601766.SH,中国中车,运输设备
3338,603500.SH,祥和实业,运输设备
3424,603680.SH,今创集团,运输设备
2831,600835.SH,上海机电,运输设备
1149,002689.SZ,远大智能,运输设备
1071,002611.SZ,东方精工,轻工机械
671,002209.SZ,达意隆,轻工机械
1558,300173.SZ,智慧松德,轻工机械
743,002282.SZ,博深工具,轻工机械
1824,300442.SZ,普丽盛,轻工机械
32,000039.SZ,中集集团,轻工机械
334,000821.SZ,京山轻机,轻工机械
1579,300195.SZ,长荣股份,轻工机械
905,002444.SZ,巨星科技,轻工机械
1511,300126.SZ,锐奇股份,轻工机械
3441,603711.SH,香飘飘,软饮料
15,000019.SZ,深深宝A,软饮料
2906,600962.SH,国投中鲁,软饮料
349,000848.SZ,承德露露,软饮料
2379,600300.SH,维维股份,软饮料
3211,603156.SH,养元饮品,软饮料
694,002232.SZ,启明信息,软件服务
2332,600242.SH,中昌数据,软件服务
2057,300682.SZ,朗新科技,软件服务
2062,300687.SZ,赛意信息,软件服务
615,002153.SZ,石基信息,软件服务
2053,300678.SZ,中科信息,软件服务
2370,600289.SH,*ST信通,软件服务
715,002253.SZ,川大智胜,软件服务
525,002063.SZ,远光软件,软件服务
2102,300730.SZ,科创信息,软件服务
646,002184.SZ,海得控制,软件服务
2369,600288.SH,大恒科技,软件服务
527,002065.SZ,东华软件,软件服务
709,002247.SZ,聚力文化,软件服务
692,002230.SZ,科大讯飞,软件服务
552,002090.SZ,金智科技,软件服务
535,002073.SZ,软控股份,软件服务
657,002195.SZ,二三四五,软件服务
900,002439.SZ,启明星辰,软件服务
729,002268.SZ,卫士通,软件服务
1613,300229.SZ,拓尔思,软件服务
1619,300235.SZ,方直科技,软件服务
1629,300245.SZ,天玑科技,软件服务
1632,300248.SZ,新开普,软件服务
1633,300249.SZ,依米康,软件服务
1634,300250.SZ,初灵信息,软件服务
1004,002544.SZ,杰赛科技,软件服务
1637,300253.SZ,卫宁健康,软件服务
1655,300271.SZ,华宇软件,软件服务
1659,300275.SZ,梅安森,软件服务
1661,300277.SZ,海联讯,软件服务
1671,300287.SZ,飞利信,软件服务
1672,300288.SZ,朗玛信息,软件服务
1674,300290.SZ,荣科科技,软件服务
1676,300292.SZ,吴通控股,软件服务
1681,300297.SZ,蓝盾股份,软件服务
1684,300300.SZ,汉鼎宇佑,软件服务
1686,300302.SZ,同有科技,软件服务
1695,300311.SZ,任子行,软件服务
1708,300324.SZ,旋极信息,软件服务
1714,300330.SZ,华虹计通,软件服务
1723,300339.SZ,润和软件,软件服务
1732,300348.SZ,长亮科技,软件服务
1733,300349.SZ,金卡智能,软件服务
1736,300352.SZ,北信源,软件服务
935,002474.SZ,榕基软件,软件服务
1615,300231.SZ,银信科技,软件服务
1596,300212.SZ,易华录,软件服务
2049,300674.SZ,宇信科技,软件服务
1593,300209.SZ,天泽信息,软件服务
1231,002777.SZ,久远银海,软件服务
1356,002912.SZ,中新赛克,软件服务
1388,300002.SZ,神州泰岳,软件服务
1396,300010.SZ,立思辰,软件服务
1406,300020.SZ,银江股份,软件服务
1419,300033.SZ,同花顺,软件服务
1422,300036.SZ,超图软件,软件服务
1430,300044.SZ,赛为智能,软件服务
1433,300047.SZ,天源迪科,软件服务
1436,300050.SZ,世纪鼎利,软件服务
1117,002657.SZ,中科金财,软件服务
1450,300065.SZ,海兰信,软件服务
1109,002649.SZ,博彦科技,软件服务
1460,300075.SZ,数字政通,软件服务
1102,002642.SZ,荣之联,软件服务
1470,300085.SZ,银之杰,软件服务
1481,300096.SZ,易联众,软件服务
1069,002609.SZ,捷顺科技,软件服务
1535,300150.SZ,世纪瑞尔,软件服务
1551,300166.SZ,东方国信,软件服务
1553,300168.SZ,万达信息,软件服务
1555,300170.SZ,汉得信息,软件服务
1567,300182.SZ,捷成股份,软件服务
1568,300183.SZ,东软载波,软件服务
1572,300188.SZ,美亚柏科,软件服务
1748,300365.SZ,恒华科技,软件服务
1749,300366.SZ,创意信息,软件服务
1752,300369.SZ,绿盟科技,软件服务
1759,300377.SZ,赢时胜,软件服务
1914,300533.SZ,冰川网络,软件服务
829,002368.SZ,太极股份,软件服务
1922,300541.SZ,先进数通,软件服务
1923,300542.SZ,新晨科技,软件服务
1930,300550.SZ,和仁科技,软件服务
1932,300552.SZ,万集科技,软件服务
1936,300556.SZ,丝路视觉,软件服务
1939,300559.SZ,佳发教育,软件服务
1941,300561.SZ,汇金科技,软件服务
1957,300579.SZ,数字认证,软件服务
792,002331.SZ,皖通科技,软件服务
1966,300588.SZ,熙菱信息,软件服务
1970,300592.SZ,华凯创意,软件服务
1975,300598.SZ,诚迈科技,软件服务
1982,300605.SZ,恒锋信息,软件服务
777,002316.SZ,亚联发展,软件服务
1985,300608.SZ,思特奇,软件服务
2000,300624.SZ,万兴科技,软件服务
759,002298.SZ,中电兴发,软件服务
2010,300634.SZ,彩讯股份,软件服务
2021,300645.SZ,正元智慧,软件服务
2034,300659.SZ,中孚信息,软件服务
741,002280.SZ,联络互动,软件服务
740,002279.SZ,久其软件,软件服务
2038,300663.SZ,科蓝软件,软件服务
1913,300532.SZ,今天国际,软件服务
1912,300531.SZ,优博讯,软件服务
834,002373.SZ,千方科技,软件服务
882,002421.SZ,达实智能,软件服务
1760,300378.SZ,鼎捷软件,软件服务
1761,300379.SZ,东方通,软件服务
1762,300380.SZ,安硕信息,软件服务
1768,300386.SZ,飞天诚信,软件服务
1801,300419.SZ,浩丰科技,软件服务
2472,600410.SH,华胜天成,软件服务
1822,300440.SZ,运达科技,软件服务
1830,300448.SZ,浩云科技,软件服务
1833,300451.SZ,创业软件,软件服务
1836,300454.SZ,深信服,软件服务
1847,300465.SZ,高伟达,软件服务
1850,300468.SZ,四方精创,软件服务
1906,300525.SZ,博思软件,软件服务
1851,300469.SZ,信息发展,软件服务
1861,300479.SZ,神思电子,软件服务
871,002410.SZ,广联达,软件服务
866,002405.SZ,四维图新,软件服务
862,002401.SZ,中远海科,软件服务
1878,300496.SZ,中科创达,软件服务
1890,300508.SZ,维宏股份,软件服务
1895,300513.SZ,恒泰实达,软件服务
