,ts_code,name,industry,WEIGHT_CONTINUOUSLY_FALL_P_CHANGE,WEIGHT_LAST_P_CHANGE,INFLEXION,WEEKLY_WEIGHT_LAST_P_CHANGE
675,002213.SZ,特尔佳,汽车配件,-7.57,0.65,8.22,0.48
3392,603616.SH,韩建河山,其他建材,-6.99,0.28,7.27,5.08
3050,601619.SH,嘉泽新能,新型电力,-6.81,1.42,8.23,14.62
1621,300237.SZ,美晨生态,建筑施工,-5.13,2.09,7.22,9.22
1266,002816.SZ,和科达,专用机械,-4.76,0.61,5.37,4.68
2647,600634.SH,*ST富控,互联网,-4.66,3.49,8.15,4.44
679,002217.SZ,合力泰,元器件,-4.47,0.81,5.28,10.27
1817,300435.SZ,中泰股份,机械基件,-4.43,1.13,5.56,5.86
1701,300317.SZ,珈伟新能,半导体,-4.21,3.22,7.43,2.42
3245,603223.SH,恒通股份,供气供热,-4.17,1.99,6.16,1.59
2751,600746.SH,江苏索普,化工原料,-4.09,0.67,4.76,1.29
934,002473.SZ,*ST圣莱,家用电器,-4.07,2.16,6.23,4.29
2266,600169.SH,太原重工,工程机械,-4.06,0.4,4.46,5.87
124,000531.SZ,穗恒运A,火力发电,-4.03,0.1,4.13,2.05
586,002124.SZ,天邦股份,饲料,-3.75,1.19,4.94,1.95
529,002067.SZ,景兴纸业,造纸,-3.6,0.14,3.74,0.68
1384,002943.SZ,宇晶股份,机床制造,-3.55,7.74,11.29,5.23
1231,002777.SZ,久远银海,软件服务,-3.54,0.54,4.08,1.77
2079,300705.SZ,九典制药,化学制药,-3.51,3.51,7.02,2.24
79,000408.SZ,藏格控股,农药化肥,-3.39,0.53,3.92,2.74
1825,300443.SZ,金雷风电,专用机械,-3.22,0.58,3.8,0.4
1476,300091.SZ,金通灵,机械基件,-3.14,2.2,5.34,3.67
1419,300033.SZ,同花顺,软件服务,-3.06,0.41,3.47,2.77
2404,600328.SH,兰太实业,化工原料,-2.98,0.14,3.12,3.33
1145,002685.SZ,华东重机,工程机械,-2.96,0.1,3.06,2.79
