,ts_code,name,industry,continuously_up,average_p_change,average_turnover_rate,LAST_WEIGHT_P_CHANGE
1190,002733.SZ,雄韬股份,电气设备,7.0,10.896,13.759,47.13
1465,300080.SZ,易成新能,半导体,2.0,29.455,12.891,35.98
2255,600157.SH,永泰能源,煤炭开采,2.0,29.99,6.231,33.99
3245,603220.SH,贝通信,通信设备,2.0,20.249,54.539,27.63
81,000410.SZ,沈阳机床,机床制造,2.0,18.121,6.661,26.31
731,002270.SZ,华明装备,电气设备,4.0,9.071,8.095,23.07
1404,300018.SZ,中元股份,电气设备,2.0,6.69,10.081,22.89
2309,600218.SH,全柴动力,农用机械,2.0,13.998,14.523,22.73
423,000957.SZ,中通客车,汽车整车,2.0,15.214,5.84,21.7
620,002158.SZ,汉钟精机,工程机械,2.0,14.688,8.339,21.59
2008,300632.SZ,光莆股份,半导体,4.0,6.557,19.594,20.25
2613,600595.SH,中孚实业,铝,3.0,14.434,6.603,19.91
269,000723.SZ,美锦能源,焦炭加工,2.0,13.355,11.053,18.85
525,002063.SZ,远光软件,软件服务,3.0,11.008,6.168,18.6
41,000055.SZ,方大集团,其他建材,3.0,14.161,13.074,18.53
1099,002639.SZ,雪人股份,专用机械,2.0,12.69,7.515,18.48
14,000018.SZ,神州长城,装修装饰,2.0,5.258,5.009,16.28
2069,300694.SZ,蠡湖股份,汽车配件,4.0,4.736,36.3,16.22
705,002243.SZ,通产丽星,塑料,6.0,20.433,10.894,16.1
3052,601619.SH,嘉泽新能,新型电力,2.0,9.671,6.391,14.62
2407,600331.SH,宏达股份,铅锌,2.0,16.157,5.375,13.94
2119,300749.SZ,顶固集创,家居用品,2.0,18.28,58.74,13.59
1066,002606.SZ,大连电瓷,电气设备,2.0,10.166,12.801,13.39
560,002098.SZ,浔兴股份,服饰,3.0,8.9,10.396,13.37
605,002143.SZ,印纪传媒,影视音像,2.0,8.027,6.487,12.4
580,002118.SZ,紫鑫药业,中成药,2.0,9.924,5.211,12.28
2271,600175.SH,美都能源,综合类,2.0,10.725,10.428,12.14
912,002451.SZ,摩恩电气,电气设备,5.0,8.875,9.418,12.08
1382,002941.SZ,新疆交建,建筑施工,4.0,13.092,37.61,11.83
1929,300549.SZ,优德精密,专用机械,2.0,9.927,8.097,11.12
320,000802.SZ,北京文化,影视音像,2.0,6.818,5.324,10.87
879,002418.SZ,康盛股份,机械基件,2.0,6.396,6.125,10.43
2049,300674.SZ,宇信科技,软件服务,2.0,14.799,45.397,10.33
679,002217.SZ,合力泰,元器件,2.0,11.563,5.132,10.27
