,ts_code,name,industry,continuously_up,average_turnover_rate,LAST_5DAY_WEIGHT_P_CHANGE,LAST_DAY_P_CHANGE
1025,002565.SZ,顺灏股份,造纸,3.0,18.593,49.58,-5.672
2311,600218.SH,全柴动力,农用机械,3.0,27.222,44.35,-5.973
632,002170.SZ,芭田股份,农药化肥,3.0,16.697,36.69,-10.09
920,002459.SZ,天业通联,工程机械,1.0,10.076,35.28,-3.195
2120,300749.SZ,顶固集创,家居用品,3.0,58.765,32.39,3.396
1482,300096.SZ,易联众,软件服务,3.0,11.064,29.52,-8.371
1378,002937.SZ,兴瑞科技,元器件,3.0,60.265,27.37,5.995
1961,300582.SZ,英飞特,半导体,1.0,15.618,23.37,10.038
2060,300684.SZ,中石科技,化工原料,1.0,17.803,23.23,-9.986
41,000055.SZ,方大集团,其他建材,4.0,9.113,22.12,-1.967
3233,603186.SH,华正新材,元器件,3.0,20.106,21.27,5.33
2364,600280.SH,中央商场,百货,4.0,8.904,21.11,-5.507
305,000785.SZ,武汉中商,百货,3.0,0.124,19.45,9.963
1774,300391.SZ,康跃科技,机械基件,1.0,11.2,18.87,-9.979
3247,603220.SH,贝通信,通信设备,3.0,43.101,17.92,-9.989
1239,002786.SZ,银宝山新,专用机械,4.0,4.203,16.39,-5.233
2276,600178.SH,东安动力,汽车配件,3.0,7.497,16.38,0.886
1928,300547.SZ,川环科技,橡胶,1.0,19.619,16.3,10.025
3141,603017.SH,中衡设计,建筑施工,1.0,9.59,16.1,-9.994
3079,601811.SH,新华文轩,出版业,4.0,13.954,16.08,-9.985
2188,600078.SH,澄星股份,化工原料,4.0,6.75,15.67,-5.027
1659,300274.SZ,阳光电源,电气设备,3.0,5.126,15.01,0.084
2330,600238.SH,*ST椰岛,红黄药酒,4.0,1.922,14.74,-2.164
2123,300752.SZ,隆利科技,元器件,1.0,28.946,14.47,4.783
3569,603985.SH,恒润股份,机械基件,3.0,6.518,13.85,7.557
1210,002755.SZ,东方新星,建筑施工,1.0,3.595,13.59,-2.473
1702,300317.SZ,珈伟新能,半导体,3.0,5.568,13.31,-5.902
654,002192.SZ,融捷股份,专用机械,3.0,2.113,13.16,-3.249
2099,300725.SZ,药石科技,化工原料,1.0,5.198,13.07,1.373
782,002321.SZ,华英农业,农业综合,1.0,5.295,13.02,-0.679
1322,002876.SZ,三利谱,元器件,1.0,3.955,12.87,1.685
458,001696.SZ,宗申动力,摩托车,4.0,5.063,12.82,1.482
2409,600331.SH,宏达股份,铅锌,3.0,4.554,12.8,-4.962
1653,300268.SZ,佳沃股份,农业综合,1.0,6.492,12.5,-1.909
157,000570.SZ,苏常柴A,机械基件,4.0,7.633,12.04,-7.158
1954,300575.SZ,中旗股份,农药化肥,5.0,5.61,11.98,0.561
208,000637.SZ,茂化实华,石油加工,3.0,13.427,11.76,10.108
473,002011.SZ,盾安环境,工程机械,3.0,1.657,11.6,-9.949
412,000936.SZ,华西股份,化纤,3.0,8.862,11.44,-9.971
919,002458.SZ,益生股份,农业综合,3.0,5.028,11.2,1.628
1383,002942.SZ,新农股份,农药化肥,3.0,39.54,11.06,3.241
398,000920.SZ,南方汇通,环境保护,3.0,4.095,10.99,-4.206
2838,600841.SH,上柴股份,机械基件,3.0,4.292,10.93,-6.356
260,000713.SZ,丰乐种业,种植业,4.0,9.606,10.7,-6.81
2745,600738.SH,兰州民百,百货,3.0,4.406,10.68,0.281
2990,601177.SH,杭齿前进,机械基件,2.0,1.104,10.63,-2.14
3150,603027.SH,千禾味业,食品,3.0,4.636,10.62,1.301
191,000616.SZ,海航投资,全国地产,3.0,3.763,10.53,-2.703
3393,603611.SH,诺力股份,运输设备,4.0,2.34,10.47,-1.682
2624,600604.SH,市北高新,园区开发,1.0,8.962,10.43,2.452
1228,002774.SZ,快意电梯,运输设备,1.0,27.367,10.32,-1.139
454,000996.SZ,中国中期,汽车服务,4.0,4.935,10.26,-2.614
2244,600139.SH,西部资源,汽车整车,3.0,3.311,10.24,-2.326
917,002456.SZ,欧菲科技,元器件,1.0,4.292,10.02,0.607
664,002202.SZ,金风科技,电气设备,3.0,2.102,9.98,9.933
1255,002803.SZ,吉宏股份,广告包装,1.0,16.43,9.75,9.994
1675,300290.SZ,荣科科技,软件服务,3.0,7.154,7.12,9.986
2454,600386.SH,北巴传媒,公共交通,4.0,3.651,6.34,10.13
1384,002943.SZ,宇晶股份,机床制造,3.0,46.4,6.13,10.013
1515,300129.SZ,泰胜风能,电气设备,0.0,9.101,5.47,10.0
1126,002666.SZ,德联集团,化工原料,3.0,5.865,4.62,10.072
3494,603822.SH,嘉澳环保,环境保护,5.0,2.962,4.6,10.012
1504,300118.SZ,东方日升,半导体,3.0,2.524,3.72,10.031
2587,600565.SH,迪马股份,全国地产,0.0,0.511,3.21,10.145
798,002337.SZ,赛象科技,化工机械,0.0,8.651,3.03,10.024
2432,600361.SH,华联综超,超市连锁,4.0,1.317,2.67,10.0
750,002289.SZ,宇顺电子,元器件,0.0,3.21,1.15,10.067
1548,300162.SZ,雷曼股份,元器件,0.0,4.74,0.56,10.058
149,000560.SZ,我爱我家,房产服务,0.0,0.995,-1.71,9.955
3283,603315.SH,福鞍股份,机械基件,0.0,1.268,-2.91,10.0
2127,300759.SZ,N康龙,化学制药,0.0,0.072,,43.995
