,ts_code,name,industry,continuously_limit_up,continuously_up,average_p_change,last_p_change,circ_mv
358,000862.SZ,银星能源,新型电力,6.0,6.0,10.064,10.0,264714.3259
1060,002600.SZ,领益智造,元器件,3.0,5.0,6.564,10.0946,519273.9667
3543,603912.SH,佳力图,专用机械,3.0,4.0,8.22,10.0271,175067.2
113,000518.SZ,四环生物,生物制药,3.0,4.0,8.108,10.0946,359307.9569
2782,600776.SH,东方通信,通信设备,3.0,3.0,10.006,9.9802,1590784.1065
2999,601208.SH,东材科技,化工原料,2.0,4.0,6.151,9.9057,291996.066
1927,300545.SZ,联得装备,专用机械,2.0,5.0,5.811,10.0044,115137.1869
1947,300566.SZ,激智科技,元器件,2.0,4.0,6.819,9.97,138753.6527
1515,300128.SZ,锦富技术,元器件,2.0,4.0,7.748,9.9125,401775.1891
1484,300097.SZ,智云股份,电器仪表,2.0,4.0,6.798,10.0167,266030.4474
1317,002870.SZ,香山股份,电器仪表,2.0,4.0,6.145,9.9939,71975.28
1293,002845.SZ,同兴达,元器件,2.0,4.0,6.182,10.0184,132118.0957
2579,600552.SH,凯盛科技,玻璃,2.0,4.0,6.384,10.0478,351386.6414
2717,600707.SH,彩虹股份,元器件,2.0,4.0,6.11,9.9379,683910.1956
848,002387.SZ,维信诺,元器件,2.0,6.0,4.649,9.9707,527631.4778
3580,603996.SH,中新科技,家用电器,2.0,5.0,6.108,9.9664,294747.3
1865,300481.SZ,濮阳惠成,化工原料,2.0,4.0,6.23,10.0219,382535.0304
689,002227.SZ,奥特迅,电气设备,2.0,4.0,6.312,10.017,284993.6244
355,000859.SZ,国风塑业,塑料,2.0,5.0,5.223,10.0,276502.8675
270,000725.SZ,京东方A,元器件,2.0,4.0,6.686,9.9668,11207576.6324
2082,300706.SZ,阿石创,元器件,1.0,4.0,5.371,10.0089,139138.0553
1898,300514.SZ,友讯达,通信设备,1.0,4.0,4.976,10.0276,108022.72
1920,300537.SZ,广信材料,染料涂料,1.0,4.0,4.55,10.0535,95870.7394
3456,603722.SH,阿科力,化工原料,1.0,4.0,4.331,9.9799,89320.89
3333,603416.SH,信捷电气,电气设备,1.0,6.0,2.772,10.0,88131.12
1956,300576.SZ,容大感光,染料涂料,1.0,4.0,4.747,10.0141,62265.6762
1973,300593.SZ,新雷能,电气设备,1.0,5.0,4.703,10.0288,127731.7894
2007,300629.SZ,新劲刚,矿物制品,1.0,4.0,3.39,10.0119,79870.0845
3221,603160.SH,汇顶科技,元器件,1.0,5.0,2.814,10.004,1912516.3244
2048,300671.SZ,富满电子,半导体,1.0,4.0,4.985,10.0315,137109.3089
2053,300676.SZ,华大基因,医疗保健,1.0,5.0,3.46,10.0065,1658761.6831
3024,601360.SH,三六零,互联网,1.0,4.0,4.145,10.0191,915902.7136
2983,601138.SH,工业富联,通信设备,1.0,4.0,4.689,9.9681,1541569.906
2331,600237.SH,铜峰电子,元器件,1.0,4.0,4.588,9.9432,218411.0217
3200,603110.SH,东方材料,染料涂料,1.0,4.0,4.211,9.9907,63966.0361
2333,600239.SH,云南城投,区域地产,1.0,5.0,3.043,9.9042,552356.2967
3181,603078.SH,江化微,化工原料,1.0,4.0,4.165,9.9961,134869.0865
2429,600355.SH,精伦电子,元器件,1.0,4.0,5.958,10.1333,203232.8396
2537,600503.SH,华丽家族,区域地产,1.0,4.0,4.897,10.1227,575222.11
2554,600522.SH,中天科技,通信设备,1.0,4.0,4.01,10.0,2799324.2117
1714,300328.SZ,宜安科技,铝,1.0,6.0,4.272,9.9872,352432.5816
3134,603007.SH,花王股份,建筑施工,1.0,7.0,1.758,10.0125,170844.198
3094,601881.SH,中国银河,证券,1.0,5.0,3.687,10.0629,1074964.5235
2085,300709.SZ,精研科技,元器件,1.0,4.0,4.209,10.0078,160464.737
36,000045.SZ,深纺织A,纺织,1.0,4.0,4.99,10.0,296603.7728
1709,300323.SZ,华灿光电,半导体,1.0,1.0,10.0,10.0,533131.9345
1115,002655.SZ,共达电声,元器件,1.0,4.0,4.476,10.0,253440.0
60,000100.SZ,TCL集团,家用电器,1.0,4.0,4.951,9.901,4258330.756
83,000413.SZ,东旭光电,元器件,1.0,4.0,4.968,9.9558,2417485.1911
128,000536.SZ,华映科技,元器件,1.0,4.0,6.996,10.0,440735.5839
207,000636.SZ,风华高科,元器件,1.0,4.0,4.828,10.0,1102890.2328
272,000727.SZ,华东科技,元器件,1.0,4.0,4.682,10.0629,512864.6175
333,000820.SZ,神雾节能,环境保护,1.0,4.0,6.101,10.0629,151019.883
541,002079.SZ,苏州固锝,半导体,1.0,4.0,5.859,10.0,463447.0905
661,002199.SZ,东晶电子,元器件,1.0,4.0,4.153,10.0,236312.5213
693,002231.SZ,奥维通信,通信设备,1.0,4.0,5.178,10.087,193621.5336
749,002288.SZ,超华科技,元器件,1.0,4.0,5.319,10.0939,375335.9547
787,002326.SZ,永太科技,化工原料,1.0,4.0,4.966,10.0637,465220.6488
866,002405.SZ,四维图新,软件服务,1.0,4.0,4.368,9.9832,2044260.6047
870,002409.SZ,雅克科技,化工原料,1.0,4.0,4.282,10.0069,291933.0439
1037,002577.SZ,雷柏科技,电脑设备,1.0,4.0,4.395,9.9901,312798.3053
1129,002669.SZ,康达新材,化工原料,1.0,4.0,4.629,9.9808,261902.5047
1692,300306.SZ,远方信息,电器仪表,1.0,4.0,4.933,10.0407,119112.4207
1181,002724.SZ,海洋王,半导体,1.0,4.0,4.244,10.0358,203692.9662
1313,002866.SZ,传艺科技,电脑设备,1.0,4.0,5.263,10.0,94009.2047
1362,002919.SZ,名臣健康,日用化工,1.0,4.0,3.792,10.0102,61025.5695
1385,002945.SZ,华林证券,证券,1.0,4.0,5.946,10.0,294030.0
1442,300054.SZ,鼎龙股份,化工原料,1.0,4.0,5.584,9.9462,559651.0657
1445,300057.SZ,万顺股份,广告包装,1.0,4.0,4.665,10.0763,210269.4385
1507,300120.SZ,经纬辉开,电气设备,1.0,5.0,3.778,10.0299,170570.105
1521,300134.SZ,大富科技,通信设备,1.0,4.0,4.509,9.9598,778671.2411
1526,300139.SZ,晓程科技,元器件,1.0,4.0,4.646,10.073,160157.5932
1542,300155.SZ,安居宝,元器件,1.0,4.0,4.556,10.1099,139026.7014
40,000050.SZ,深天马A,元器件,1.0,4.0,6.98,10.0273,2196568.1341
1607,300221.SZ,银禧科技,塑料,1.0,4.0,4.62,10.0917,254023.5012
1642,300256.SZ,星星科技,元器件,1.0,4.0,5.717,10.1266,269795.3353
1649,300263.SZ,隆华科技,专用机械,1.0,4.0,5.792,9.9773,274144.5016
1571,300184.SZ,力源信息,元器件,1.0,4.0,4.576,9.9515,280312.94
