,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,circ_mv
1140,002680.SZ,*ST长生,生物制药,18.0,-4.361,-57.36,97577.2271
552,002090.SZ,金智科技,软件服务,4.0,-0.394,-1.992,421270.0274
3526,603882.SH,金域医学,医疗保健,3.0,-0.403,-1.649,600385.7231
2449,600377.SH,宁沪高速,路桥,3.0,-0.578,-2.3,3710627.7838
944,002483.SZ,润邦股份,工程机械,3.0,-0.739,-2.934,266478.368
1,000002.SZ,万科A,全国地产,2.0,-0.661,-2.053,26425262.517
2157,600033.SH,福建高速,路桥,2.0,0.214,0.633,872719.2
1536,300149.SZ,量子生物,食品,2.0,-1.149,-3.412,665249.5333
3014,601288.SH,农业银行,银行,2.0,-0.526,-1.596,108800458.7445
1775,300391.SZ,康跃科技,机械基件,2.0,-0.624,-1.933,169545.4542
1941,300559.SZ,佳发教育,软件服务,2.0,-0.745,-2.296,288923.5705
1962,300582.SZ,英飞特,半导体,2.0,0.301,0.573,188625.2079
3004,601218.SH,吉鑫科技,机械基件,2.0,-0.888,-2.667,289593.92
2147,600021.SH,上海电力,火力发电,2.0,-0.067,-0.223,765127.0079
2206,600095.SH,哈高科,区域地产,2.0,0.091,0.239,151730.6973
2947,601006.SH,大秦铁路,铁路,2.0,-0.531,-1.609,12725973.5163
2887,600891.SH,秋林集团,百货,2.0,-0.343,-1.042,218911.3791
2882,600886.SH,国投电力,水力发电,2.0,-0.466,-1.4,5734189.7282
2323,600228.SH,ST昌九,化工原料,2.0,-0.252,-0.765,187746.96
2751,600741.SH,华域汽车,汽车配件,2.0,-1.111,-3.565,6396876.9635
2383,600299.SH,安迪苏,化学制药,2.0,-0.634,-1.93,2998365.6232
2508,600466.SH,蓝光发展,区域地产,2.0,-0.421,-1.356,1736750.8764
2652,600634.SH,*ST富控,互联网,2.0,0.26,0.763,151993.2694
3115,601965.SH,中国汽研,汽车服务,2.0,0.045,0.12,802585.1889
3033,601398.SH,工商银行,银行,2.0,-0.632,-1.926,150982839.0218
1126,002666.SZ,德联集团,化工原料,2.0,-0.895,-2.754,203212.2089
972,002511.SZ,中顺洁柔,造纸,2.0,-1.684,-5.065,1013533.3307
96,000429.SZ,粤高速A,路桥,2.0,0.077,0.225,417280.9705
197,000625.SZ,长安汽车,汽车整车,2.0,-1.514,-4.545,3080161.5931
415,000939.SZ,*ST凯迪,新型电力,2.0,0.337,0.99,309856.3218
608,002146.SZ,荣盛发展,全国地产,2.0,-1.046,-3.202,3531456.2471
3307,603345.SH,安井食品,食品,2.0,-0.251,-0.792,446434.7196
3286,603313.SH,梦百合,家居用品,2.0,-0.01,-0.044,185363.1915
865,002404.SZ,嘉欣丝绸,纺织,2.0,-0.257,-0.81,244107.3941
2576,600548.SH,深高速,路桥,2.0,-0.244,-0.738,1350140.6471
1018,002558.SZ,巨人网络,互联网,2.0,-0.387,-1.185,854645.8294
3223,603160.SH,汇顶科技,元器件,1.0,0.89,1.739,1965088.5218
3039,601558.SH,ST锐电,电气设备,1.0,0.013,-0.0,707692.7999
3551,603922.SH,金鸿顺,汽车配件,1.0,0.612,1.179,54944.0
3099,601888.SH,中国国旅,旅游服务,1.0,-0.403,-0.906,11962817.6581
2702,600690.SH,青岛海尔,家用电器,1.0,-1.07,-2.241,9841208.0014
2719,600708.SH,光明地产,全国地产,1.0,-0.109,-0.254,874534.164
3087,601858.SH,中国科传,出版业,1.0,-1.525,-3.14,188023.5
3505,603833.SH,欧派家居,家居用品,1.0,-0.646,-1.377,857526.8113
3083,601818.SH,光大银行,银行,1.0,-0.365,-0.741,16003835.4346
2813,600810.SH,神马股份,化纤,1.0,0.128,0.163,544446.68
2836,600835.SH,上海机电,运输设备,1.0,-0.459,-0.974,1393639.4304
3420,603659.SH,璞泰来,化工原料,1.0,-0.891,-1.877,959029.7833
3322,603377.SH,东方时尚,汽车服务,1.0,-0.087,-0.199,883176.0
2895,600900.SH,长江电力,水力发电,1.0,0.061,0.123,18800708.3783
3006,601225.SH,陕西煤业,煤炭开采,1.0,-0.336,-0.718,8300000.0
2629,600606.SH,绿地控股,全国地产,1.0,0.235,0.45,8152663.438
3289,603318.SH,派思股份,专用机械,1.0,-0.191,-0.392,510746.0918
2955,601016.SH,节能风电,新型电力,1.0,0.941,1.873,1130312.32
3199,603105.SH,芯能科技,电气设备,1.0,-0.53,-1.179,140096.0
3281,603305.SH,旭升股份,汽车配件,1.0,-0.775,-1.655,184160.0369
2985,601139.SH,深圳燃气,供气供热,1.0,-0.156,-0.341,1667132.6026
3020,601328.SH,交通银行,银行,1.0,-0.307,-0.644,24217783.0973
3236,603185.SH,上机数控,机床制造,1.0,0.694,1.361,178290.0
3233,603180.SH,金牌厨柜,家居用品,1.0,-0.855,-1.799,124679.5087
3005,601222.SH,林洋能源,电器仪表,1.0,1.079,2.158,993358.4593
2967,601088.SH,中国神华,煤炭开采,1.0,-0.059,-0.15,32965584.872
2244,600136.SH,当代明诚,影视音像,1.0,0.904,1.781,365805.4605
2565,600533.SH,栖霞建设,区域地产,1.0,0.924,1.84,348600.0
720,002259.SZ,ST升达,供气供热,1.0,0.464,0.922,158484.9487
1402,300014.SZ,亿纬锂能,元器件,1.0,-0.29,-0.679,1557412.6954
1237,002783.SZ,凯龙股份,化工原料,1.0,0.77,1.489,250410.0
1150,002690.SZ,美亚光电,专用机械,1.0,-0.99,-2.076,756610.8434
1054,002594.SZ,比亚迪,汽车整车,1.0,-1.153,-2.364,5988738.6607
1017,002557.SZ,洽洽食品,食品,1.0,-1.347,-2.779,1081938.0
899,002438.SZ,江苏神通,机械基件,1.0,0.008,-0.0,237006.7888
875,002414.SZ,高德红外,电器仪表,1.0,0.126,0.216,1106930.0448
706,002244.SZ,滨江集团,区域地产,1.0,-0.481,-1.0,1070349.9404
2457,600386.SH,北巴传媒,公共交通,1.0,0.03,0.0,331430.4
