,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,circ_mv
1140,002680.SZ,*ST长生,生物制药,19.0,-4.352,-59.137,93511.5093
552,002090.SZ,金智科技,软件服务,5.0,-0.529,-3.177,416177.7523
2147,600021.SH,上海电力,火力发电,3.0,-0.469,-1.897,752289.3064
3307,603345.SH,安井食品,食品,3.0,-0.911,-3.658,433535.5326
2508,600466.SH,蓝光发展,区域地产,3.0,-0.874,-3.559,1697957.4719
944,002483.SZ,润邦股份,工程机械,3.0,-0.739,-2.934,266478.368
1536,300149.SZ,量子生物,食品,3.0,-0.725,-2.882,668895.8462
2882,600886.SH,国投电力,水力发电,3.0,-0.764,-3.034,5639185.4014
2652,600634.SH,*ST富控,互联网,3.0,-0.184,-0.763,149690.3411
1126,002666.SZ,德联集团,化工原料,3.0,-1.052,-4.237,200113.112
74,000401.SZ,冀东水泥,水泥,2.0,-0.971,-2.966,1851075.9189
1841,300457.SZ,赢合科技,专用机械,2.0,-0.995,-3.034,527501.2136
2122,300750.SZ,宁德时代,电气设备,2.0,-0.936,-2.868,1787698.6789
2455,600383.SH,金地集团,全国地产,2.0,-1.345,-4.064,4902837.7592
2629,600606.SH,绿地控股,全国地产,2.0,-0.291,-0.9,8043150.0485
2634,600612.SH,老凤祥,服饰,2.0,-0.956,-2.913,1363571.409
2895,600900.SH,长江电力,水力发电,2.0,-0.143,-0.429,18697154.905
2929,600984.SH,建设机械,工程机械,2.0,-0.442,-1.34,463022.0083
2967,601088.SH,中国神华,煤炭开采,2.0,-0.456,-1.399,32553308.9232
3281,603305.SH,旭升股份,汽车配件,2.0,-0.734,-2.297,182958.0304
3289,603318.SH,派思股份,专用机械,2.0,-1.151,-3.451,495061.763
3322,603377.SH,东方时尚,汽车服务,2.0,-0.546,-1.661,870240.0
3336,603421.SH,鼎信通讯,通信设备,2.0,-3.117,-9.162,135908.1391
3420,603659.SH,璞泰来,化工原料,2.0,-1.333,-4.051,937786.675
1834,300450.SZ,先导智能,专用机械,2.0,-1.645,-4.965,1505386.4504
1593,300207.SZ,欣旺达,元器件,2.0,-1.678,-5.014,1186994.4386
1460,300073.SZ,当升科技,矿物制品,2.0,-1.084,-3.321,1050503.1175
1263,002812.SZ,恩捷股份,广告包装,2.0,-2.366,-6.98,631631.0429
252,000703.SZ,恒逸石化,化纤,2.0,-0.357,-1.098,3071627.6637
378,000895.SZ,双汇发展,食品,2.0,-1.134,-3.415,8211269.7155
494,002032.SZ,苏泊尔,家用电器,2.0,-1.351,-4.028,2945326.2351
625,002163.SZ,中航三鑫,装修装饰,2.0,0.261,0.774,418579.3364
1054,002594.SZ,比亚迪,汽车整车,2.0,-1.22,-3.686,5907670.8924
1425,300037.SZ,新宙邦,化工原料,2.0,-2.157,-6.546,640303.6497
1276,002826.SZ,易明医药,中成药,1.0,0.768,1.509,141693.4022
2304,600207.SH,安彩高科,元器件,1.0,-0.587,-1.195,342240.0
3503,603828.SH,柯利达,装修装饰,1.0,-0.614,-1.259,363495.6
220,000663.SZ,永安林业,林业,1.0,0.096,0.175,127695.1649
136,000545.SZ,金浦钛业,化工原料,1.0,1.18,2.332,336750.4867
296,000767.SZ,漳泽电力,火力发电,1.0,0.596,1.177,751372.1278
320,000802.SZ,北京文化,影视音像,1.0,-1.896,-3.758,533545.3019
1666,300280.SZ,紫天科技,专用机械,1.0,-0.235,-0.475,428672.0
3202,603110.SH,东方材料,染料涂料,1.0,-0.665,-1.343,71785.3139
3055,601616.SH,广电电气,电气设备,1.0,0.52,1.013,373294.425
1383,002942.SZ,新农股份,农药化肥,1.0,0.251,0.442,102150.0
679,002217.SZ,合力泰,元器件,1.0,1.282,2.467,1808292.0104
2922,600977.SH,中国电影,影视音像,1.0,-0.402,-0.823,884790.0
2910,600961.SH,株冶集团,铅锌,1.0,0.488,0.974,437262.6107
1029,002569.SZ,步森股份,服饰,1.0,-4.329,-8.506,166881.2607
1556,300169.SZ,天晟新材,塑料,1.0,-0.359,-0.745,137261.7983
1081,002621.SZ,三垒股份,专用机械,1.0,-0.862,-1.724,570844.3334
1182,002725.SZ,跃岭股份,汽车配件,1.0,1.184,2.205,163684.886
1211,002756.SZ,永兴特钢,特种钢,1.0,-0.618,-1.266,274090.1039
1221,002767.SZ,先锋电子,电器仪表,1.0,0.607,1.196,177789.6465
1287,002838.SZ,道恩股份,塑料,1.0,-0.36,-0.746,150313.4826
2305,600208.SH,新湖中宝,全国地产,1.0,0.005,0.0,2656835.1236
3574,603985.SH,恒润股份,机械基件,1.0,-1.28,-2.617,165934.08
