,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
1140,002680.SZ,*ST长生,生物制药,23.0,-4.14,-62.436,4.73,90026.6083
802,002341.SZ,新纶科技,化工原料,4.0,-3.131,-12.0,6.518,776519.2234
18,000023.SZ,深天地A,其他建材,2.0,-6.09,-11.846,10.0,244210.9824
3545,603909.SH,合诚股份,建筑施工,3.0,-4.056,-11.793,2.893,65800.0
3226,603165.SH,荣晟环保,造纸,3.0,-3.763,-11.026,3.301,90211.968
3001,601208.SH,东材科技,化工原料,4.0,-2.745,-10.645,4.152,361548.777
3195,603098.SH,森特股份,装修装饰,2.0,-5.149,-10.054,2.447,116193.588
1896,300512.SZ,中亚股份,专用机械,4.0,-2.536,-9.907,2.975,123897.2742
2125,300753.SZ,爱朋医疗,医疗保健,3.0,-3.294,-9.69,4.125,90758.6
1642,300256.SZ,星星科技,元器件,3.0,-3.125,-9.155,5.426,316311.7724
1863,300479.SZ,神思电子,软件服务,3.0,-2.999,-8.957,4.439,278560.0
1515,300128.SZ,锦富技术,元器件,2.0,-4.206,-8.349,9.938,565895.5581
3469,603739.SH,蔚蓝生物,农业综合,3.0,-2.832,-8.289,4.792,133594.485
1453,300066.SZ,三川智慧,电器仪表,3.0,-2.725,-8.159,5.239,460175.1527
2581,600552.SH,凯盛科技,玻璃,2.0,-4.046,-7.939,4.478,481246.9219
3136,603006.SH,联明股份,汽车配件,2.0,-4.001,-7.843,1.882,124447.9416
3365,603538.SH,美诺华,化学制药,3.0,-2.5,-7.347,4.577,175788.9
1425,300037.SZ,新宙邦,化工原料,6.0,-1.219,-7.345,8.477,688637.8552
2128,300757.SZ,罗博特科,专用机械,2.0,-3.693,-7.331,5.665,149600.0
3463,603728.SH,鸣志电器,电气设备,3.0,-2.489,-7.285,2.5,252215.6
2019,300641.SZ,正丹股份,化工原料,3.0,-2.226,-6.656,4.1,130453.92
2552,600518.SH,康美药业,中成药,2.0,-3.369,-6.653,6.587,4345950.4704
1607,300221.SZ,银禧科技,塑料,3.0,-2.218,-6.639,4.148,297630.8689
328,000813.SZ,德展健康,化学制药,4.0,-1.674,-6.622,0.709,920645.9706
1078,002618.SZ,丹邦科技,元器件,4.0,-1.671,-6.576,2.98,889822.08
305,000785.SZ,武汉中商,百货,2.0,-3.328,-6.553,4.28,287502.2842
2569,600537.SH,亿晶光电,半导体,4.0,-1.649,-6.516,6.702,468190.9887
1667,300281.SZ,金明精机,专用机械,1.0,-6.51,-6.51,4.444,184798.3358
2682,600666.SH,奥瑞德,元器件,3.0,-2.153,-6.452,10.058,307800.0688
378,000895.SZ,双汇发展,食品,6.0,-1.087,-6.403,2.695,8171681.4324
2266,600162.SH,香江控股,全国地产,3.0,-2.154,-6.391,4.016,770461.6898
2126,300755.SZ,华致酒行,其他商业,3.0,-2.166,-6.37,4.257,172971.337
809,002348.SZ,高乐股份,文教休闲,3.0,-2.057,-6.173,3.158,291291.4874
217,000659.SZ,珠海中富,广告包装,3.0,-2.094,-6.17,3.288,484709.85
2079,300702.SZ,天宇股份,化学制药,4.0,-1.482,-5.842,5.739,142501.2257
1293,002845.SZ,同兴达,元器件,3.0,-1.881,-5.726,3.815,152636.9955
1670,300284.SZ,苏交科,建筑施工,3.0,-1.921,-5.667,7.946,606197.6065
3147,603018.SH,中设集团,建筑施工,4.0,-1.442,-5.652,5.397,548881.9119
1947,300566.SZ,激智科技,元器件,4.0,-1.407,-5.587,4.273,150009.0615
775,002314.SZ,南山控股,区域地产,3.0,-1.869,-5.587,4.438,401737.9076
1712,300326.SZ,凯利泰,医疗保健,4.0,-1.411,-5.55,5.223,623438.5927
