,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,circ_mv
1140,002680.SZ,*ST长生,生物制药,1.0,-60.69,87703.341
780,002319.SZ,乐通股份,染料涂料,10.0,-36.53,228356.6394
61,000150.SZ,宜华健康,医疗保健,8.0,-25.36,678758.9256
804,002343.SZ,慈文传媒,影视音像,8.0,-17.91,361961.3691
817,002356.SZ,赫美集团,其他商业,5.0,-14.85,308313.6961
479,002017.SZ,东信和平,通信设备,8.0,-14.56,477637.4688
802,002341.SZ,新纶科技,化工原料,2.0,-11.77,772142.706
3545,603909.SH,合诚股份,建筑施工,2.0,-11.64,64725.0
819,002358.SZ,森源电气,电气设备,0.0,-11.64,1549543.8266
2125,300753.SZ,爱朋医疗,医疗保健,2.0,-10.4,92455.4
3474,603768.SH,常青股份,汽车配件,8.0,-9.75,90180.75
3365,603538.SH,美诺华,化学制药,2.0,-9.43,178383.24
3337,603421.SH,鼎信通讯,通信设备,4.0,-9.35,133355.3525
3469,603739.SH,蔚蓝生物,农业综合,2.0,-9.11,146973.267
3463,603728.SH,鸣志电器,电气设备,0.0,-8.92,240263.92
2128,300757.SZ,罗博特科,专用机械,2.0,-8.22,143600.0
1425,300037.SZ,新宙邦,化工原料,2.0,-8.04,702839.1424
3293,603321.SH,梅轮电梯,运输设备,8.0,-7.89,104954.4
3199,603103.SH,横店影视,影视音像,10.0,-7.6,127200.0
170,000591.SZ,太阳能,新型电力,2.0,-7.22,784283.0877
1664,300278.SZ,华昌达,专用机械,4.0,-7.13,163248.568
1263,002812.SZ,恩捷股份,广告包装,4.0,-6.93,709520.7692
574,002112.SZ,三变科技,电气设备,5.0,-6.82,124618.1364
2126,300755.SZ,华致酒行,其他商业,2.0,-6.81,171061.011
2504,600459.SH,贵研铂业,小金属,10.0,-6.78,491603.7732
3431,603677.SH,奇精机械,机械基件,10.0,-6.65,81015.5743
3237,603185.SH,上机数控,机床制造,2.0,-6.53,174825.0
2889,600892.SH,大晟文化,影视音像,8.0,-6.44,328597.0923
3504,603828.SH,柯利达,装修装饰,2.0,-6.32,396363.6854
2811,600807.SH,*ST天业,区域地产,7.0,-6.19,321103.5333
2079,300702.SZ,天宇股份,化学制药,2.0,-6.16,137745.9593
3310,603351.SH,威尔药业,化学制药,2.0,-6.07,102066.8708
197,000625.SZ,长安汽车,汽车整车,6.0,-5.95,3283249.1706
800,002339.SZ,积成电子,电气设备,8.0,-5.9,263078.6815
96,000429.SZ,粤高速A,路桥,2.0,-5.89,414936.6954
1670,300284.SZ,苏交科,建筑施工,2.0,-5.57,642112.366
1955,300575.SZ,中旗股份,农药化肥,3.0,-5.56,177801.5993
378,000895.SZ,双汇发展,食品,2.0,-5.47,7944048.8047
2484,600421.SH,ST仰帆,机械基件,0.0,-5.45,166260.0
2870,600872.SH,中炬高新,食品,2.0,-5.43,2507813.8867
1712,300326.SZ,凯利泰,医疗保健,2.0,-5.42,629241.0202
1750,300365.SZ,恒华科技,软件服务,2.0,-5.33,511466.6981
3540,603900.SH,莱绅通灵,服饰,2.0,-5.33,111760.538
328,000813.SZ,德展健康,化学制药,1.0,-5.33,912001.4075
1384,002943.SZ,宇晶股份,机床制造,3.0,-5.32,109125.0
3452,603711.SH,香飘飘,软饮料,2.0,-5.26,95836.3632
1722,300336.SZ,新文化,影视音像,10.0,-5.24,359501.2853
2577,600548.SH,深高速,路桥,2.0,-5.23,1341541.0251
497,002035.SZ,华帝股份,家用电器,2.0,-5.21,843155.8623
500,002038.SZ,双鹭药业,生物制药,2.0,-5.18,1508685.9033
2930,600984.SH,建设机械,工程机械,4.0,-5.16,467738.7011
494,002032.SZ,苏泊尔,家用电器,2.0,-5.15,3243235.527
972,002511.SZ,中顺洁柔,造纸,2.0,-5.07,992156.0769
424,000958.SZ,东方能源,火力发电,9.0,-5.06,461694.7549
1460,300073.SZ,当升科技,矿物制品,2.0,-5.01,1107822.5871
3339,603444.SH,吉比特,互联网,2.0,-4.97,698332.1953
3006,601222.SH,林洋能源,电器仪表,3.0,-4.93,1014344.9057
2752,600741.SH,华域汽车,汽车配件,6.0,-4.88,6724760.2579
825,002364.SZ,中恒电气,电气设备,7.0,-4.88,567905.058
1378,002937.SZ,兴瑞科技,元器件,2.0,-4.84,147660.0
1743,300357.SZ,我武生物,生物制药,2.0,-4.82,1018748.4912
827,002366.SZ,台海核电,专用机械,10.0,-4.78,718444.4382
1841,300457.SZ,赢合科技,专用机械,2.0,-4.76,568676.6681
735,002274.SZ,华昌化工,农药化肥,2.0,-4.71,425851.6048
833,002372.SZ,伟星新材,其他建材,2.0,-4.69,1904961.3128
1168,002709.SZ,天赐材料,化工原料,2.0,-4.69,1114062.0717
883,002422.SZ,科伦药业,化学制药,2.0,-4.68,2447886.847
30,000037.SZ,深南电A,火力发电,10.0,-4.63,247053.7347
3496,603816.SH,顾家家居,家居用品,2.0,-4.6,477576.0
1239,002786.SZ,银宝山新,专用机械,4.0,-4.59,396870.84
1349,002905.SZ,金逸影视,影视音像,10.0,-4.58,100262.4
2131,300760.SZ,迈瑞医疗,医疗保健,3.0,-4.55,1449472.0
1941,300559.SZ,佳发教育,软件服务,6.0,-4.49,342696.5287
3147,603018.SH,中设集团,建筑施工,2.0,-4.45,568032.547
2500,600452.SH,涪陵电力,水力发电,2.0,-4.44,470848.0
2253,600148.SH,长春一东,汽车配件,7.0,-4.4,230813.33
2215,600104.SH,上汽集团,汽车整车,7.0,-4.37,32727266.4782
957,002496.SZ,辉丰股份,农药化肥,8.0,-4.32,284032.8893
1337,002891.SZ,中宠股份,饲料,2.0,-4.31,203416.0609
1391,300003.SZ,乐普医疗,医疗保健,4.0,-4.27,3651832.2373
710,002248.SZ,华东数控,机床制造,2.0,-4.23,280603.0668
3369,603558.SH,健盛集团,纺织,0.0,-4.18,315519.8688
1637,300251.SZ,光线传媒,影视音像,10.0,-4.15,2375028.5343
3397,603608.SH,天创时尚,服饰,8.0,-4.14,138331.9588
3055,601615.SH,明阳智能,机械基件,9.0,-4.09,350668.9
3576,603985.SH,恒润股份,机械基件,4.0,-4.06,172789.76
2127,300756.SZ,中山金马,专用机械,2.0,-4.03,93050.0
1227,002773.SZ,康弘药业,中成药,2.0,-4.03,1896648.7299
793,002332.SZ,仙琚制药,生物制药,2.0,-3.98,632788.5837
2475,600406.SH,国电南瑞,软件服务,3.0,-3.93,4981303.6066
828,002367.SZ,康力电梯,运输设备,7.0,-3.93,431977.9072
944,002483.SZ,润邦股份,工程机械,4.0,-3.92,293998.8039
1150,002690.SZ,美亚光电,专用机械,2.0,-3.88,766105.3109
2153,600027.SH,华电国际,火力发电,2.0,-3.84,3148084.3739
80,000409.SZ,*ST地矿,综合类,8.0,-3.79,199164.9408
2940,600997.SH,开滦股份,煤炭开采,2.0,-3.77,837085.92
2638,600615.SH,丰华股份,小金属,2.0,-3.75,202634.4686
3353,603508.SH,思维列控,软件服务,7.0,-3.74,716000.0
1400,300012.SZ,华测检测,电器仪表,4.0,-3.71,1196209.1925
2398,600315.SH,上海家化,日用化工,2.0,-3.67,2039252.8245
76,000403.SZ,振兴生化,生物制药,2.0,-3.66,766684.2679
3393,603603.SH,博天环境,环境保护,4.0,-3.65,455805.0591
3322,603369.SH,今世缘,白酒,2.0,-3.65,2452547.5
3290,603318.SH,派思股份,专用机械,4.0,-3.63,533669.3416
1804,300420.SZ,五洋停车,机械基件,4.0,-3.61,297939.2955
3500,603822.SH,嘉澳环保,环境保护,4.0,-3.6,136026.5323
2059,300682.SZ,朗新科技,软件服务,2.0,-3.57,302643.8587
968,002507.SZ,涪陵榨菜,食品,2.0,-3.55,1910442.211
109,000513.SZ,丽珠集团,中成药,2.0,-3.55,1473280.5369
1243,002790.SZ,瑞尔特,家居用品,2.0,-3.55,76096.0
1137,002677.SZ,浙江美大,家用电器,2.0,-3.55,351717.7817
3099,601886.SH,江河集团,装修装饰,10.0,-3.52,932472.4
1287,002838.SZ,道恩股份,塑料,1.0,-3.51,154455.3872
2883,600886.SH,国投电力,水力发电,2.0,-3.51,5666329.4947
2200,600086.SH,东方金钰,服饰,7.0,-3.49,598174.2791
1964,300584.SZ,海辰药业,化学制药,2.0,-3.47,123443.5059
589,002127.SZ,南极电商,互联网,6.0,-3.46,1918358.2619
1949,300568.SZ,星源材质,化工原料,2.0,-3.46,384969.6
2384,600299.SH,安迪苏,化学制药,2.0,-3.46,2915226.6838
3350,603505.SH,金石资源,矿物制品,2.0,-3.44,172533.2532
1593,300207.SZ,欣旺达,元器件,4.0,-3.41,1307744.3527
2509,600466.SH,蓝光发展,区域地产,2.0,-3.41,1826274.1174
3109,601928.SH,凤凰传媒,出版业,2.0,-3.41,2119901.7
2635,600612.SH,老凤祥,服饰,2.0,-3.41,1341690.8445
2569,600537.SH,亿晶光电,半导体,9.0,-3.41,457603.7553
3170,603043.SH,广州酒家,食品,4.0,-3.4,381165.4393
2469,600398.SH,海澜之家,服饰,2.0,-3.37,4348989.6704
513,002051.SZ,中工国际,建筑施工,7.0,-3.36,1540161.0378
22,000028.SZ,国药一致,医药商业,2.0,-3.35,1383618.6201
760,002299.SZ,圣农发展,农业综合,8.0,-3.33,3094967.4
2624,600600.SH,青岛啤酒,啤酒,2.0,-3.31,2762777.0595
161,000576.SZ,广东甘化,造纸,7.0,-3.3,328867.7222
1820,300436.SZ,广生堂,化学制药,3.0,-3.3,290308.2777
3382,603587.SH,地素时尚,服饰,2.0,-3.29,147864.0
1070,002610.SZ,爱康科技,电气设备,9.0,-3.28,853009.3938
2867,600869.SH,智慧能源,电气设备,9.0,-3.28,1198450.4828
2755,600744.SH,华银电力,火力发电,9.0,-3.27,270636.4495
1322,002876.SZ,三利谱,元器件,7.0,-3.27,254690.026
232,000678.SZ,襄阳轴承,机械基件,7.0,-3.25,292203.3418
3506,603833.SH,欧派家居,家居用品,2.0,-3.24,893356.879
1886,300502.SZ,新易盛,通信设备,8.0,-3.24,341652.6221
2567,600535.SH,天士力,中成药,2.0,-3.23,3123655.7629
2255,600150.SH,*ST船舶,船舶,7.0,-3.2,1984489.3411
2312,600215.SH,长春经开,园区开发,7.0,-3.19,377141.6657
1296,002848.SZ,高斯贝尔,通信设备,4.0,-3.15,132172.2038
1978,300599.SZ,雄塑科技,塑料,2.0,-3.14,104016.836
