,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,circ_mv
3072,601700.SH,风范股份,电气设备,4.0,-23.96,10.98,1244288.736
819,002358.SZ,森源电气,电气设备,1.0,-23.08,16.37,1490366.1834
705,002243.SZ,通产丽星,塑料,4.0,-22.23,23.23,847776.4248
2785,600776.SH,东方通信,通信设备,4.0,-20.82,40.49,3870844.2591
1317,002870.SZ,香山股份,电器仪表,4.0,-20.72,28.49,114301.88
1968,300587.SZ,天铁股份,橡胶,4.0,-19.81,25.53,107644.3754
2201,600086.SH,东方金钰,服饰,4.0,-19.42,7.1,750359.9614
1877,300492.SZ,山鼎设计,建筑施工,4.0,-18.95,26.89,78915.0914
358,000862.SZ,银星能源,新型电力,5.0,-17.54,8.94,448209.4837
2316,600218.SH,全柴动力,农用机械,5.0,-17.23,14.16,522157.08
1938,300555.SZ,路通视信,通信设备,5.0,-16.79,13.26,123338.0385
355,000859.SZ,国风塑业,塑料,5.0,-16.48,9.0,665381.232
2638,600614.SH,鹏起科技,综合类,4.0,-16.32,7.17,1083736.6508
3534,603888.SH,新华网,互联网,4.0,-15.95,24.06,424586.7719
1128,002668.SZ,奥马电器,家用电器,5.0,-15.91,7.57,495306.1197
1412,300023.SZ,宝德股份,专用机械,5.0,-15.36,8.17,117982.0255
2124,300751.SZ,迈为股份,专用机械,5.0,-15.22,174.0,226200.0
1598,300211.SZ,亿通科技,通信设备,4.0,-15.11,7.74,143734.9579
128,000536.SZ,华映科技,元器件,5.0,-14.71,4.46,893491.2291
195,000622.SZ,恒立实业,汽车配件,4.0,-14.56,8.91,378876.366
1669,300282.SZ,三盛教育,文教休闲,4.0,-13.98,14.82,337051.6053
1382,002941.SZ,新疆交建,建筑施工,5.0,-13.27,39.98,259870.0
1506,300118.SZ,东方日升,半导体,4.0,-13.15,10.06,686635.8386
1007,002547.SZ,春兴精工,通信设备,5.0,-13.09,9.26,738650.2151
1309,002862.SZ,实丰文化,文教休闲,5.0,-12.76,27.87,86842.92
1967,300586.SZ,美联新材,化工原料,4.0,-12.58,15.43,94315.875
2624,600599.SH,熊猫金控,多元金融,5.0,-12.5,15.17,251822.0
639,002177.SZ,御银股份,电脑设备,5.0,-12.36,4.58,295189.8733
2923,600975.SH,新五丰,农业综合,5.0,-12.33,8.18,533888.6277
375,000890.SZ,法尔胜,钢加工,4.0,-12.12,6.6,250551.7423
1963,300582.SZ,英飞特,半导体,4.0,-11.87,16.42,196026.9566
1169,002711.SZ,欧浦智网,仓储物流,4.0,-11.87,4.92,516682.1532
1149,002689.SZ,远大智能,运输设备,5.0,-11.78,6.61,687982.3564
2691,600677.SH,航天通信,通信设备,4.0,-11.78,15.44,642964.9648
2052,300674.SZ,宇信科技,软件服务,5.0,-11.63,40.84,163400.84
1711,300324.SZ,旋极信息,软件服务,4.0,-11.28,8.21,851279.7484
1715,300328.SZ,宜安科技,铝,5.0,-11.19,10.31,423001.1544
3060,601619.SH,嘉泽新能,新型电力,4.0,-11.15,6.19,311824.1519
2629,600604.SH,市北高新,园区开发,4.0,-11.11,17.3,2308139.5448
802,002341.SZ,新纶科技,化工原料,5.0,-10.98,12.36,772767.9228
3465,603728.SH,鸣志电器,电气设备,5.0,-10.89,14.89,261706.64
2820,600816.SH,安信信托,多元金融,4.0,-10.58,8.85,4135170.5951
2498,600446.SH,金证股份,软件服务,5.0,-10.47,26.41,2253328.8882
1661,300274.SZ,阳光电源,电气设备,4.0,-10.46,11.63,1239674.4396
2893,600895.SH,张江高科,园区开发,4.0,-10.42,20.84,3227469.0222
3198,603099.SH,长白山,旅游景点,4.0,-10.39,10.52,280536.84
2545,600509.SH,天富能源,火力发电,5.0,-10.38,5.13,464622.3486
749,002288.SZ,超华科技,元器件,4.0,-10.36,6.15,492178.2774
1052,002592.SZ,八菱科技,汽车配件,5.0,-10.33,19.53,479906.7938
1367,002925.SZ,盈趣科技,元器件,4.0,-10.19,55.27,920359.1628
1216,002761.SZ,多喜爱,纺织,5.0,-10.18,18.18,368965.6743
1465,300077.SZ,国民技术,半导体,5.0,-10.14,9.69,524172.5073
2122,300749.SZ,顶固集创,家居用品,4.0,-10.11,41.14,117249.0
907,002446.SZ,盛路通信,通信设备,4.0,-10.06,10.26,554624.6876
51,000068.SZ,华控赛格,元器件,4.0,-10.01,7.24,728830.1399
938,002477.SZ,雏鹰农牧,农业综合,4.0,-9.96,2.84,559672.155
