,ts_code,name,industry,COL_CURRENT_PRICE,circ_mv
2190,600074.SH,*ST保千,电脑设备,1.32,135439.0134
415,000939.SZ,*ST凯迪,新型电力,1.37,416179.5694
480,002018.SZ,*ST华信,农药化肥,1.41,321173.6665
445,000982.SZ,*ST中绒,纺织,1.5,270756.4919
1140,002680.SZ,*ST长生,生物制药,1.51,87703.341
3043,601558.SH,ST锐电,电气设备,1.54,878908.7998
2760,600747.SH,ST大控,多元金融,1.6,170292.5438
1064,002604.SZ,*ST龙力,食品,1.94,98566.6257
2141,600010.SH,包钢股份,普钢,1.95,6177056.2595
3017,601258.SH,庞大集团,汽车服务,1.99,1301157.202
2151,600022.SH,山东钢铁,普钢,2.02,2211203.0224
724,002263.SZ,*ST东南,塑料,2.04,383185.4604
564,002102.SZ,ST冠福,化学制药,2.08,414238.6117
3186,603077.SH,和邦生物,化工原料,2.17,1916381.2995
2271,600166.SH,福田汽车,汽车整车,2.25,1500779.5403
330,000816.SZ,*ST慧业,农用机械,2.26,301998.7087
2871,600871.SH,*ST油服,石油开采,2.27,2733684.0459
906,002445.SZ,ST中南,影视音像,2.3,300849.2184
2950,601005.SH,重庆钢铁,普钢,2.3,1927509.2654
2674,600654.SH,ST中安,软件服务,2.32,175170.0117
2320,600221.SH,海航控股,空运,2.35,3862460.6411
3099,601880.SH,大连港,港口,2.38,1841125.16
1574,300185.SZ,通裕重工,工程机械,2.38,652460.2629
2509,600462.SH,ST九有,元器件,2.4,128107.2
2393,600307.SH,酒钢宏兴,普钢,2.44,1528259.2115
2289,600186.SH,莲花健康,食品,2.44,259133.9319
1505,300116.SZ,坚瑞沃能,电气设备,2.44,315766.0113
584,002122.SZ,*ST天马,机械基件,2.51,297246.9132
2263,600157.SH,永泰能源,煤炭开采,2.51,3118874.6268
720,002259.SZ,ST升达,供气供热,2.54,183813.5935
1070,002610.SZ,爱康科技,电气设备,2.56,1081041.6079
966,002505.SZ,大康农业,农业综合,2.56,1404255.2832
2406,600321.SH,*ST正源,其他建材,2.58,389721.9
89,000420.SZ,吉林化纤,化纤,2.6,432380.7862
593,002131.SZ,利欧股份,互联网,2.62,1044565.0563
2673,600653.SH,申华控股,汽车服务,2.68,468029.925
2715,600701.SH,*ST工新,综合类,2.69,208711.3254
2470,600397.SH,*ST安煤,煤炭开采,2.72,269269.0879
2469,600396.SH,金山股份,火力发电,2.73,402048.961
165,000585.SZ,*ST东电,电气设备,2.74,166981.348
2562,600527.SH,江南高纤,化纤,2.75,330861.8734
2738,600725.SH,ST云维,焦炭加工,2.76,340161.72
2349,600255.SH,梦舟股份,铜,2.79,493716.6018
2787,600777.SH,新潮能源,综合类,2.8,915072.4444
2739,600726.SH,华电能源,火力发电,2.81,431243.7174
1479,300090.SZ,盛运环保,环境保护,2.82,322048.915
159,000572.SZ,海马汽车,汽车整车,2.83,464728.5134
2268,600162.SH,香江控股,全国地产,2.84,844830.5788
3035,601388.SH,怡球资源,铝,2.84,575213.6
2318,600219.SH,南山铝业,铝,2.85,2789391.7652
202,000630.SZ,铜陵有色,铜,2.86,2734319.9218
223,000667.SZ,美好置业,全国地产,2.86,726416.6427
2803,600795.SH,国电电力,火力发电,2.86,5620013.7837
2549,600512.SH,腾达建设,建筑施工,2.86,439696.2327
3123,601975.SH,ST长油,水运,2.87,544884.4117
1541,300152.SZ,科融环境,环境保护,2.87,204551.7952
2402,600317.SH,营口港,港口,2.87,1857746.1219
2602,600575.SH,皖江物流,水运,2.88,900038.0471
2378,600289.SH,*ST信通,软件服务,2.89,163551.6557
2706,600691.SH,阳煤化工,农药化肥,2.89,507596.9718
493,002031.SZ,巨轮智能,汽车配件,2.9,548278.5887
2279,600175.SH,美都能源,综合类,2.93,718153.9901
2966,601058.SH,赛轮轮胎,汽车配件,2.94,634792.2077
2655,600634.SH,*ST富控,互联网,2.94,169265.2318
112,000517.SZ,荣安地产,区域地产,2.96,898580.4655
2756,600743.SH,华远地产,区域地产,2.97,696791.9596
2319,600220.SH,江苏阳光,纺织,2.98,531435.4171
2467,600393.SH,粤泰股份,全国地产,2.98,294485.2545
237,000683.SZ,远兴能源,化工原料,2.99,854913.912
957,002496.SZ,辉丰股份,农药化肥,2.99,288863.3806
964,002503.SZ,搜于特,服饰,3.0,586259.9952
2399,600313.SH,农发种业,种植业,3.0,305819.1321
2863,600863.SH,内蒙华电,火力发电,3.0,1742352.9891
368,000882.SZ,华联股份,百货,3.02,749610.8517
324,000809.SZ,铁岭新城,区域地产,3.03,249911.7618
701,002239.SZ,奥特佳,汽车配件,3.04,919826.2237
357,000861.SZ,海印股份,房产服务,3.05,602540.8102
14,000018.SZ,神州长城,装修装饰,3.05,303653.3375
2596,600568.SH,中珠医疗,区域地产,3.07,480439.1244
2621,600595.SH,中孚实业,铝,3.07,534652.9037
2946,601000.SH,唐山港,港口,3.08,1716744.5668
2365,600275.SH,ST昌鱼,农业综合,3.09,157230.7065
2274,600169.SH,太原重工,工程机械,3.1,794826.05
379,000897.SZ,津滨发展,区域地产,3.12,504580.3258
