,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,COL_CURRENT_PRICE,COL_INDAY_P_CHANGE,circ_mv
2317,600218.SH,全柴动力,农用机械,2.0,-14.79,12.67,0.04,467212.585
2967,601066.SH,中信建投,证券,2.0,-14.58,27.75,0.05,1110000.0
1321,002875.SZ,安奈儿,服饰,2.0,-13.68,21.98,0.01,85450.547
705,002243.SZ,通产丽星,塑料,2.0,-13.37,21.24,0.02,775151.5825
53,000070.SZ,特发信息,通信设备,2.0,-13.11,16.29,0.06,977899.4986
2423,600340.SH,华夏幸福,区域地产,2.0,-11.91,30.01,0.03,8867795.0737
2208,600094.SH,大名城,区域地产,2.0,-11.84,6.43,0.04,1463856.9906
1065,002605.SZ,姚记扑克,文教休闲,2.0,-10.94,10.4,0.03,278056.714
347,000838.SZ,财信发展,区域地产,2.0,-10.51,4.13,0.01,261086.8997
3198,603098.SH,森特股份,装修装饰,2.0,-10.45,14.26,0.01,106967.112
1,000002.SZ,万科A,全国地产,2.0,-10.24,27.81,0.01,27017887.8896
2333,600235.SH,民丰特纸,造纸,2.0,-10.22,8.65,0.09,303874.5
1541,300152.SZ,科融环境,环境保护,2.0,-10.03,2.9,0.01,206689.9673
2554,600518.SH,康美药业,中成药,2.0,-10.02,10.4,0.01,4579319.6446
2240,600128.SH,弘业股份,商贸代理,2.0,-9.96,10.69,0.03,263794.4575
2710,600695.SH,绿庭投资,多元金融,2.0,-9.94,6.61,0.07,242234.7875
51,000068.SZ,华控赛格,元器件,2.0,-9.83,7.58,0.08,763056.9697
3042,601555.SH,东吴证券,证券,2.0,-9.58,9.71,0.01,2807161.0
2793,600783.SH,鲁信创投,矿物制品,2.0,-9.37,26.28,0.03,1956176.2246
1133,002673.SZ,西部证券,证券,2.0,-9.36,11.19,0.03,3918558.7026
1035,002575.SZ,群兴玩具,文教休闲,2.0,-9.34,9.71,0.01,571647.12
3574,603976.SH,正川股份,医疗保健,2.0,-9.2,20.35,0.01,77940.3738
444,000981.SZ,银亿股份,汽车配件,2.0,-8.89,4.61,0.1,1186759.4916
195,000622.SZ,恒立实业,汽车配件,2.0,-8.87,8.3,0.06,352937.58
2166,600048.SH,保利地产,全国地产,2.0,-8.86,13.25,0.02,15599130.8932
1626,300238.SZ,冠昊生物,医疗保健,2.0,-8.85,13.8,0.01,339469.8046
2207,600093.SH,易见股份,仓储物流,2.0,-8.77,13.95,0.03,1565814.2625
1088,002628.SZ,成都路桥,建筑施工,2.0,-8.75,6.01,0.08,434867.0503
2324,600226.SH,瀚叶股份,农药化肥,2.0,-8.75,4.57,0.07,910741.1357
102,000503.SZ,国新健康,医疗保健,2.0,-8.65,20.44,0.01,1837192.585
