,ts_code,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_CURRENT_PRICE,circ_mv
2243,600131.SH,岷江水电,水力发电,16.12,21.28,867498.2052
3041,601519.SH,大智慧,软件服务,13.74,10.75,2136777.5
1898,300512.SZ,中亚股份,专用机械,12.42,15.26,118760.8294
3073,601700.SH,风范股份,电气设备,11.86,8.59,973446.288
3134,603000.SH,人民网,互联网,11.85,27.76,3069398.3715
817,002356.SZ,赫美集团,其他商业,11.56,15.16,728042.9334
18,000023.SZ,深天地A,其他建材,10.24,15.28,212019.5347
1206,002750.SZ,龙津药业,中成药,10.22,17.5,695254.5705
2967,601066.SH,中信建投,证券,9.9,28.43,1137200.0
1669,300281.SZ,金明精机,专用机械,9.88,6.4,167760.1914
479,002017.SZ,东信和平,通信设备,9.69,17.65,788047.9383
124,000531.SZ,穗恒运A,火力发电,9.37,6.94,475446.0183
637,002175.SZ,东方网络,电器仪表,9.19,7.64,457951.328
3229,603165.SH,荣晟环保,造纸,9.16,19.47,86353.344
2583,600552.SH,凯盛科技,玻璃,8.99,5.99,457566.5178
919,002458.SZ,益生股份,农业综合,8.92,43.45,907293.7407
3022,601319.SH,中国人保,保险,8.71,9.61,971801.64
3004,601208.SH,东材科技,化工原料,8.67,5.17,323952.717
355,000859.SZ,国风塑业,塑料,8.47,7.39,546351.9227
1474,300085.SZ,银之杰,软件服务,8.46,17.39,719270.5846
2630,600604.SH,市北高新,园区开发,8.41,18.23,2432218.7227
3056,601608.SH,中信重工,专用机械,8.25,5.11,2217443.2587
1939,300555.SZ,路通视信,通信设备,8.19,11.1,103246.7743
3092,601860.SH,紫金银行,银行,7.94,9.22,337533.9557
619,002157.SZ,正邦科技,饲料,7.87,15.34,3326328.4993
1993,300612.SZ,宣亚国际,广告包装,7.79,23.68,107359.0698
1757,300370.SZ,安控科技,电器仪表,7.72,6.27,447652.8165
884,002423.SZ,中原特钢,特种钢,7.67,11.24,565356.9125
2786,600776.SH,东方通信,通信设备,7.66,32.61,3117516.2087
696,002234.SZ,民和股份,农业综合,7.59,31.97,611120.166
705,002243.SZ,通产丽星,塑料,7.58,19.12,697782.4039
