,ts_code,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_CURRENT_PRICE,circ_mv
817,002356.SZ,赫美集团,其他商业,12.15,15.0,0.0,16.68,801039.3225
1206,002750.SZ,龙津药业,中成药,9.81,20.0,0.0,19.25,764780.0276
2673,600651.SH,飞乐音响,电器仪表,6.42,20.0,0.0,6.85,674875.7014
2205,600088.SH,中视传媒,影视音像,4.74,19.0,0.0,16.83,669339.8712
2381,600290.SH,华仪电气,电气设备,4.14,20.0,0.0,8.43,640598.6598
2651,600624.SH,复旦复华,综合类,4.1,20.0,0.0,10.99,752498.499
2825,600818.SH,中路股份,文教休闲,3.56,20.0,0.0,19.35,460448.5559
3258,603222.SH,济民制药,化学制药,3.49,17.0,0.0,25.48,815360.0
444,000981.SZ,银亿股份,汽车配件,3.45,20.0,0.0,4.77,1227948.5412
2488,600421.SH,ST仰帆,机械基件,3.38,11.0,0.0,11.58,226504.8
236,000682.SZ,东方电子,电气设备,3.35,20.0,0.0,6.2,606370.6144
1407,300016.SZ,北陆药业,中成药,3.28,20.0,0.0,11.89,475230.6383
2190,600072.SH,中船科技,船舶,3.21,18.0,0.0,11.85,711922.8425
261,000715.SZ,中兴商业,百货,3.19,20.0,0.0,9.88,275222.8069
1973,300590.SZ,移为通信,通信设备,3.19,17.0,0.0,44.3,429710.0
3266,603233.SH,大参林,医药商业,3.18,4.0,0.0,46.71,299650.1478
2362,600268.SH,国电南自,电气设备,2.96,20.0,0.0,7.89,501209.4364
218,000661.SZ,长春高新,生物制药,2.96,18.0,0.0,288.99,4913056.7416
2896,600895.SH,张江高科,园区开发,2.96,20.0,0.0,25.32,3921281.9406
2183,600064.SH,南京高科,园区开发,2.95,20.0,0.0,12.72,1572137.1615
1858,300471.SZ,厚普股份,专用机械,2.92,20.0,0.0,9.35,255509.7875
1796,300409.SZ,道氏技术,陶瓷,2.89,19.0,0.0,21.56,506664.1309
1962,300579.SZ,数字认证,软件服务,2.86,20.0,0.0,41.4,198827.2964
1338,002892.SZ,科力尔,电气设备,2.71,20.0,0.0,44.99,118485.664
584,002122.SZ,*ST天马,机械基件,2.69,20.0,0.0,2.88,341064.1872
995,002535.SZ,林州重机,工程机械,2.6,20.0,0.0,5.37,317085.5186
2027,300647.SZ,超频三,元器件,2.57,20.0,0.0,18.97,148594.8555
3220,603131.SH,上海沪工,专用机械,2.57,20.0,0.0,27.0,135000.0
451,000990.SZ,诚志股份,化工原料,2.55,20.0,0.0,18.75,726905.145
1780,300393.SZ,中来股份,塑料,2.54,20.0,0.0,25.05,302047.0508
956,002495.SZ,佳隆股份,食品,2.53,20.0,0.0,4.59,313062.0759
538,002076.SZ,雪莱特,家用电器,2.53,20.0,0.0,4.85,216006.0326
1830,300443.SZ,金雷股份,专用机械,2.53,12.0,0.0,18.38,293071.2744
68,000159.SZ,国际实业,石油贸易,2.49,20.0,0.0,6.61,317733.4414
670,002208.SZ,合肥城建,区域地产,2.49,20.0,0.0,14.26,455282.9386
3327,603369.SH,今世缘,白酒,2.46,15.0,0.0,25.8,3236610.0
