,ts_code,name,industry,COL_EIGEN_SLOPE_0,COL_EIGEN_SLOPE_1,COL_EIGEN_SLOPE_DIFF,COL_DAILY_LIMIT_COUNT,circ_mv
2038,300658.SZ,延江股份,纺织,6.32,1.22,5.1,0.0,62454.0
419,000951.SZ,中国重汽,汽车整车,5.04,0.66,4.38,0.0,1237143.9518
2427,600343.SH,航天动力,航空,5.47,1.5,3.97,0.0,703303.3955
1259,002808.SZ,恒久科技,元器件,7.41,3.51,3.9,0.0,147677.1948
2921,600966.SH,博汇纸业,造纸,5.0,1.33,3.67,0.0,489285.0094
3142,603006.SH,联明股份,汽车配件,5.06,1.44,3.62,0.0,159933.0976
1568,300178.SZ,腾邦国际,旅游服务,5.0,1.38,3.62,0.0,626983.7736
567,002105.SZ,信隆健康,文教休闲,4.7,1.1,3.6,0.0,191988.5
1545,300155.SZ,安居宝,元器件,5.65,2.05,3.6,0.0,162059.0691
434,000969.SZ,安泰科技,钢加工,4.48,0.94,3.54,0.0,602580.4719
1617,300228.SZ,富瑞特装,化工机械,4.87,1.44,3.43,0.0,296048.8625
1064,002604.SZ,*ST龙力,食品,4.89,1.81,3.08,0.0,112792.7366
628,002166.SZ,莱茵生物,中成药,4.46,1.4,3.06,0.0,307952.809
2785,600771.SH,广誉远,中成药,5.29,2.24,3.05,0.0,1015140.7609
37,000046.SZ,泛海控股,全国地产,4.01,0.96,3.05,0.0,3777902.0831
2060,300680.SZ,隆盛科技,汽车配件,3.66,0.68,2.98,0.0,65834.5828
447,000985.SZ,大庆华科,化工原料,4.18,1.41,2.77,0.0,196014.924
1397,300006.SZ,莱美药业,化学制药,3.47,0.71,2.76,0.0,341045.6268
2968,601038.SH,一拖股份,农用机械,3.61,0.89,2.72,0.0,323680.95
2479,600405.SH,动力源,电气设备,4.59,1.93,2.66,0.0,315920.2808
697,002235.SZ,安妮股份,互联网,5.1,2.46,2.64,0.0,387252.0376
2815,600805.SH,悦达投资,综合类,3.85,1.28,2.57,0.0,505063.5686
2088,300709.SZ,精研科技,元器件,5.65,3.14,2.51,0.0,223779.2788
1188,002731.SZ,萃华珠宝,服饰,4.29,1.79,2.5,0.0,291535.8214
3488,603789.SH,星光农机,农用机械,3.67,1.18,2.49,0.0,361140.0
2299,600193.SH,*ST创兴,装修装饰,3.47,1.01,2.46,0.0,185888.001
474,002012.SZ,凯恩股份,造纸,3.52,1.1,2.42,0.0,245628.9789
727,002266.SZ,浙富控股,电气设备,3.57,1.16,2.41,0.0,841566.0406
1093,002633.SZ,申科股份,机械基件,4.77,2.4,2.37,0.0,143185.68
899,002438.SZ,江苏神通,机械基件,3.2,0.86,2.34,0.0,281956.3522
661,002199.SZ,东晶电子,元器件,5.19,2.87,2.32,0.0,321792.0744
943,002482.SZ,广田集团,装修装饰,5.48,3.18,2.3,0.0,969573.5664
367,000881.SZ,中广核技,综合类,9.58,7.29,2.29,0.0,285566.4288
184,000608.SZ,阳光股份,区域地产,3.23,0.98,2.25,0.0,476124.1805
831,002370.SZ,亚太药业,化学制药,3.47,1.23,2.24,0.0,570129.6314
1266,002816.SZ,和科达,专用机械,3.9,1.68,2.22,0.0,133415.9305
