,ts_code,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_CURRENT_PRICE,circ_mv
1669,300280.SZ,紫天科技,专用机械,0.0,0.0,0.0,31.26,400128.0
1140,002680.SZ,*ST长生,生物制药,0.0,0.0,0.0,1.51,87703.341
819,002358.SZ,森源电气,电气设备,0.0,0.0,0.0,15.41,1402965.3565
2975,601098.SH,中南传媒,出版业,1.53,3.0,0.0,13.2,2370720.0
320,000802.SZ,北京文化,影视音像,0.54,7.0,0.0,13.55,522743.2278
378,000895.SZ,双汇发展,食品,1.31,7.0,0.0,26.39,8706115.9308
2888,600886.SH,国投电力,水力发电,0.41,13.0,0.0,8.53,5788477.915
328,000813.SZ,德展健康,化学制药,3.05,14.0,0.0,12.2,1318295.8734
817,002356.SZ,赫美集团,其他商业,12.27,18.0,0.0,19.46,934545.8763
3345,603444.SH,吉比特,互联网,2.21,18.0,0.0,207.5,855900.3575
2692,600674.SH,川投能源,水力发电,0.43,18.0,0.0,9.75,4292086.968
972,002511.SZ,中顺洁柔,造纸,0.72,18.0,0.0,8.75,1100855.1199
833,002372.SZ,伟星新材,其他建材,0.69,18.0,0.0,18.34,2148646.4008
3257,603218.SH,日月股份,工程机械,2.09,18.0,0.0,26.34,261896.1177
1958,300575.SZ,中旗股份,农药化肥,1.52,19.0,0.0,65.67,225845.8612
768,002307.SZ,北新路桥,建筑施工,2.81,19.0,0.0,8.27,737444.849
169,000590.SZ,启迪古汉,中成药,2.03,19.0,0.0,8.84,197340.8247
2191,600072.SH,中船科技,船舶,4.28,19.0,0.0,13.04,783415.5161
2428,600345.SH,长江通信,通信设备,2.38,19.0,0.0,29.76,589248.0
704,002242.SZ,九阳股份,家用电器,1.95,20.0,0.0,23.27,1773077.5226
670,002208.SZ,合肥城建,区域地产,2.41,21.0,0.0,14.26,455282.9386
727,002266.SZ,浙富控股,电气设备,1.31,22.0,0.0,5.2,841566.0406
589,002127.SZ,南极电商,互联网,1.18,22.0,0.0,11.62,2174763.2198
992,002532.SZ,新界泵业,农用机械,0.97,23.0,0.0,6.06,228991.3192
2509,600459.SH,贵研铂业,小金属,0.99,24.0,0.0,16.8,735349.4585
2622,600593.SH,大连圣亚,旅游服务,1.54,24.0,0.0,37.61,484416.8
3480,603768.SH,常青股份,汽车配件,0.53,24.0,0.0,13.86,97193.25
30,000037.SZ,深南电A,火力发电,4.7,26.0,0.0,11.09,375833.4593
2121,300746.SZ,汉嘉设计,建筑施工,1.43,27.0,0.0,24.03,126397.8
3431,603665.SH,康隆达,纺织,0.74,27.0,0.0,26.55,98954.0643
210,000639.SZ,西王食品,食品,0.91,27.0,0.0,9.16,706254.3823
3211,603113.SH,金能科技,化工原料,0.71,27.0,0.0,14.44,479213.4282
770,002309.SZ,中利集团,电气设备,1.45,27.0,0.0,9.95,698390.0164
1882,300495.SZ,美尚生态,环境保护,0.62,27.0,0.0,14.7,455019.4694
1014,002554.SZ,惠博普,石油开采,2.38,28.0,0.0,4.01,308567.5756
2810,600800.SH,天津磁卡,综合类,1.95,28.0,0.0,8.0,488764.8376
904,002443.SZ,金洲管道,钢加工,2.36,28.0,0.0,8.45,428818.0566
2765,600749.SH,*ST藏旅,旅游景点,0.61,28.0,0.0,10.61,240810.4135
934,002473.SZ,*ST圣莱,家用电器,2.02,28.0,0.0,10.92,174720.0
1064,002604.SZ,*ST龙力,食品,2.08,28.0,0.0,2.22,112792.7366
