,ts_code,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_CURRENT_PRICE,circ_mv
2246,600131.SH,岷江水电,水力发电,13.52,28.0,5.0,20.48,834885.4907
817,002356.SZ,赫美集团,其他商业,12.27,18.0,0.0,19.46,934545.8763
3044,601519.SH,大智慧,软件服务,11.6,29.0,5.0,11.38,2262002.6
355,000859.SZ,国风塑业,塑料,10.87,29.0,9.0,7.46,551527.1101
2789,600776.SH,东方通信,通信设备,10.56,28.0,8.0,30.44,2910064.1948
3076,601700.SH,风范股份,电气设备,10.15,28.0,16.0,8.8,997244.16
3137,603000.SH,人民网,互联网,10.15,30.0,5.0,28.28,3126894.3064
2586,600552.SH,凯盛科技,玻璃,10.01,29.0,20.0,5.97,441769.8325
1060,002600.SZ,领益智造,元器件,9.8,30.0,9.0,6.63,986471.7476
479,002017.SZ,东信和平,通信设备,9.69,23.0,8.0,18.39,821087.9085
1317,002870.SZ,香山股份,电器仪表,9.34,29.0,16.0,24.38,97812.56
2633,600604.SH,市北高新,园区开发,8.8,28.0,5.0,16.24,2166715.9658
637,002175.SZ,东方网络,电器仪表,8.54,28.0,5.0,6.97,417790.6749
1206,002750.SZ,龙津药业,中成药,8.47,29.0,0.0,19.67,781466.1372
358,000862.SZ,银星能源,新型电力,8.4,30.0,8.0,7.33,367491.6684
619,002157.SZ,正邦科技,饲料,8.14,28.0,5.0,15.87,3441253.7994
128,000536.SZ,华映科技,元器件,8.14,29.0,9.0,3.67,735227.0876
1758,300370.SZ,安控科技,电器仪表,8.05,28.0,5.0,5.44,388394.1502
2133,300759.SZ,康龙化成,化学制药,8.03,30.0,1.0,42.5,278927.5
2970,601066.SH,中信建投,证券,7.88,30.0,9.0,26.13,1045200.0
1475,300085.SZ,银之杰,软件服务,7.85,30.0,6.0,17.8,736228.6605
3007,601208.SH,东材科技,化工原料,7.78,30.0,22.0,5.39,337737.939
919,002458.SZ,益生股份,农业综合,7.7,30.0,5.0,40.26,840682.3015
705,002243.SZ,通产丽星,塑料,7.51,28.0,16.0,19.57,714205.1069
1899,300512.SZ,中亚股份,专用机械,7.35,28.0,22.0,15.78,122807.7253
2638,600610.SH,*ST毅达,建筑施工,6.97,28.0,8.0,4.32,162248.2229
3095,601860.SH,紫金银行,银行,6.93,28.0,9.0,9.52,348516.6223
1784,300397.SZ,天和防务,通信设备,6.9,28.0,5.0,22.98,356345.1725
18,000023.SZ,深天地A,其他建材,6.9,29.0,20.0,15.98,221732.4715
1667,300278.SZ,华昌达,专用机械,6.85,18.0,6.0,8.37,224366.2585
2927,600975.SH,新五丰,农业综合,6.75,29.0,5.0,10.4,678782.6074
696,002234.SZ,民和股份,农业综合,6.72,29.0,5.0,29.31,560273.1331
2824,600816.SH,安信信托,多元金融,6.63,29.0,9.0,7.75,3621194.5889
586,002124.SZ,天邦股份,饲料,6.61,28.0,5.0,17.43,1844950.559
2502,600446.SH,金证股份,软件服务,6.58,29.0,9.0,23.45,2000778.585
272,000727.SZ,华东科技,元器件,6.56,29.0,8.0,2.84,832306.0078
1670,300281.SZ,金明精机,专用机械,6.55,29.0,19.0,6.62,173526.9479
1027,002567.SZ,唐人神,饲料,6.4,28.0,5.0,12.81,969978.5046
1994,300612.SZ,宣亚国际,广告包装,6.38,28.0,10.0,23.91,108401.831
151,000563.SZ,陕国投A,多元金融,6.3,29.0,9.0,5.69,2255523.3094
3332,603383.SH,顶点软件,软件服务,6.24,29.0,0.0,87.99,510492.6389
2674,600651.SH,飞乐音响,电器仪表,6.22,28.0,2.0,5.92,583250.2412
1518,300128.SZ,锦富技术,元器件,6.2,29.0,9.0,5.09,542449.7911
1940,300555.SZ,路通视信,通信设备,6.15,29.0,16.0,11.49,106874.3637
2205,600086.SH,东方金钰,服饰,6.11,28.0,5.0,6.01,635163.8546
3025,601319.SH,中国人保,保险,6.11,30.0,9.0,10.14,1025397.36
2089,300710.SZ,万隆光电,通信设备,6.09,29.0,9.0,32.66,109489.384
3059,601608.SH,中信重工,专用机械,6.08,30.0,9.0,5.31,2304231.6446
2652,600624.SH,复旦复华,综合类,6.05,29.0,0.0,14.63,1001733.6706
1408,300017.SZ,网宿科技,电信运营,6.05,29.0,8.0,13.58,2941954.1055
1399,300008.SZ,天海防务,船舶,6.0,28.0,9.0,4.19,252409.9115
2628,600599.SH,熊猫金控,多元金融,5.96,28.0,16.0,13.36,221776.0
2206,600088.SH,中视传媒,影视音像,5.8,28.0,0.0,22.4,890862.336
1386,002946.SZ,新乳业,乳制品,5.75,30.0,8.0,19.72,168351.7441
40,000050.SZ,深天马A,元器件,5.63,28.0,8.0,16.35,2975467.1907
1128,002668.SZ,奥马电器,家用电器,5.59,28.0,6.0,6.22,406975.4378
1600,300211.SZ,亿通科技,通信设备,5.56,28.0,15.0,7.06,131107.0805
1025,002565.SZ,顺灏股份,造纸,5.55,28.0,5.0,12.72,871112.6169
884,002423.SZ,中原特钢,特种钢,5.48,29.0,15.0,11.73,590003.2548
3107,601890.SH,亚星锚链,船舶,5.47,28.0,9.0,6.85,657189.0
124,000531.SZ,穗恒运A,火力发电,5.47,29.0,17.0,7.23,495313.3591
2641,600613.SH,神奇制药,中成药,5.43,28.0,8.0,8.99,430908.6602
270,000725.SZ,京东方A,元器件,5.43,29.0,16.0,3.91,13239161.5204
