,ts_code,symbol,name,industry,COL_EIGEN_SLOPE_0,COL_EIGEN_SLOPE_1,COL_EIGEN_SLOPE_DIFF
452,000993.SZ,000993,闽东电力,水力发电,12.46,2.67,9.79
2191,600072.SH,600072,中船科技,船舶,12.27,2.66,9.61
1922,300536.SZ,300536,农尚环境,建筑施工,11.58,2.19,9.39
102,000503.SZ,000503,国新健康,医疗保健,12.27,2.94,9.33
2863,600860.SH,600860,京城股份,专用机械,11.2,2.44,8.76
68,000159.SZ,000159,国际实业,石油贸易,12.23,3.8,8.43
2738,600722.SH,600722,金牛化工,化工原料,10.97,2.6,8.37
386,000905.SZ,000905,厦门港务,港口,10.31,2.05,8.26
2043,300663.SZ,300663,科蓝软件,软件服务,10.38,2.23,8.15
2923,600969.SH,600969,郴电国际,水力发电,9.28,2.61,6.67
2683,600662.SH,600662,强生控股,公共交通,9.45,2.81,6.64
307,000788.SZ,000788,北大医药,化学制药,7.97,1.35,6.62
763,002302.SZ,002302,西部建设,水泥,8.66,2.05,6.61
157,000570.SZ,000570,苏常柴A,机械基件,10.06,3.57,6.49
1237,002783.SZ,002783,凯龙股份,化工原料,9.5,3.28,6.22
2713,600695.SH,600695,绿庭投资,多元金融,11.11,4.91,6.2
1014,002554.SZ,002554,惠博普,石油开采,9.52,3.37,6.15
2412,600325.SH,600325,华发股份,区域地产,7.31,1.21,6.1
2591,600559.SH,600559,老白干酒,白酒,6.8,0.76,6.04
2697,600679.SH,600679,上海凤凰,文教休闲,9.82,3.85,5.97
2456,600378.SH,600378,天科股份,化工原料,7.52,1.62,5.9
93,000425.SZ,000425,徐工机械,工程机械,6.86,1.36,5.5
227,000671.SZ,000671,阳光城,区域地产,7.83,2.35,5.48
2469,600392.SH,600392,盛和资源,小金属,7.04,1.66,5.38
985,002524.SZ,002524,光正集团,供气供热,8.1,2.72,5.38
2524,600480.SH,600480,凌云股份,汽车配件,8.98,3.66,5.32
276,000732.SZ,000732,泰禾集团,区域地产,7.33,2.13,5.2
2935,600983.SH,600983,惠而浦,家用电器,7.1,1.99,5.11
753,002292.SZ,002292,奥飞娱乐,影视音像,7.33,2.33,5.0
571,002109.SZ,002109,兴化股份,化工原料,6.57,1.59,4.98
156,000568.SZ,000568,泸州老窖,白酒,5.27,0.44,4.83
174,000596.SZ,000596,古井贡酒,白酒,6.72,1.98,4.74
1622,300233.SZ,300233,金城医药,化学制药,6.9,2.21,4.69
879,002418.SZ,002418,康盛股份,机械基件,8.83,4.28,4.55
657,002195.SZ,002195,二三四五,软件服务,7.74,3.22,4.52
2227,600111.SH,600111,北方稀土,小金属,6.04,1.54,4.5
172,000593.SZ,000593,大通燃气,供气供热,7.11,2.62,4.49
768,002307.SZ,002307,北新路桥,建筑施工,9.16,4.68,4.48
2792,600779.SH,600779,水井坊,白酒,4.67,0.29,4.38
2088,300709.SZ,300709,精研科技,元器件,7.47,3.14,4.33
327,000812.SZ,000812,陕西金叶,广告包装,6.16,1.83,4.33
354,000858.SZ,000858,五粮液,白酒,5.92,1.6,4.32
1706,300317.SZ,300317,珈伟新能,半导体,7.16,2.95,4.21
717,002255.SZ,002255,海陆重工,专用机械,5.89,1.7,4.19
2583,600549.SH,600549,厦门钨业,小金属,6.12,1.94,4.18
4,000006.SZ,000006,深振业A,区域地产,5.93,1.75,4.18
1280,002830.SZ,002830,名雕股份,装修装饰,6.13,1.99,4.14
1409,300018.SZ,300018,中元股份,电气设备,8.22,4.11,4.11
1447,300056.SZ,300056,三维丝,环境保护,6.14,2.09,4.05
1858,300471.SZ,300471,厚普股份,专用机械,9.04,5.08,3.96
1555,300165.SZ,300165,天瑞仪器,电器仪表,6.42,2.47,3.95
1285,002836.SZ,002836,新宏泽,广告包装,6.09,2.14,3.95
2233,600117.SH,600117,西宁特钢,特种钢,5.0,1.11,3.89
934,002473.SZ,002473,*ST圣莱,家用电器,7.25,3.4,3.85
1746,300357.SZ,300357,我武生物,生物制药,4.67,0.86,3.81
1969,300586.SZ,300586,美联新材,化工原料,5.83,2.03,3.8
317,000799.SZ,000799,酒鬼酒,白酒,5.44,1.69,3.75
1832,300445.SZ,300445,康斯特,电器仪表,5.21,1.46,3.75
2785,600771.SH,600771,广誉远,中成药,5.99,2.25,3.74
3249,603196.SH,603196,日播时尚,服饰,9.05,5.31,3.74
2855,600851.SH,600851,海欣股份,纺织,6.29,2.59,3.7
3335,603387.SH,603387,基蛋生物,生物制药,6.01,2.31,3.7
2194,600075.SH,600075,新疆天业,化工原料,6.04,2.35,3.69
364,000877.SZ,000877,天山股份,水泥,6.33,2.67,3.66
3199,603090.SH,603090,宏盛股份,专用机械,9.13,5.48,3.65
2032,300652.SZ,300652,雷迪克,汽车配件,5.14,1.55,3.59
1617,300228.SZ,300228,富瑞特装,化工机械,5.23,1.7,3.53
423,000957.SZ,000957,中通客车,汽车整车,4.77,1.42,3.35
2445,600366.SH,600366,宁波韵升,电器仪表,4.62,1.3,3.32
1726,300337.SZ,300337,银邦股份,铝,7.61,4.29,3.32
3104,601882.SH,601882,海天精工,机床制造,5.75,2.49,3.26
3229,603159.SH,603159,上海亚虹,专用机械,5.16,1.91,3.25
1023,002563.SZ,002563,森马服饰,服饰,4.2,0.97,3.23
342,000831.SZ,000831,五矿稀土,小金属,7.86,4.64,3.22
3338,603393.SH,603393,新天然气,供气供热,6.19,2.99,3.2
2428,600345.SH,600345,长江通信,通信设备,8.49,5.3,3.19
838,002377.SZ,002377,国创高新,石油加工,6.64,3.46,3.18
2429,600346.SH,600346,恒力股份,化纤,3.81,0.64,3.17
