,ts_code,symbol,name,industry,COL_FITNESS
793,002332.SZ,002332,仙琚制药,生物制药,1030.32
1587,300198.SZ,300198,纳川股份,塑料,352.81
704,002242.SZ,002242,九阳股份,家用电器,328.3
2162,600031.SH,600031,三一重工,工程机械,324.4
2622,600593.SH,600593,大连圣亚,旅游服务,304.97
644,002182.SZ,002182,云海金属,小金属,294.77
1074,002614.SZ,002614,奥佳华,医疗保健,277.29
3228,603158.SH,603158,腾龙股份,汽车配件,276.12
513,002051.SZ,002051,中工国际,建筑施工,266.15
2656,600630.SH,600630,龙头股份,纺织,264.73
427,000961.SZ,000961,中南建设,建筑施工,260.38
3571,603960.SH,603960,克来机电,专用机械,232.22
354,000858.SZ,000858,五粮液,白酒,224.11
712,002250.SZ,002250,联化科技,化工原料,205.47
2534,600491.SH,600491,龙元建设,建筑施工,202.15
395,000917.SZ,000917,电广传媒,影视音像,201.53
2980,601107.SH,601107,四川成渝,路桥,200.3
1099,002639.SZ,002639,雪人股份,专用机械,196.88
2816,600807.SH,600807,*ST天业,区域地产,196.86
873,002412.SZ,002412,汉森制药,中成药,186.48
3556,603919.SH,603919,金徽酒,白酒,174.25
2302,600197.SH,600197,伊力特,白酒,163.43
1017,002557.SZ,002557,洽洽食品,食品,156.39
3282,603297.SH,603297,永新光学,电器仪表,154.68
3161,603027.SH,603027,千禾味业,食品,153.78
308,000789.SZ,000789,万年青,水泥,150.21
1266,002816.SZ,002816,和科达,专用机械,150.01
620,002158.SZ,002158,汉钟精机,工程机械,146.2
3220,603129.SH,603129,春风动力,摩托车,141.36
352,000852.SZ,000852,石化机械,化工机械,140.65
2413,600326.SH,600326,西藏天路,建筑施工,137.32
2504,600449.SH,600449,宁夏建材,水泥,134.42
3308,603333.SH,603333,尚纬股份,电气设备,133.92
3293,603313.SH,603313,梦百合,家居用品,133.76
814,002353.SZ,002353,杰瑞股份,化工机械,131.46
3017,601231.SH,601231,环旭电子,元器件,131.15
3473,603737.SH,603737,三棵树,染料涂料,131.06
1615,300226.SZ,300226,上海钢联,互联网,129.77
2543,600502.SH,600502,安徽水利,建筑施工,129.54
1282,002832.SZ,002832,比音勒芬,服饰,129.5
711,002249.SZ,002249,大洋电机,电气设备,127.87
904,002443.SZ,002443,金洲管道,钢加工,127.76
422,000955.SZ,000955,欣龙控股,纺织,125.77
1953,300569.SZ,300569,天能重工,专用机械,124.83
2298,600192.SH,600192,长城电工,电气设备,124.13
1192,002735.SZ,002735,王子新材,塑料,120.27
49,000065.SZ,000065,北方国际,建筑施工,120.06
2053,300673.SZ,300673,佩蒂股份,饲料,119.16
2355,600258.SH,600258,首旅酒店,酒店餐饮,115.24
2260,600150.SH,600150,*ST船舶,船舶,114.35
2211,600094.SH,600094,大名城,区域地产,113.68
2870,600867.SH,600867,通化东宝,生物制药,111.46
936,002475.SZ,002475,立讯精密,元器件,111.38
991,002531.SZ,002531,天顺风能,电气设备,109.98
2609,600579.SH,600579,天华院,化工机械,108.99
2785,600771.SH,600771,广誉远,中成药,107.67
1250,002798.SZ,002798,帝欧家居,家居用品,106.9
542,002080.SZ,002080,中材科技,化纤,104.0
2707,600689.SH,600689,上海三毛,纺织,103.75
2869,600866.SH,600866,星湖科技,食品,102.65
2736,600720.SH,600720,祁连山,水泥,102.18
1536,300146.SZ,300146,汤臣倍健,食品,100.55
1795,300408.SZ,300408,三环集团,元器件,97.5
30,000037.SZ,000037,深南电A,火力发电,95.45
29,000036.SZ,000036,华联控股,全国地产,94.85
154,000566.SZ,000566,海南海药,化学制药,93.6
2514,600466.SH,600466,蓝光发展,区域地产,93.57
3329,603377.SH,603377,东方时尚,汽车服务,91.52
1822,300435.SZ,300435,中泰股份,机械基件,91.32
3167,603033.SH,603033,三维股份,橡胶,91.02
1674,300285.SZ,300285,国瓷材料,陶瓷,90.11
3218,603127.SH,603127,昭衍新药,医疗保健,89.75
208,000637.SZ,000637,茂化实华,石油加工,89.48
611,002149.SZ,002149,西部材料,小金属,89.39
1984,300602.SZ,300602,飞荣达,元器件,89.31
2303,600198.SH,600198,*ST大唐,通信设备,89.29
310,000791.SZ,000791,甘肃电投,水力发电,88.3
1481,300091.SZ,300091,金通灵,机械基件,86.69
2865,600862.SH,600862,中航高科,航空,86.32
2371,600278.SH,600278,东方创业,商贸代理,85.62
227,000671.SZ,000671,阳光城,区域地产,85.54
2186,600067.SH,600067,冠城大通,全国地产,85.08
1308,002861.SZ,002861,瀛通通讯,通信设备,84.75
1044,002584.SZ,002584,西陇科学,化工原料,84.44
3326,603367.SH,603367,辰欣药业,化学制药,83.33
144,000554.SZ,000554,泰山石油,石油贸易,83.31
156,000568.SZ,000568,泸州老窖,白酒,82.64
3401,603606.SH,603606,东方电缆,电气设备,81.94
3312,603338.SH,603338,浙江鼎力,专用机械,80.9
2935,600983.SH,600983,惠而浦,家用电器,80.72
1793,300406.SZ,300406,九强生物,生物制药,80.24
2818,600809.SH,600809,山西汾酒,白酒,80.22
1796,300409.SZ,300409,道氏技术,陶瓷,79.35
3183,603060.SH,603060,国检集团,建筑施工,79.15
1194,002737.SZ,002737,葵花药业,中成药,78.64
1509,300119.SZ,300119,瑞普生物,生物制药,78.25
3296,603318.SH,603318,派思股份,专用机械,77.6
3058,601607.SH,601607,上海医药,医药商业,77.53
2412,600325.SH,600325,华发股份,区域地产,76.7
2977,601100.SH,601100,恒立液压,工程机械,76.56
2704,600686.SH,600686,金龙汽车,汽车整车,76.41
1958,300575.SZ,300575,中旗股份,农药化肥,76.03
321,000803.SZ,000803,金宇车城,纺织,75.65
1512,300122.SZ,300122,智飞生物,生物制药,75.36
2533,600490.SH,600490,鹏欣资源,铜,75.36
2746,600730.SH,600730,中国高科,综合类,75.15
232,000678.SZ,000678,襄阳轴承,机械基件,73.89
3390,603589.SH,603589,口子窖,白酒,73.45
2591,600559.SH,600559,老白干酒,白酒,73.17
1237,002783.SZ,002783,凯龙股份,化工原料,72.45
643,002181.SZ,002181,粤传媒,出版业,72.06
469,002007.SZ,002007,华兰生物,生物制药,71.08
481,002019.SZ,002019,亿帆医药,化学制药,71.02
2356,600259.SH,600259,广晟有色,小金属,70.21
2560,600521.SH,600521,华海药业,化学制药,69.83
879,002418.SZ,002418,康盛股份,机械基件,69.66
175,000597.SZ,000597,东北制药,化学制药,68.81
3322,603360.SH,603360,百傲化学,化工原料,68.57
888,002427.SZ,002427,*ST尤夫,化纤,68.36
3577,603976.SH,603976,正川股份,医疗保健,68.03
1404,300013.SZ,300013,新宁物流,仓储物流,68.0
2648,600620.SH,600620,天宸股份,综合类,67.63
225,000669.SZ,000669,金鸿控股,供气供热,67.32
3072,601678.SH,601678,滨化股份,化工原料,67.05
228,000672.SZ,000672,上峰水泥,水泥,67.05
1188,002731.SZ,002731,萃华珠宝,服饰,66.87
1333,002887.SZ,002887,绿茵生态,环境保护,66.83
3160,603026.SH,603026,石大胜华,化工原料,66.31
735,002274.SZ,002274,华昌化工,农药化肥,66.06
1227,002773.SZ,002773,康弘药业,中成药,65.33
2660,600636.SH,600636,三爱富,化工原料,64.03
2429,600346.SH,600346,恒力股份,化纤,63.29
3545,603899.SH,603899,晨光文具,文教休闲,63.06
3386,603585.SH,603585,苏利股份,化工原料,62.86
985,002524.SZ,002524,光正集团,供气供热,62.67
1256,002805.SZ,002805,丰元股份,化工原料,61.98
2778,600764.SH,600764,中国海防,通信设备,61.93
2683,600662.SH,600662,强生控股,公共交通,60.52
3031,601339.SH,601339,百隆东方,纺织,60.38
1706,300317.SZ,300317,珈伟新能,半导体,59.78
1018,002558.SZ,002558,巨人网络,互联网,59.03
2464,600387.SH,600387,海越能源,石油贸易,58.89
3427,603659.SH,603659,璞泰来,化工原料,58.57
2461,600383.SH,600383,金地集团,全国地产,58.16
727,002266.SZ,002266,浙富控股,电气设备,58.04
