,asc,ts_code,symbol,name,industry,COL_FITNESS
2622,0.0,600593.SH,600593,大连圣亚,旅游服务,402.74
793,1.0,002332.SZ,002332,仙琚制药,生物制药,324.46
1587,2.0,300198.SZ,300198,纳川股份,塑料,314.84
644,3.0,002182.SZ,002182,云海金属,小金属,286.21
353,4.0,000856.SZ,000856,冀东装备,机械基件,272.7
1194,5.0,002737.SZ,002737,葵花药业,中成药,269.89
29,6.0,000036.SZ,000036,华联控股,全国地产,258.19
735,7.0,002274.SZ,002274,华昌化工,农药化肥,254.96
2554,8.0,600515.SH,600515,海航基础,全国地产,247.51
620,9.0,002158.SZ,002158,汉钟精机,工程机械,213.07
395,10.0,000917.SZ,000917,电广传媒,影视音像,209.48
2461,11.0,600383.SH,600383,金地集团,全国地产,205.49
1338,12.0,002892.SZ,002892,科力尔,电气设备,200.69
2355,13.0,600258.SH,600258,首旅酒店,酒店餐饮,200.59
2656,14.0,600630.SH,600630,龙头股份,纺织,198.88
3240,15.0,603180.SH,603180,金牌厨柜,家居用品,195.13
3183,16.0,603060.SH,603060,国检集团,建筑施工,183.08
939,17.0,002478.SZ,002478,常宝股份,钢加工,177.51
3329,18.0,603377.SH,603377,东方时尚,汽车服务,171.5
354,19.0,000858.SZ,000858,五粮液,白酒,158.19
2514,20.0,600466.SH,600466,蓝光发展,区域地产,157.36
2567,21.0,600529.SH,600529,山东药玻,医疗保健,149.55
1266,22.0,002816.SZ,002816,和科达,专用机械,146.63
1088,23.0,002628.SZ,002628,成都路桥,建筑施工,141.35
330,24.0,000816.SZ,000816,*ST慧业,农用机械,140.81
112,25.0,000517.SZ,000517,荣安地产,区域地产,140.35
3473,26.0,603737.SH,603737,三棵树,染料涂料,139.62
1192,27.0,002735.SZ,002735,王子新材,塑料,133.22
2162,28.0,600031.SH,600031,三一重工,工程机械,131.25
1256,29.0,002805.SZ,002805,丰元股份,化工原料,130.22
3161,30.0,603027.SH,603027,千禾味业,食品,128.99
2413,31.0,600326.SH,600326,西藏天路,建筑施工,126.04
1953,32.0,300569.SZ,300569,天能重工,专用机械,125.11
3220,33.0,603129.SH,603129,春风动力,摩托车,123.02
2980,34.0,601107.SH,601107,四川成渝,路桥,121.07
2870,35.0,600867.SH,600867,通化东宝,生物制药,120.27
3401,36.0,603606.SH,603606,东方电缆,电气设备,119.13
873,37.0,002412.SZ,002412,汉森制药,中成药,117.63
513,38.0,002051.SZ,002051,中工国际,建筑施工,117.42
2260,39.0,600150.SH,600150,*ST船舶,船舶,117.3
2811,40.0,600801.SH,600801,华新水泥,水泥,114.49
2736,41.0,600720.SH,600720,祁连山,水泥,113.47
2504,42.0,600449.SH,600449,宁夏建材,水泥,112.85
427,43.0,000961.SZ,000961,中南建设,建筑施工,111.54
2507,44.0,600456.SH,600456,宝钛股份,小金属,111.39
144,45.0,000554.SZ,000554,泰山石油,石油贸易,110.48
2371,46.0,600278.SH,600278,东方创业,商贸代理,109.78
1536,47.0,300146.SZ,300146,汤臣倍健,食品,109.11
2769,48.0,600754.SH,600754,锦江股份,酒店餐饮,108.14
3293,49.0,603313.SH,603313,梦百合,家居用品,106.04
2534,50.0,600491.SH,600491,龙元建设,建筑施工,102.64
2302,51.0,600197.SH,600197,伊力特,白酒,101.77
1074,52.0,002614.SZ,002614,奥佳华,医疗保健,101.44
308,53.0,000789.SZ,000789,万年青,水泥,101.07
401,54.0,000923.SZ,000923,河北宣工,铜,101.07
1188,55.0,002731.SZ,002731,萃华珠宝,服饰,99.74
3571,56.0,603960.SH,603960,克来机电,专用机械,99.08
3228,57.0,603158.SH,603158,腾龙股份,汽车配件,98.92
1292,58.0,002843.SZ,002843,泰嘉股份,钢加工,98.86
831,59.0,002370.SZ,002370,亚太药业,化学制药,98.82
2785,60.0,600771.SH,600771,广誉远,中成药,98.71
814,61.0,002353.SZ,002353,杰瑞股份,化工机械,98.41
156,62.0,000568.SZ,000568,泸州老窖,白酒,98.13
3017,63.0,601231.SH,601231,环旭电子,元器件,97.61
