,ts_code,symbol,name,industry,COL_LIMIT_PERIOD,COL_LAST_PCT_CHG,COL_LASTPRICE
0,000677.SZ,000677,恒天海龙,化纤,16.0,10.0223,4.94
1,002565.SZ,002565,顺灏股份,造纸,16.0,10.0134,16.37
2,603956.SH,603956,威派格,专用机械,15.0,10.0204,26.9
3,002077.SZ,002077,大港股份,区域地产,13.0,10.0662,8.31
4,002100.SZ,002100,天康生物,饲料,13.0,9.9878,9.03
5,002300.SZ,002300,太阳电缆,电气设备,11.0,9.9515,9.06
6,603360.SH,603360,百傲化学,化工原料,11.0,10.022,25.03
7,600156.SH,600156,华升股份,纺织,9.0,10.0271,8.12
8,603843.SH,603843,正平股份,建筑施工,7.0,10.0204,10.76
9,000610.SZ,000610,西安旅游,旅游服务,5.0,10.0297,14.81
10,600278.SH,600278,东方创业,商贸代理,3.0,10.0,15.51
11,000503.SZ,000503,国新健康,医疗保健,3.0,9.9961,27.95
12,300220.SZ,300220,金运激光,元器件,2.0,10.0,19.47
13,300331.SZ,300331,苏大维格,元器件,2.0,7.0556,19.27
14,000590.SZ,000590,启迪古汉,中成药,2.0,10.034,12.94
15,002265.SZ,002265,西仪股份,汽车配件,2.0,10.0,12.1
16,600190.SH,600190,锦州港,港口,1.0,9.9751,4.41
17,603602.SH,603602,纵横通信,通信设备,1.0,8.8757,36.8
18,600093.SH,600093,易见股份,仓储物流,1.0,7.1074,12.96
19,300579.SZ,300579,数字认证,软件服务,1.0,9.9711,45.66
20,600543.SH,600543,莫高股份,红黄药酒,0.0,10.0,8.36
21,600203.SH,600203,福日电子,元器件,0.0,9.9369,6.97
22,000958.SZ,000958,东方能源,火力发电,0.0,10.0,5.39
23,600279.SH,600279,重庆港九,港口,0.0,10.0,5.06
24,600302.SH,600302,标准股份,纺织机械,0.0,9.9502,6.63
25,600381.SH,600381,青海春天,医疗保健,0.0,9.9727,8.05
26,002295.SZ,002295,精艺股份,铜,0.0,7.6659,9.41
27,600855.SH,600855,航天长峰,专用机械,0.0,9.9747,17.42
28,600163.SH,600163,中闽能源,新型电力,0.0,9.901,4.44
29,000723.SZ,000723,美锦能源,焦炭加工,0.0,9.9591,8.06
30,603398.SH,603398,邦宝益智,文教休闲,0.0,7.3795,14.26
31,603528.SH,603528,多伦科技,软件服务,0.0,10.0637,8.64
32,603577.SH,603577,汇金通,钢加工,0.0,7.3517,12.85
33,603922.SH,603922,金鸿顺,汽车配件,0.0,10.0089,24.62
34,601008.SH,601008,连云港,港口,0.0,10.0213,5.16
35,600146.SH,600146,商赢环球,服饰,0.0,9.9785,10.25
36,002082.SZ,002082,万邦德,铝,0.0,9.9783,10.14
37,002205.SZ,002205,国统股份,其他建材,0.0,10.03,18.32
38,002390.SZ,002390,信邦制药,中成药,0.0,9.9638,6.07
39,002417.SZ,002417,深南股份,多元金融,0.0,9.9794,10.69
40,002447.SZ,002447,晨鑫科技,互联网,0.0,9.9432,3.87
41,002605.SZ,002605,姚记扑克,文教休闲,0.0,10.0295,11.19
42,002618.SZ,002618,丹邦科技,元器件,0.0,7.6736,17.68
43,002835.SZ,002835,同为股份,元器件,0.0,10.0,10.12
44,300260.SZ,300260,新莱应材,机械基件,0.0,9.9746,13.01
45,002266.SZ,002266,浙富控股,电气设备,0.0,10.0,5.72
46,300302.SZ,300302,同有科技,软件服务,0.0,10.0437,12.6
47,002202.SZ,002202,金风科技,电气设备,0.0,9.3324,16.05
48,300407.SZ,300407,凯发电气,电气设备,0.0,10.035,9.43
49,300468.SZ,300468,四方精创,软件服务,0.0,10.0313,17.55
50,300542.SZ,300542,新晨科技,软件服务,0.0,9.9939,17.94
51,300651.SZ,300651,金陵体育,文教休闲,0.0,7.8431,60.5
52,000004.SZ,000004,国农科技,生物制药,0.0,10.0,21.67
