,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_MINUS_COMBO,COL_LASTPRICE
0,600695.SH,600695,绿庭投资,多元金融,11.11,4.0,7.11
1,002057.SZ,002057,中钢天源,元器件,10.11,5.0,7.61
2,600290.SH,600290,华仪电气,电气设备,9.92,3.0,7.06
3,002554.SZ,002554,惠博普,石油开采,9.52,3.0,3.45
4,603169.SH,603169,兰石重装,专用机械,8.96,4.0,6.76
5,002307.SZ,002307,北新路桥,建筑施工,7.35,3.0,8.82
6,002292.SZ,002292,奥飞娱乐,影视音像,7.33,5.0,8.39
7,603888.SH,603888,新华网,互联网,6.65,3.0,23.56
8,002787.SZ,002787,华源控股,广告包装,6.62,5.0,9.21
9,600518.SH,600518,康美药业,中成药,6.56,3.0,10.1
10,603315.SH,603315,福鞍股份,机械基件,6.46,3.0,14.66
11,600268.SH,600268,国电南自,电气设备,6.24,3.0,7.58
12,000563.SZ,000563,陕国投A,多元金融,6.23,3.0,5.1
13,000812.SZ,000812,陕西金叶,广告包装,6.16,3.0,4.67
14,002269.SZ,002269,美邦服饰,服饰,6.09,3.0,3.13
15,000016.SZ,000016,深康佳A,家用电器,6.08,3.0,5.35
16,600509.SH,600509,天富能源,火力发电,6.0,3.0,5.36
17,300317.SZ,300317,珈伟新能,半导体,5.92,5.0,6.49
18,002684.SZ,002684,猛狮科技,电气设备,5.85,5.0,7.13
19,000425.SZ,000425,徐工机械,工程机械,5.67,4.0,4.24
20,300380.SZ,300380,安硕信息,软件服务,5.64,3.0,24.94
21,000156.SZ,000156,华数传媒,影视音像,5.63,3.0,12.0
22,000671.SZ,000671,阳光城,区域地产,5.58,5.0,7.93
23,000820.SZ,000820,神雾节能,环境保护,5.57,3.0,6.68
24,600888.SH,600888,新疆众和,铝,5.55,3.0,5.46
25,600722.SH,600722,金牛化工,化工原料,5.51,3.0,6.84
26,600730.SH,600730,中国高科,综合类,5.49,3.0,6.81
27,000682.SZ,000682,东方电子,电气设备,5.45,3.0,6.41
28,002333.SZ,002333,罗普斯金,铝,5.36,3.0,8.18
29,002830.SZ,002830,名雕股份,装修装饰,5.31,3.0,16.13
30,600075.SH,600075,新疆天业,化工原料,5.24,3.0,6.1
31,600936.SH,600936,广西广电,影视音像,5.11,3.0,5.07
32,002109.SZ,002109,兴化股份,化工原料,4.85,3.0,4.63
33,603589.SH,603589,口子窖,白酒,4.79,3.0,50.51
34,600486.SH,600486,扬农化工,农药化肥,4.77,3.0,51.02
35,600121.SH,600121,郑州煤电,煤炭开采,4.74,4.0,3.54
36,300127.SZ,300127,银河磁体,元器件,4.74,3.0,12.99
37,000557.SZ,000557,西部创业,铁路,4.54,3.0,4.61
38,300156.SZ,300156,神雾环保,环境保护,4.47,3.0,4.2
39,600846.SH,600846,同济科技,综合类,4.4,3.0,10.04
40,300152.SZ,300152,科融环境,环境保护,4.39,3.0,2.77
41,300046.SZ,300046,台基股份,半导体,4.29,3.0,16.45
42,600841.SH,600841,上柴股份,机械基件,4.14,4.0,9.05
43,600644.SH,600644,乐山电力,水力发电,4.06,3.0,6.3
44,600610.SH,600610,*ST毅达,建筑施工,4.06,3.0,4.1
45,603088.SH,603088,宁波精达,专用机械,4.02,3.0,13.99
46,603129.SH,603129,春风动力,摩托车,3.95,3.0,22.03
47,002015.SZ,002015,霞客环保,化纤,3.84,3.0,6.21
48,601339.SH,601339,百隆东方,纺织,3.81,5.0,5.64
49,600530.SH,600530,交大昂立,医疗保健,3.74,3.0,6.15
50,603330.SH,603330,上海天洋,塑料,3.69,3.0,22.66
51,000517.SZ,000517,荣安地产,区域地产,3.67,3.0,3.05
52,000407.SZ,000407,胜利股份,供气供热,3.65,3.0,4.67
53,000950.SZ,000950,重药控股,农药化肥,3.65,3.0,6.23
54,600197.SH,600197,伊力特,白酒,3.64,4.0,18.6
55,000715.SZ,000715,中兴商业,百货,3.62,3.0,8.88
