,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS
0,002274.SZ,002274,华昌化工,农药化肥,8.02,870.7
1,002805.SZ,002805,丰元股份,化工原料,20.39,643.73
2,600593.SH,600593,大连圣亚,旅游服务,37.3,643.13
3,002332.SZ,002332,仙琚制药,生物制药,8.37,619.84
4,603313.SH,603313,梦百合,家居用品,28.58,533.49
5,000422.SZ,000422,*ST宜化,农药化肥,4.28,501.63
6,000036.SZ,000036,华联控股,全国地产,7.27,492.05
7,603180.SH,603180,金牌厨柜,家居用品,87.53,457.66
8,601107.SH,601107,四川成渝,路桥,4.5,454.79
9,002698.SZ,002698,博实股份,化工机械,13.4,453.58
10,002737.SZ,002737,葵花药业,中成药,18.75,443.69
11,300198.SZ,300198,纳川股份,塑料,4.71,424.63
12,600258.SH,600258,首旅酒店,酒店餐饮,20.67,415.38
13,000856.SZ,000856,冀东装备,机械基件,17.05,372.18
14,603060.SH,603060,国检集团,建筑施工,26.48,359.66
15,002182.SZ,002182,云海金属,小金属,8.94,348.22
16,603027.SH,603027,千禾味业,食品,22.3,343.46
17,600515.SH,600515,海航基础,全国地产,6.13,335.21
18,002892.SZ,002892,科力尔,电气设备,52.0,329.29
19,600630.SH,600630,龙头股份,纺织,9.65,329.27
20,600466.SH,600466,蓝光发展,区域地产,7.21,320.19
21,600383.SH,600383,金地集团,全国地产,12.66,319.03
22,002731.SZ,002731,萃华珠宝,服饰,23.38,318.58
23,002816.SZ,002816,和科达,专用机械,22.9,314.38
24,600150.SH,600150,*ST船舶,船舶,19.86,312.99
25,600456.SH,600456,宝钛股份,小金属,24.31,306.3
26,002531.SZ,002531,天顺风能,电气设备,6.83,299.98
27,002158.SZ,002158,汉钟精机,工程机械,10.56,291.61
28,002370.SZ,002370,亚太药业,化学制药,15.01,278.37
29,603721.SH,603721,中广天择,影视音像,26.6,276.06
30,000858.SZ,000858,五粮液,白酒,84.47,273.0
31,600754.SH,600754,锦江股份,酒店餐饮,27.02,266.0
32,000917.SZ,000917,电广传媒,影视音像,9.16,265.61
33,600871.SH,600871,*ST油服,石油开采,2.48,261.86
34,002735.SZ,002735,王子新材,塑料,31.2,256.56
35,600867.SH,600867,通化东宝,生物制药,17.45,254.08
36,603333.SH,603333,尚纬股份,电气设备,8.08,252.92
37,600529.SH,600529,山东药玻,医疗保健,24.14,252.07
38,600491.SH,600491,龙元建设,建筑施工,8.2,250.12
39,603208.SH,603208,江山欧派,家居用品,38.27,249.72
40,002843.SZ,002843,泰嘉股份,钢加工,16.78,246.25
41,603377.SH,603377,东方时尚,汽车服务,16.63,246.1
42,600259.SH,600259,广晟有色,小金属,36.49,244.88
43,002478.SZ,002478,常宝股份,钢加工,5.74,243.44
44,002661.SZ,002661,克明面业,食品,16.85,242.6
45,000816.SZ,000816,*ST慧业,农用机械,2.4,241.96
46,300569.SZ,300569,天能重工,专用机械,21.81,235.67
47,603919.SH,603919,金徽酒,白酒,14.8,232.63
48,600326.SH,600326,西藏天路,建筑施工,9.14,231.85
49,002705.SZ,002705,新宝股份,家用电器,11.91,230.96
50,002803.SZ,002803,吉宏股份,广告包装,22.0,229.74
51,603737.SH,603737,三棵树,染料涂料,59.51,226.18
52,002208.SZ,002208,合肥城建,区域地产,15.54,220.8
53,000568.SZ,000568,泸州老窖,白酒,59.16,218.03
54,002412.SZ,002412,汉森制药,中成药,17.58,216.41
55,002271.SZ,002271,东方雨虹,其他建材,21.09,216.23
56,000523.SZ,000523,广州浪奇,日用化工,5.88,214.48
57,000779.SZ,000779,三毛派神,纺织,12.08,214.0
58,600031.SH,600031,三一重工,工程机械,12.09,213.93
59,000955.SZ,000955,欣龙控股,纺织,5.94,213.03
60,600807.SH,600807,*ST天业,区域地产,5.65,212.73
61,603922.SH,603922,金鸿顺,汽车配件,24.62,211.88
