,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE
0,300766.SZ,300766,N每日,互联网,19.98,1.0,0.0,20.72
1,300762.SZ,300762,上海瀚讯,通信设备,16.73,8.0,0.0,50.25
2,002951.SZ,002951,金时科技,广告包装,16.05,7.0,0.0,27.86
3,300765.SZ,300765,新诺威,食品,16.01,2.0,0.0,42.64
4,300763.SZ,300763,锦浪科技,电气设备,15.15,5.0,0.0,61.79
5,000159.SZ,000159,国际实业,石油贸易,12.89,9.0,1.0,10.55
6,300536.SZ,300536,农尚环境,建筑施工,12.14,8.0,0.0,20.0
7,002950.SZ,002950,奥美医疗,医疗保健,10.45,9.0,0.0,37.22
8,300236.SZ,300236,上海新阳,半导体,9.76,4.0,0.0,43.8
9,300663.SZ,300663,科蓝软件,软件服务,9.35,7.0,0.0,37.5
10,600734.SH,600734,实达集团,电脑设备,9.34,4.0,1.0,9.07
11,000990.SZ,000990,诚志股份,化工原料,8.18,9.0,0.0,27.6
12,000590.SZ,000590,启迪古汉,中成药,8.01,7.0,0.0,12.94
13,600345.SH,600345,长江通信,通信设备,7.97,8.0,0.0,38.44
14,600072.SH,600072,中船科技,船舶,7.77,9.0,0.0,14.13
15,601515.SH,601515,东风股份,广告包装,7.75,6.0,0.0,14.31
16,002565.SZ,002565,顺灏股份,造纸,7.72,5.0,0.0,16.37
17,300037.SZ,300037,新宙邦,化工原料,7.64,2.0,1.0,26.73
18,000610.SZ,000610,西安旅游,旅游服务,7.56,7.0,0.0,14.81
19,600220.SH,600220,江苏阳光,纺织,7.52,2.0,0.0,3.44
20,002307.SZ,002307,北新路桥,建筑施工,7.35,9.0,1.0,8.82
21,600232.SH,600232,金鹰股份,纺织,7.19,8.0,0.0,8.4
22,600648.SH,600648,外高桥,园区开发,7.01,3.0,1.0,17.95
23,600639.SH,600639,浦东金桥,园区开发,6.97,4.0,1.0,15.8
24,300171.SZ,300171,东富龙,医疗保健,6.97,6.0,1.0,11.59
25,002124.SZ,002124,天邦股份,饲料,6.96,1.0,0.0,17.36
26,600536.SH,600536,中国软件,软件服务,6.64,6.0,0.0,60.2
27,002265.SZ,002265,西仪股份,汽车配件,6.54,4.0,0.0,12.1
28,000677.SZ,000677,恒天海龙,化纤,6.16,8.0,0.0,4.94
29,002100.SZ,002100,天康生物,饲料,6.11,1.0,0.0,9.03
30,601226.SH,601226,华电重工,专用机械,6.11,7.0,0.0,6.25
31,002759.SZ,002759,天际股份,家用电器,6.03,4.0,1.0,9.82
32,600800.SH,600800,天津磁卡,综合类,5.88,8.0,1.0,8.36
