,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,600278.SH,600278,东方创业,商贸代理,9.28,10.0,15.51
1,600284.SH,600284,浦东建设,建筑施工,7.2,4.0984,8.89
2,600648.SH,600648,外高桥,园区开发,7.01,-6.0209,17.95
3,600639.SH,600639,浦东金桥,园区开发,6.97,-9.9715,15.8
4,600630.SH,600630,龙头股份,纺织,5.48,-4.55,9.65
5,600621.SH,600621,华鑫股份,证券,4.66,-6.398,14.63
6,600602.SH,600602,云赛智联,软件服务,4.63,4.6243,9.05
7,601607.SH,601607,上海医药,医药商业,4.6,-5.8005,20.3
8,600843.SH,600843,上工申贝,纺织机械,4.22,-3.7838,8.9
9,600663.SH,600663,陆家嘴,园区开发,3.54,-5.3619,17.65
10,600641.SH,600641,万业企业,区域地产,3.42,-2.7633,13.02
11,600272.SH,600272,开开实业,中成药,3.13,-4.0583,9.22
12,600819.SH,600819,耀皮玻璃,玻璃,3.04,-2.0168,5.83
13,600637.SH,600637,东方明珠,影视音像,2.87,-3.1153,12.44
14,600826.SH,600826,兰生股份,商贸代理,2.58,-3.7657,11.5
15,600171.SH,600171,上海贝岭,半导体,2.52,-0.4181,14.29
16,600626.SH,600626,申达股份,纺织,2.37,-2.9595,6.23
17,600833.SH,600833,第一医药,医药商业,2.23,-1.2774,10.82
18,603881.SH,603881,数据港,电信运营,2.22,-1.0714,41.55
19,002401.SZ,002401,中远海科,软件服务,2.11,-0.8403,11.8
20,600822.SH,600822,上海物贸,商贸代理,2.11,-5.1754,10.81
21,600848.SH,600848,上海临港,园区开发,1.91,-3.8462,30.25
22,600597.SH,600597,光明乳业,乳制品,1.8,-6.0577,9.77
23,600616.SH,600616,金枫酒业,红黄药酒,1.79,-2.24,6.11
24,600824.SH,600824,益民集团,百货,1.79,-5.7018,4.3
25,600692.SH,600692,亚通股份,房产服务,1.58,-1.5348,8.34
26,600838.SH,600838,上海九百,百货,1.5,-4.4416,7.53
27,601595.SH,601595,上海电影,影视音像,1.45,-3.4906,14.93
28,600754.SH,600754,锦江股份,酒店餐饮,1.26,-2.3844,27.02
29,600834.SH,600834,申通地铁,公共交通,1.16,-3.8415,8.01
30,600732.SH,600732,ST新梅,区域地产,1.15,-4.5161,5.92
31,603128.SH,603128,华贸物流,仓储物流,1.07,-5.6774,7.31
32,600618.SH,600618,氯碱化工,化工原料,0.72,-3.815,8.32
33,600835.SH,600835,上海机电,运输设备,0.33,-1.3777,17.18
34,600820.SH,600820,隧道股份,建筑施工,-0.63,-2.5435,7.28
35,600612.SH,600612,老凤祥,服饰,-0.68,-1.6332,42.16
36,600104.SH,600104,上汽集团,汽车整车,-0.77,0.5473,25.72
37,600623.SH,600623,华谊集团,汽车配件,-0.8,-2.9567,9.19
38,600748.SH,600748,上实发展,全国地产,-0.86,0.114,8.78
39,600708.SH,600708,光明地产,全国地产,-0.93,-2.9412,4.95
40,601727.SH,601727,上海电气,电气设备,-0.95,-2.4834,5.89
41,600073.SH,600073,上海梅林,食品,-0.98,-1.1737,8.42
42,600097.SH,600097,开创国际,渔业,-1.09,0.3915,12.82
43,600611.SH,600611,大众交通,公共交通,-1.11,-2.7778,4.9
44,600675.SH,600675,中华企业,区域地产,-1.21,-4.4313,6.47
45,600629.SH,600629,华建集团,建筑施工,-1.22,-2.4115,12.95
46,600628.SH,600628,新世界,百货,-1.3,-2.5773,7.56
47,601872.SH,601872,招商轮船,水运,-1.3,-2.5641,4.56
48,002889.SZ,002889,东方嘉盛,仓储物流,-1.36,-3.5741,25.9
49,600642.SH,600642,申能股份,火力发电,-1.42,-2.2887,5.55
50,600773.SH,600773,西藏城投,区域地产,-1.56,-0.2516,7.93
51,601211.SH,601211,国泰君安,证券,-1.59,-2.2384,18.78
52,600170.SH,600170,上海建工,建筑施工,-1.6,-2.6316,3.7
53,601200.SH,601200,上海环境,环境保护,-1.61,-2.8571,15.3
54,600606.SH,600606,绿地控股,全国地产,-1.62,-2.2819,7.28
55,600619.SH,600619,海立股份,机械基件,-1.66,-4.065,9.44
56,002561.SZ,002561,徐家汇,百货,-1.71,-3.6688,9.19
57,600827.SH,600827,百联股份,超市连锁,-1.72,-2.3952,9.78
58,603648.SH,603648,畅联股份,仓储物流,-1.75,-4.3545,12.52
59,600009.SH,600009,上海机场,机场,-1.83,0.0175,57.06
60,600649.SH,600649,城投控股,区域地产,-2.02,-2.9777,7.82
61,603329.SH,603329,上海雅仕,仓储物流,-2.15,-4.6086,17.18
62,600676.SH,600676,交运股份,公共交通,-2.2,-3.4358,5.34
63,600662.SH,600662,强生控股,公共交通,-2.47,-4.4643,5.35
64,603535.SH,603535,嘉诚国际,仓储物流,-2.49,-3.2182,20.45
65,600651.SH,600651,飞乐音响,电器仪表,-2.58,-5.7658,5.23
66,600650.SH,600650,锦江投资,公共交通,-2.68,-5.0725,11.79
67,600689.SH,600689,上海三毛,纺织,-3.03,-6.348,11.95
68,600018.SH,600018,上港集团,港口,-3.14,-3.2168,6.92
69,600741.SH,600741,华域汽车,汽车配件,-3.82,-4.4955,19.97
70,600841.SH,600841,上柴股份,机械基件,-3.9,-2.7927,9.05
71,600604.SH,600604,市北高新,园区开发,-4.18,-6.7829,14.43
72,600895.SH,600895,张江高科,园区开发,-4.28,-8.2677,23.3
73,600119.SH,600119,长江投资,仓储物流,-4.42,-7.4646,7.19
74,600679.SH,600679,上海凤凰,文教休闲,-4.97,-7.7792,14.7
