,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,000503.SZ,000503,国新健康,医疗保健,12.27,9.9961,27.95
1,600278.SH,600278,东方创业,商贸代理,9.28,10.0,15.51
2,600284.SH,600284,浦东建设,建筑施工,7.2,4.0984,8.89
3,600648.SH,600648,外高桥,园区开发,7.01,-6.0209,17.95
4,600639.SH,600639,浦东金桥,园区开发,6.97,-9.9715,15.8
5,000793.SZ,000793,华闻传媒,出版业,5.42,-8.0439,5.03
6,300324.SZ,300324,旋极信息,软件服务,4.37,2.3952,8.55
7,002159.SZ,002159,三特索道,旅游服务,4.21,-3.9373,22.69
8,600238.SH,600238,*ST椰岛,红黄药酒,3.72,0.5531,9.09
9,600663.SH,600663,陆家嘴,园区开发,3.54,-5.3619,17.65
10,600209.SH,600209,*ST罗顿,综合类,3.15,-4.9336,5.01
11,300189.SZ,300189,神农基因,种植业,2.39,5.2632,4.2
12,600138.SH,600138,中青旅,旅游服务,2.38,-3.6703,16.01
13,300630.SZ,300630,普利制药,化学制药,2.33,-1.44,71.18
14,600896.SH,600896,*ST海投,水运,2.25,-4.9209,5.41
15,000613.SZ,000613,大东海A,旅游服务,2.15,-5.8756,8.17
16,002401.SZ,002401,中远海科,软件服务,2.11,-0.8403,11.8
17,600822.SH,600822,上海物贸,商贸代理,2.11,-5.1754,10.81
18,002596.SZ,002596,海南瑞泽,其他建材,2.09,-6.5336,10.3
19,600848.SH,600848,上海临港,园区开发,1.91,-3.8462,30.25
20,300144.SZ,300144,宋城演艺,旅游景点,1.88,-1.6314,22.31
21,603869.SH,603869,新智认知,软件服务,1.79,-1.0422,20.89
22,300075.SZ,300075,数字政通,软件服务,1.74,-4.0238,12.88
23,600692.SH,600692,亚通股份,房产服务,1.58,-1.5348,8.34
24,000566.SZ,000566,海南海药,化学制药,1.45,-4.5131,8.04
25,000886.SZ,000886,海南高速,路桥,1.37,-4.4061,4.99
26,600258.SH,600258,首旅酒店,酒店餐饮,1.17,-3.1396,20.67
27,603128.SH,603128,华贸物流,仓储物流,1.07,-5.6774,7.31
28,601118.SH,601118,海南橡胶,橡胶,0.94,-4.6233,5.57
29,002065.SZ,002065,东华软件,软件服务,0.91,-2.0067,8.79
30,603222.SH,603222,济民制药,化学制药,0.88,-0.7692,24.51
31,601199.SH,601199,江南水务,水务,0.55,-2.2989,4.25
32,600759.SH,600759,洲际油气,石油开采,-0.87,-4.2735,3.36
33,300086.SZ,300086,康芝药业,化学制药,-0.9,-3.1204,6.52
34,000537.SZ,000537,广宇发展,区域地产,-1.11,-3.1903,8.8
35,000505.SZ,000505,京粮控股,食品,-1.18,-4.8048,6.34
36,600179.SH,600179,安通控股,仓储物流,-1.24,-2.2785,7.72
37,603882.SH,603882,金域医学,医疗保健,-1.26,-4.0439,28.0
38,000571.SZ,000571,新大洲A,综合类,-1.28,-4.4619,3.64
39,601872.SH,601872,招商轮船,水运,-1.3,-2.5641,4.56
40,002693.SZ,002693,双成药业,化学制药,-1.32,-4.1096,4.9
41,603069.SH,603069,海汽集团,公路,-1.35,-5.0602,7.88
42,002889.SZ,002889,东方嘉盛,仓储物流,-1.36,-3.5741,25.9
43,600221.SH,600221,海航控股,空运,-1.36,-4.0179,2.15
44,000567.SZ,000567,海德股份,多元金融,-1.43,-2.2929,13.21
45,603648.SH,603648,畅联股份,仓储物流,-1.75,-4.3545,12.52
46,600392.SH,600392,盛和资源,小金属,-1.81,-1.6722,11.76
47,600009.SH,600009,上海机场,机场,-1.83,0.0175,57.06
48,002865.SZ,002865,钧达股份,汽车配件,-1.94,-4.9888,21.14
49,600515.SH,600515,海航基础,全国地产,-1.97,-4.8137,6.13
50,603329.SH,603329,上海雅仕,仓储物流,-2.15,-4.6086,17.18
51,600676.SH,600676,交运股份,公共交通,-2.2,-3.4358,5.34
52,002354.SZ,002354,天神娱乐,互联网,-2.23,-5.7143,5.61
53,000735.SZ,000735,罗牛山,农业综合,-2.23,-0.1547,12.91
54,600157.SH,600157,永泰能源,煤炭开采,-2.33,-4.5662,2.09
55,603167.SH,603167,渤海轮渡,水运,-2.44,0.5865,10.29
56,603535.SH,603535,嘉诚国际,仓储物流,-2.49,-3.2182,20.45
57,601969.SH,601969,海南矿业,普钢,-2.65,-3.5514,5.16
58,601888.SH,601888,中国国旅,旅游服务,-2.66,1.6611,63.65
59,600650.SH,600650,锦江投资,公共交通,-2.68,-5.0725,11.79
60,600018.SH,600018,上港集团,港口,-3.14,-3.2168,6.92
61,002320.SZ,002320,海峡股份,水运,-3.21,-6.0411,16.02
62,600555.SH,600555,海航创新,旅游服务,-3.21,-3.7143,3.37
63,000572.SZ,000572,海马汽车,汽车整车,-3.81,-6.8966,2.7
64,300370.SZ,300370,安控科技,电器仪表,-3.97,-1.912,5.13
65,600895.SH,600895,张江高科,园区开发,-4.28,-8.2677,23.3
66,600119.SH,600119,长江投资,仓储物流,-4.42,-7.4646,7.19
67,000955.SZ,000955,欣龙控股,纺织,-6.02,-2.4631,5.94
