,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,600648.SH,600648,外高桥,园区开发,7.81,10.0232,23.71
1,600848.SH,600848,上海临港,园区开发,4.82,9.987,33.92
2,603128.SH,603128,华贸物流,仓储物流,4.34,10.0242,9.11
3,600639.SH,600639,浦东金桥,园区开发,4.03,7.2311,17.35
4,002401.SZ,002401,中远海科,软件服务,3.75,7.4074,13.05
5,002889.SZ,002889,东方嘉盛,仓储物流,3.44,5.8611,29.26
6,600009.SH,600009,上海机场,机场,3.39,0.1611,62.17
7,600676.SH,600676,交运股份,公共交通,3.37,9.9638,6.07
8,600284.SH,600284,浦东建设,建筑施工,3.34,9.4711,8.9
9,600119.SH,600119,长江投资,仓储物流,3.11,10.0141,7.8
10,603329.SH,603329,上海雅仕,仓储物流,3.01,9.9888,19.71
11,600692.SH,600692,亚通股份,房产服务,2.96,6.2207,9.05
12,600822.SH,600822,上海物贸,商贸代理,2.72,10.0441,12.49
13,603648.SH,603648,畅联股份,仓储物流,2.67,9.9849,14.54
14,600895.SH,600895,张江高科,园区开发,2.65,0.6253,24.14
15,603535.SH,603535,嘉诚国际,仓储物流,2.61,10.014,23.62
16,600663.SH,600663,陆家嘴,园区开发,2.6,7.4114,20.0
17,600650.SH,600650,锦江投资,公共交通,2.45,9.9838,13.55
18,601872.SH,601872,招商轮船,水运,2.39,9.9593,5.41
19,600018.SH,600018,上港集团,港口,2.38,9.9591,8.06
20,600278.SH,600278,东方创业,商贸代理,-3.08,3.6907,17.7
