,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE
0,300766.SZ,300766,每日互动,互联网,11.0,10.0082,53.75
1,300194.SZ,300194,福安药业,化学制药,8.0,10.0,8.03
2,300767.SZ,300767,震安科技,橡胶,7.0,10.0102,53.85
3,600517.SH,600517,置信电气,电气设备,7.0,9.9882,9.36
4,300378.SZ,300378,鼎捷软件,软件服务,6.0,10.0127,26.04
5,002496.SZ,002496,辉丰股份,农药化肥,4.0,10.0737,4.48
6,002099.SZ,002099,海翔药业,化学制药,4.0,9.9794,10.69
7,002748.SZ,002748,世龙实业,化工原料,4.0,10.0251,13.17
8,600150.SH,600150,中国船舶,船舶,3.0,10.0163,27.02
9,300435.SZ,300435,中泰股份,机械基件,3.0,10.0254,17.34
10,002347.SZ,002347,泰尔股份,机械基件,3.0,10.0813,6.77
11,000514.SZ,000514,渝开发,区域地产,3.0,10.0,6.82
12,300275.SZ,300275,梅安森,软件服务,3.0,9.9917,13.32
13,000958.SZ,000958,东方能源,火力发电,3.0,9.9494,6.52
14,300266.SZ,300266,兴源环境,环境保护,3.0,10.0324,6.8
15,603998.SH,603998,方盛制药,中成药,3.0,9.9682,10.37
16,002693.SZ,002693,双成药业,化学制药,2.0,9.9476,6.3
17,002629.SZ,002629,仁智股份,石油开采,2.0,10.0402,5.48
18,300338.SZ,300338,开元股份,文教休闲,2.0,9.9822,12.34
19,002761.SZ,002761,多喜爱,纺织,2.0,9.9834,19.83
20,600112.SH,600112,天成控股,电气设备,2.0,10.0935,5.89
21,600555.SH,600555,海航创新,旅游服务,2.0,10.0,4.07
22,600775.SH,600775,南京熊猫,通信设备,2.0,10.0386,14.25
23,002581.SZ,002581,未名医药,生物制药,2.0,10.0204,10.76
24,000004.SZ,000004,国农科技,生物制药,2.0,10.0138,23.84
25,000673.SZ,000673,当代东方,影视音像,2.0,10.0,7.15
26,000651.SZ,000651,格力电器,家用电器,2.0,9.9942,57.12
27,000922.SZ,000922,佳电股份,电气设备,2.0,10.0,12.21
28,000509.SZ,000509,华塑控股,其他建材,2.0,9.9707,3.75
29,600365.SH,600365,通葡股份,红黄药酒,1.0,9.9609,5.63
30,000518.SZ,000518,四环生物,生物制药,1.0,10.1205,4.57
31,000565.SZ,000565,渝三峡A,染料涂料,1.0,10.0559,7.88
32,600513.SH,600513,联环药业,化学制药,1.0,10.0613,8.97
33,600418.SH,600418,江淮汽车,汽车整车,1.0,10.0329,6.69
34,002355.SZ,002355,兴民智通,汽车配件,1.0,9.9576,10.38
35,600568.SH,600568,中珠医疗,区域地产,1.0,10.0346,3.18
36,600299.SH,600299,安迪苏,化学制药,1.0,10.0383,14.36
37,600203.SH,600203,福日电子,元器件,1.0,10.0275,8.01
38,600165.SH,600165,新日恒力,钢加工,1.0,10.0,6.38
39,600163.SH,600163,中闽能源,新型电力,1.0,10.0209,5.27
40,000622.SZ,000622,恒立实业,汽车配件,1.0,9.9415,7.52
41,600300.SH,600300,维维股份,软饮料,1.0,10.0279,3.95
42,600613.SH,600613,神奇制药,中成药,1.0,9.9765,9.37
43,600594.SH,600594,益佰制药,中成药,1.0,10.0279,7.9
44,600666.SH,600666,奥瑞德,元器件,1.0,10.0239,4.61
45,600733.SH,600733,北汽蓝谷,汽车整车,1.0,9.9894,10.35
46,600736.SH,600736,苏州高新,园区开发,1.0,10.0376,8.77
47,600737.SH,600737,中粮糖业,食品,1.0,10.0513,10.73
48,600789.SH,600789,鲁抗医药,化学制药,1.0,9.9906,11.67
49,600875.SH,600875,东方电气,电气设备,1.0,10.0187,11.75
50,600963.SH,600963,岳阳林纸,造纸,1.0,10.0971,5.67
51,601008.SH,601008,连云港,港口,1.0,9.9533,7.07
52,603117.SH,603117,万林物流,仓储物流,1.0,9.919,5.43
53,603519.SH,603519,立霸股份,家用电器,1.0,10.0088,12.53
54,603577.SH,603577,汇金通,钢加工,1.0,9.9768,18.96
55,603966.SH,603966,法兰泰克,机械基件,1.0,9.9924,14.53
56,603977.SH,603977,国泰集团,化工原料,1.0,9.9664,9.82
57,600081.SH,600081,东风科技,汽车配件,1.0,10.0193,11.42
58,000736.SZ,000736,中交地产,全国地产,1.0,10.0266,12.4
59,002349.SZ,002349,精华制药,中成药,1.0,10.0139,7.91
60,300743.SZ,300743,天地数码,电脑设备,1.0,9.991,49.1
61,002630.SZ,002630,华西能源,专用机械,1.0,10.1093,4.03
62,002245.SZ,002245,澳洋顺昌,仓储物流,1.0,10.0189,5.82
63,002742.SZ,002742,三圣股份,其他建材,1.0,10.0115,9.56
64,002237.SZ,002237,恒邦股份,黄金,1.0,10.0096,11.43
65,002072.SZ,002072,凯瑞德,互联网,1.0,10.0457,7.23
66,002846.SZ,002846,英联股份,广告包装,1.0,10.0204,16.14
67,300004.SZ,300004,南风股份,电气设备,1.0,9.919,5.43
68,300006.SZ,300006,莱美药业,化学制药,1.0,10.0,8.8
69,300014.SZ,300014,亿纬锂能,电气设备,1.0,10.0038,29.14
70,300090.SZ,300090,盛运环保,环境保护,1.0,10.0386,2.85
71,300119.SZ,300119,瑞普生物,生物制药,1.0,10.0067,16.38
72,300165.SZ,300165,天瑞仪器,电器仪表,1.0,10.0486,6.79
73,002064.SZ,002064,华峰氨纶,化纤,1.0,10.0,5.94
74,300200.SZ,300200,高盟新材,化工原料,1.0,10.0216,10.21
75,300240.SZ,300240,飞力达,仓储物流,1.0,10.0114,9.67
76,002040.SZ,002040,南京港,港口,1.0,9.9921,13.98
77,000927.SZ,000927,一汽夏利,汽车整车,1.0,10.0885,6.22
78,000078.SZ,000078,海王生物,生物制药,1.0,9.9783,5.07
79,000815.SZ,000815,美利云,造纸,1.0,10.0437,10.08
80,300396.SZ,300396,迪瑞医疗,医疗保健,1.0,10.0227,19.43
81,300412.SZ,300412,迦南科技,医疗保健,1.0,9.9751,8.82
82,000811.SZ,000811,冰轮环境,工程机械,1.0,9.9542,9.61
83,300489.SZ,300489,中飞股份,铝,1.0,9.9881,18.5
84,300514.SZ,300514,友讯达,通信设备,1.0,10.0128,17.14
85,300519.SZ,300519,新光药业,中成药,1.0,9.9823,18.62
86,300573.SZ,300573,兴齐眼药,化学制药,1.0,10.0051,21.77
87,300586.SZ,300586,美联新材,化工原料,1.0,9.9941,18.6
88,300700.SZ,300700,岱勒新材,矿物制品,1.0,10.0075,29.35
89,300705.SZ,300705,九典制药,化学制药,1.0,10.0065,17.04
90,300370.SZ,300370,安控科技,电器仪表,1.0,10.0386,5.7
