,COL_CONCEPT,COL_AVERAGE_EIGEN_SLOPE
0,央企改革,11.76
1,医药,10.72
2,复牌股,10.53
3,无人驾驶,10.23
4,快递物流,9.7
5,壳公司,9.39
6,新能源汽车,9.31
7,燃料电池,9.26
8,资产重组,9.18
9,风电,9.17
10,债转股-AMC,9.04
11,回购,9.0
12,汽车零部件,8.82
13,工业大麻,8.74
14,股权转让,8.7
15,化学药,8.68
16,创新药,8.67
17,工业互联网,8.66
18,智能制造,8.64
19,军工,8.59
20,房地产,8.53
21,新能源整车,8.43
22,光伏,8.35
23,强势人气股,8.34
24,汽车整车,8.19
25,混改,8.18
26,雄安新区,8.16
27,国家队重仓,7.98
28,一带一路,7.97
29,中药,7.91
30,国资入股,7.9
31,高质押率,7.88
32,MSCI,7.87
33,环保,7.85
34,创投,7.62
35,业绩预增,7.6
36,工业自动化,7.45
37,ST摘帽,7.42
38,自贸区,7.39
39,污水处理,7.31
40,机器人,7.31
41,独角兽,7.28
42,军工研究所,7.23
43,军民融合,7.06
44,自由贸易港,7.01
45,电改,6.99
46,国产软件,6.96
47,定增破发,6.89
48,华为产业链,6.89
49,纺织服装,6.88
50,京津冀,6.88
51,流感,6.81
52,举牌股,6.8
53,天然气,6.78
54,大数据,6.7
55,食品,6.67
56,破净股,6.65
57,社保重仓,6.59
58,高股息,6.57
59,百度概念股,6.55
60,锂电池,6.49
61,固废处理,6.48
62,物联网,6.44
63,特斯拉,6.44
64,油气改革,6.43
65,大气治理,6.43
66,游戏,6.37
67,重庆国企改革,6.35
68,人工智能,6.32
69,券商,6.32
70,共享经济,6.16
71,军工混改,6.11
72,智能仪表,6.06
73,特色小镇,6.06
74,智慧物流,5.99
75,核电,5.97
76,5G,5.96
77,火电,5.92
78,家电,5.9
79,低价股,5.74
80,小家电,5.68
81,区块链,5.67
82,智慧城市,5.65
83,石油化工,5.64
84,高铁轨交,5.63
85,新疆,5.62
86,海工装备,5.61
87,互联网金融,5.6
88,教育,5.58
89,雄安-园林环保,5.58
90,大消费,5.54
91,山东国企改革,5.48
92,智慧安防,5.42
93,医药商业,5.39
94,半导体,5.38
95,手游,5.37
96,透明工厂,5.31
97,乡村振兴,5.28
98,储能,5.27
99,海南,5.21
100,海南自由贸易港,5.21
101,雄安-公共服务,5.17
102,北斗导航,5.16
103,保健品,5.16
104,ST股,5.13
105,造纸,5.11
106,充电桩,5.1
107,3D打印,5.1
108,基因测序,5.06
109,航母,5.01
110,云计算,5.01
111,白马股,4.99
112,油服,4.97
113,上海自由贸易港,4.92
114,蔚来汽车概念股,4.89
115,煤化工,4.88
116,白色家电,4.88
117,国产芯片,4.82
118,白糖,4.81
119,广西,4.81
120,宁夏,4.8
121,中字头,4.79
122,高送转-预期,4.78
123,北汽新能源,4.77
124,民营医院,4.75
125,PPP,4.74
