,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,002581.SZ,002581,未名医药,生物制药,12.6,-7.7679,9.38
1,600513.SH,600513,联环药业,化学制药,11.46,-5.9685,8.35
2,000518.SZ,000518,四环生物,生物制药,10.75,-3.5242,4.38
3,300573.SZ,300573,兴齐眼药,化学制药,9.79,10.0,27.5
4,603998.SH,603998,方盛制药,中成药,8.35,-0.7968,12.45
5,600789.SH,600789,鲁抗医药,化学制药,7.89,-1.687,10.49
6,000078.SZ,000078,海王生物,生物制药,7.7,-3.7657,4.6
7,002349.SZ,002349,精华制药,中成药,7.6,-2.2973,7.23
8,300194.SZ,300194,福安药业,化学制药,7.18,10.0654,8.42
9,000538.SZ,000538,云南白药,中成药,7.12,-0.9224,89.15
10,600771.SH,600771,广誉远,中成药,6.81,2.0461,35.41
11,600594.SH,600594,益佰制药,中成药,6.53,-1.8106,7.05
12,002102.SZ,002102,ST冠福,化学制药,6.37,4.1096,2.28
13,002742.SZ,002742,三圣股份,其他建材,6.15,2.4706,8.71
14,002750.SZ,002750,龙津药业,中成药,6.08,-6.1741,18.54
15,300158.SZ,300158,振东制药,中成药,5.88,-9.6886,5.22
16,002727.SZ,002727,一心堂,医药商业,5.63,0.4159,26.56
17,603168.SH,603168,莎普爱思,化学制药,5.54,-2.1041,8.84
18,300519.SZ,300519,新光药业,中成药,5.29,-1.6777,16.41
19,000919.SZ,000919,金陵药业,化学制药,5.26,4.0284,8.78
20,300039.SZ,300039,上海凯宝,中成药,5.11,-2.0794,5.18
21,000950.SZ,000950,重药控股,医药商业,4.98,2.9167,7.41
22,603939.SH,603939,益丰药房,医药商业,4.92,-0.1906,57.59
23,300702.SZ,300702,天宇股份,化学制药,4.86,-0.1032,38.71
24,000411.SZ,000411,英特集团,医药商业,4.85,-1.0239,14.5
25,002872.SZ,002872,天圣制药,化学制药,4.79,-1.084,10.95
26,600196.SH,600196,复星医药,化学制药,4.66,-2.6578,29.3
27,002219.SZ,002219,恒康医疗,中成药,4.2,-0.2625,3.8
28,600216.SH,600216,浙江医药,化学制药,4.02,-1.2605,11.75
29,002019.SZ,002019,亿帆医药,化学制药,3.98,0.574,15.77
30,000705.SZ,000705,浙江震元,医药商业,3.82,-0.2442,8.17
31,600557.SH,600557,康缘药业,中成药,3.8,-2.4476,13.95
32,600812.SH,600812,华北制药,化学制药,3.58,2.1113,5.32
33,600069.SH,600069,银鸽投资,造纸,3.48,2.122,3.85
34,603456.SH,603456,九洲药业,化学制药,3.45,-2.7055,9.35
35,600422.SH,600422,昆药集团,中成药,3.4,2.1567,14.21
36,603718.SH,603718,海利生物,生物制药,3.4,4.6131,14.06
37,002626.SZ,002626,金达威,食品,3.31,1.8893,15.1
38,002644.SZ,002644,佛慈制药,中成药,3.29,-1.4799,9.32
39,002082.SZ,002082,万邦德,铝,3.28,-3.5246,11.77
40,002001.SZ,002001,新和成,化学制药,2.91,0.4223,21.4
41,300404.SZ,300404,博济医药,医疗保健,2.9,0.0613,16.32
42,000597.SZ,000597,东北制药,化学制药,2.78,0.5714,14.08
43,600750.SH,600750,江中药业,中成药,2.7,-2.7154,18.63
44,600276.SH,600276,恒瑞医药,化学制药,2.62,-1.9653,63.35
