,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,002167.SZ,002167,东方锆业,小金属,5.88,3.8369,8.66
1,600112.SH,600112,天成控股,电气设备,5.02,1.9048,5.35
2,002114.SZ,002114,罗平锌电,铅锌,4.73,0.1053,9.51
3,603799.SH,603799,华友钴业,小金属,3.56,-1.6682,42.44
4,600255.SH,600255,梦舟股份,铜,3.52,1.9531,2.61
5,300489.SZ,300489,中飞股份,铝,3.34,9.9881,18.5
6,600552.SH,600552,凯盛科技,玻璃,3.26,-4.1254,5.81
7,600615.SH,600615,丰华股份,小金属,2.71,-0.5714,13.92
8,002806.SZ,002806,华锋股份,元器件,2.7,1.8483,21.49
9,300697.SZ,300697,电工合金,铜,2.67,1.2857,14.18
10,600868.SH,600868,梅雁吉祥,水力发电,2.57,3.0369,4.75
11,002501.SZ,002501,利源精制,铝,2.54,-1.4925,3.3
12,300328.SZ,300328,宜安科技,铝,2.42,2.3697,10.8
13,000962.SZ,000962,东方钽业,小金属,2.19,-0.2275,8.77
14,002203.SZ,002203,海亮股份,铜,2.19,3.4896,9.49
15,600338.SH,600338,西藏珠峰,铅锌,1.98,-0.148,26.99
16,600101.SH,600101,明星电力,水力发电,1.78,0.1094,9.15
17,600673.SH,600673,东阳光科,铝,1.62,-2.0875,9.85
18,600768.SH,600768,宁波富邦,铝,1.34,0.1711,11.71
19,002449.SZ,002449,国星光电,半导体,1.16,-0.0648,15.43
20,000969.SZ,000969,安泰科技,钢加工,1.14,0.3681,8.18
21,601020.SH,601020,华钰矿业,铅锌,0.95,3.172,12.36
22,300408.SZ,300408,三环集团,元器件,0.5,-0.19,21.01
23,603663.SH,603663,三祥新材,矿物制品,-0.24,-2.506,20.23
24,000657.SZ,000657,中钨高新,小金属,-0.63,-0.5789,6.87
25,002182.SZ,002182,云海金属,小金属,-0.7,0.0,8.62
26,600961.SH,600961,株冶集团,铅锌,-0.74,-1.9248,10.7
27,603993.SH,603993,洛阳钼业,小金属,-0.82,0.0,4.85
28,601958.SH,601958,金钼股份,小金属,-0.83,0.0,7.17
29,000408.SZ,000408,藏格控股,农药化肥,-0.83,-4.316,11.75
30,603527.SH,603527,众源新材,铜,-0.85,-1.1583,12.8
31,600367.SH,600367,红星发展,化工原料,-0.85,-0.7718,9.0
32,000688.SZ,000688,国城矿业,铅锌,-0.85,1.3934,12.37
33,002392.SZ,002392,北京利尔,其他建材,-0.86,-0.7444,4.0
34,000751.SZ,000751,锌业股份,铅锌,-0.86,-0.5128,3.88
35,601168.SH,601168,西部矿业,铜,-0.87,-0.2915,6.84
36,000778.SZ,000778,新兴铸管,钢加工,-0.89,0.0,5.3
37,000630.SZ,000630,铜陵有色,铜,-0.89,0.0,2.62
38,600890.SH,600890,中房股份,区域地产,-0.9,-1.7722,7.76
39,601618.SH,601618,中国中冶,建筑施工,-0.93,0.5525,3.64
40,600219.SH,600219,南山铝业,铝,-0.97,-1.083,2.74
41,000697.SZ,000697,炼石航空,航空,-0.97,-2.9518,13.48
42,000633.SZ,000633,合金投资,综合类,-0.97,-4.0996,6.55
43,002128.SZ,002128,露天煤业,煤炭开采,-1.0,-1.3416,9.56
44,002160.SZ,002160,常铝股份,铝,-1.03,-0.9456,4.19
45,000758.SZ,000758,中色股份,铅锌,-1.05,0.0,5.06
46,000629.SZ,000629,攀钢钒钛,小金属,-1.06,-1.0582,3.74
47,600549.SH,600549,厦门钨业,小金属,-1.08,-0.9888,15.02
