,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,600081.SH,600081,东风科技,汽车配件,10.12,10.0,16.72
1,000800.SZ,000800,一汽轿车,汽车整车,11.19,9.9902,11.23
2,600845.SH,600845,宝信软件,软件服务,2.36,8.9226,35.89
3,000851.SZ,000851,高鸿股份,软件服务,-4.8,8.3444,8.18
4,600050.SH,600050,中国联通,电信运营,-1.06,5.1593,6.93
5,600198.SH,600198,*ST大唐,通信设备,3.41,5.0254,16.51
6,002232.SZ,002232,启明信息,软件服务,-3.3,2.73,10.16
7,600320.SH,600320,振华重工,工程机械,-1.25,2.0455,4.49
8,002415.SZ,002415,海康威视,电器仪表,-0.91,1.7049,34.6
9,600006.SH,600006,东风汽车,汽车整车,9.11,1.3081,6.97
10,000901.SZ,000901,航天科技,航空,-1.58,1.2457,14.63
11,600262.SH,600262,北方股份,汽车整车,-0.24,0.218,22.99
12,300212.SZ,300212,易华录,软件服务,2.01,0.0612,32.7
13,000625.SZ,000625,长安汽车,汽车整车,-3.87,-1.1579,9.39
