,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,600875.SH,600875,东方电气,电气设备,4.37,10.0281,15.69
1,000905.SZ,000905,厦门港务,港口,-2.83,9.9562,10.05
2,300351.SZ,300351,永贵电器,元器件,5.35,8.4772,13.82
3,601727.SH,601727,上海电气,电气设备,2.56,7.0901,7.25
4,601018.SH,601018,宁波港,港口,3.48,4.023,5.43
5,000159.SZ,000159,国际实业,石油贸易,-4.42,3.3545,11.4
6,600075.SH,600075,新疆天业,化工原料,2.08,3.0504,7.77
7,002207.SZ,002207,ST准油,石油开采,1.4,2.6918,7.63
8,601008.SH,601008,连云港,港口,-6.84,2.1002,6.32
9,600798.SH,600798,宁波海运,水运,2.99,2.0576,4.96
10,002205.SZ,002205,国统股份,其他建材,3.08,2.0202,20.2
11,002524.SZ,002524,光正集团,医疗保健,1.19,1.5254,5.99
12,600495.SH,600495,晋西车轴,运输设备,2.23,1.3514,6.0
13,603111.SH,603111,康尼机电,运输设备,-1.68,1.2797,5.54
14,002469.SZ,002469,三维工程,建筑施工,-1.16,1.2072,5.03
15,000680.SZ,000680,山推股份,工程机械,2.84,1.1628,4.35
16,300103.SZ,300103,达刚路机,工程机械,2.02,1.1459,13.24
17,002130.SZ,002130,沃尔核材,电气设备,-4.91,0.9662,6.27
18,000157.SZ,000157,中联重科,工程机械,-1.26,0.7491,5.38
19,603169.SH,603169,兰石重装,专用机械,-2.35,0.7353,6.85
20,601766.SH,601766,中国中车,运输设备,0.51,0.3209,9.38
21,002040.SZ,002040,南京港,港口,-2.5,0.2847,14.09
22,000425.SZ,000425,徐工机械,工程机械,-3.01,0.1976,5.07
23,002941.SZ,002941,新疆交建,建筑施工,-4.08,0.136,36.82
24,002307.SZ,002307,北新路桥,建筑施工,-2.4,0.1115,8.98
25,601880.SH,601880,大连港,港口,-1.22,0.0,2.48
26,601985.SH,601985,中国核电,新型电力,-0.97,0.0,6.3
27,601326.SH,601326,秦港股份,港口,-2.93,0.0,4.27
28,002438.SZ,002438,江苏神通,机械基件,0.99,-0.1221,8.18
29,000507.SZ,000507,珠海港,港口,2.17,-0.1252,7.98
30,601228.SH,601228,广州港,港口,2.18,-0.1938,5.15
31,600581.SH,600581,八一钢铁,普钢,-1.36,-0.1996,5.0
32,600368.SH,600368,五洲交通,路桥,-0.99,-0.2439,4.09
33,000088.SZ,000088,盐田港,港口,3.2,-0.2736,7.29
34,603308.SH,603308,应流股份,专用机械,-2.23,-0.3518,11.33
35,600545.SH,600545,卓郎智能,纺织机械,-1.33,-0.4745,8.39
36,601106.SH,601106,中国一重,工程机械,2.02,-0.4963,4.01
37,002302.SZ,002302,西部建设,水泥,-1.12,-0.5277,15.08
38,601390.SH,601390,中国中铁,建筑施工,0.59,-0.5312,7.49
39,000777.SZ,000777,中核科技,机械基件,-2.31,-0.5549,16.13
40,600425.SH,600425,青松建化,水泥,2.19,-0.5848,5.1
41,601919.SH,601919,中远海控,水运,-3.25,-0.6711,5.92
42,601618.SH,601618,中国中冶,建筑施工,1.2,-0.8043,3.7
43,600031.SH,600031,三一重工,工程机械,-1.46,-0.8321,13.11
44,601668.SH,601668,中国建筑,建筑施工,1.35,-0.8982,6.62
45,601611.SH,601611,中国核建,建筑施工,-2.49,-0.9174,9.72
46,601669.SH,601669,中国电建,建筑施工,1.83,-0.9804,6.06
47,000528.SZ,000528,柳工,工程机械,-1.09,-0.9816,8.07
48,600528.SH,600528,中铁工业,建筑施工,-1.78,-1.0332,13.41
49,000877.SZ,000877,天山股份,水泥,2.53,-1.0359,12.42
50,001872.SZ,001872,招商港口,港口,2.87,-1.088,20.0
51,601186.SH,601186,中国铁建,建筑施工,-1.54,-1.1735,11.79
52,002366.SZ,002366,台海核电,专用机械,-3.48,-1.296,14.47
53,600018.SH,600018,上港集团,港口,2.08,-1.5748,8.75
54,000928.SZ,000928,中钢国际,建筑施工,1.28,-1.6807,7.02
55,000881.SZ,000881,中广核技,综合类,1.77,-1.8519,11.13
56,600279.SH,600279,重庆港九,港口,-2.99,-1.8868,6.24
57,002051.SZ,002051,中工国际,建筑施工,0.86,-1.8902,16.09
58,601800.SH,601800,中国交建,建筑施工,1.41,-1.9027,13.92
59,600970.SH,600970,中材国际,建筑施工,-3.78,-1.979,8.42
60,002167.SZ,002167,东方锆业,小金属,4.44,-2.0045,8.8
