,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,002118.SZ,002118,紫鑫药业,中成药,-6.97,10.014,15.71
1,002139.SZ,002139,拓邦股份,元器件,8.04,10.0,6.71
2,000681.SZ,000681,视觉中国,互联网,-11.5,9.9951,22.45
3,002012.SZ,002012,凯恩股份,造纸,6.77,6.6274,7.24
4,600209.SH,600209,*ST罗顿,综合类,1.94,5.0699,6.01
5,300079.SZ,300079,数码科技,通信设备,6.14,4.8815,7.52
6,300682.SZ,300682,朗新科技,软件服务,3.7,4.5864,25.54
7,300350.SZ,300350,华鹏飞,仓储物流,1.4,4.3928,8.08
8,002509.SZ,002509,天广中茂,专用机械,5.67,3.8835,3.21
9,600146.SH,600146,商赢环球,服饰,-7.04,3.4307,14.17
10,002587.SZ,002587,奥拓电子,元器件,1.94,2.439,7.56
11,300072.SZ,300072,三聚环保,环境保护,5.99,2.3423,11.36
12,601619.SH,601619,嘉泽新能,新型电力,3.25,2.3091,5.76
13,300099.SZ,300099,精准信息,电器仪表,-3.46,2.1782,10.32
14,000711.SZ,000711,京蓝科技,软件服务,-1.72,1.7241,7.08
15,300219.SZ,300219,鸿利智汇,元器件,2.98,1.6355,8.7
16,300663.SZ,300663,科蓝软件,软件服务,-8.64,1.5123,53.03
17,002010.SZ,002010,传化智联,仓储物流,2.11,1.1518,9.66
18,300561.SZ,300561,汇金科技,软件服务,5.39,1.0814,19.63
19,300052.SZ,300052,中青宝,互联网,-1.04,1.0135,11.96
20,600986.SH,600986,科达股份,互联网,-2.18,0.8347,6.04
21,600839.SH,600839,四川长虹,家用电器,-0.94,0.831,3.64
22,002663.SZ,002663,普邦股份,建筑施工,-0.9,0.7958,3.8
23,600633.SH,600633,浙数文化,互联网,-2.44,0.6699,10.52
24,002517.SZ,002517,恺英网络,互联网,-1.61,0.6667,4.53
25,000040.SZ,000040,东旭蓝天,新型电力,-2.68,0.6494,9.3
26,300431.SZ,300431,暴风集团,互联网,-1.85,0.5797,10.41
27,002453.SZ,002453,华软科技,化工原料,-1.99,0.5556,7.24
28,002103.SZ,002103,广博股份,文教休闲,-5.2,0.5515,5.47
29,601360.SH,601360,三六零,互联网,1.21,0.5096,25.64
30,002400.SZ,002400,省广集团,广告包装,-0.93,0.495,4.06
31,002195.SZ,002195,二三四五,软件服务,1.22,0.4839,6.23
32,002131.SZ,002131,利欧股份,互联网,-2.04,0.4566,2.2
33,600598.SH,600598,北大荒,种植业,1.08,0.3868,10.38
34,300020.SZ,300020,银江股份,软件服务,1.72,0.3865,10.39
35,002268.SZ,002268,卫士通,软件服务,-1.26,0.3147,31.88
