,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,000760.SZ,000760,斯太尔,汽车配件,10.53,10.1408,3.91
1,002565.SZ,002565,顺灏股份,造纸,3.64,10.0251,21.95
2,002733.SZ,002733,雄韬股份,电气设备,6.81,10.0094,34.95
3,600218.SH,600218,全柴动力,农用机械,11.41,10.0,20.46
4,000536.SZ,000536,华映科技,元器件,6.46,9.9398,3.65
5,600375.SH,600375,华菱星马,汽车整车,-3.85,5.6962,6.68
6,000727.SZ,000727,华东科技,元器件,5.43,5.6818,2.79
7,002750.SZ,002750,龙津药业,中成药,-8.2,5.3242,19.98
8,000068.SZ,000068,华控赛格,元器件,6.54,5.1724,6.1
9,002930.SZ,002930,宏川智慧,仓储物流,1.9,4.9796,28.25
10,300545.SZ,300545,联得装备,专用机械,7.15,4.9671,31.91
11,300017.SZ,300017,网宿科技,电信运营,6.52,4.6131,14.06
12,300471.SZ,300471,厚普股份,专用机械,3.15,4.5236,15.25
13,002600.SZ,002600,领益智造,元器件,-3.2,4.0925,5.85
14,000990.SZ,000990,诚志股份,化工原料,-3.53,3.8662,29.82
15,000993.SZ,000993,闽东电力,水力发电,5.34,3.5377,8.78
16,600146.SH,600146,商赢环球,服饰,-7.04,3.4307,14.17
17,000159.SZ,000159,国际实业,石油贸易,-4.42,3.3545,11.4
18,000610.SZ,000610,西安旅游,旅游服务,-6.65,3.165,15.32
19,002806.SZ,002806,华锋股份,元器件,-2.16,3.1324,21.73
20,002124.SZ,002124,天邦股份,饲料,2.76,3.1,20.62
21,600604.SH,600604,市北高新,园区开发,-2.84,3.0769,14.74
22,603220.SH,603220,贝通信,通信设备,6.49,3.004,35.66
23,300175.SZ,300175,朗源股份,食品,-3.59,2.9985,6.87
24,002458.SZ,002458,益生股份,农业综合,7.27,2.9365,25.94
25,603032.SH,603032,德新交运,公路,1.22,2.5481,36.22
26,002870.SZ,002870,香山股份,电器仪表,-1.84,2.2026,23.2
27,600552.SH,600552,凯盛科技,玻璃,-3.55,1.9298,5.81
28,000518.SZ,000518,四环生物,生物制药,-5.48,1.8223,4.47
29,300023.SZ,300023,宝德股份,专用机械,-7.21,1.6736,7.29
30,300663.SZ,300663,科蓝软件,软件服务,-8.64,1.5123,53.03
31,600128.SH,600128,弘业股份,商贸代理,-1.46,1.4989,9.48
32,600624.SH,600624,复旦复华,综合类,-2.35,1.3407,12.85
33,600131.SH,600131,岷江水电,水力发电,-5.62,1.2389,20.43
34,601890.SH,601890,亚星锚链,船舶,3.11,1.1194,8.13
35,600088.SH,600088,中视传媒,影视音像,-2.92,1.1005,21.13
36,600278.SH,600278,东方创业,商贸代理,-6.09,0.7448,14.88
37,000859.SZ,000859,国风塑业,塑料,-7.41,0.7194,7.0
38,000677.SZ,000677,恒天海龙,化纤,-1.78,0.4773,4.21
39,601608.SH,601608,中信重工,专用机械,3.22,0.3922,5.12
40,600651.SH,600651,飞乐音响,电器仪表,2.99,0.3854,5.21
41,600613.SH,600613,神奇制药,中成药,-6.57,0.3704,8.13
42,600086.SH,600086,东方金钰,服饰,-3.05,0.1786,5.61
43,300279.SZ,300279,和晶科技,元器件,-3.41,0.0,6.56
44,300487.SZ,300487,蓝晓科技,化工原料,-1.24,-0.1459,34.21
45,002170.SZ,002170,芭田股份,农药化肥,-1.89,-0.2203,4.53
46,600756.SH,600756,浪潮软件,软件服务,1.49,-0.2374,29.42
47,000971.SZ,000971,ST高升,互联网,-2.74,-0.25,3.99
48,000622.SZ,000622,恒立实业,汽车配件,-3.68,-0.2963,6.73
49,603729.SH,603729,龙韵股份,广告包装,-2.24,-0.3157,22.1
50,601700.SH,601700,风范股份,电气设备,-3.11,-0.365,8.19
51,600235.SH,600235,民丰特纸,造纸,-2.68,-0.5548,7.17
52,000862.SZ,000862,银星能源,新型电力,7.4,-0.5571,7.14
53,002864.SZ,002864,盘龙药业,中成药,-2.64,-0.7752,34.56
54,300667.SZ,300667,必创科技,电器仪表,0.73,-0.8604,31.11
55,300085.SZ,300085,银之杰,软件服务,4.92,-1.061,18.65
56,601319.SH,601319,中国人保,保险,-2.63,-1.1317,9.61
57,300624.SZ,300624,万兴科技,软件服务,-1.11,-1.1352,59.22
58,601860.SH,601860,紫金银行,银行,-2.61,-1.1521,8.58
59,603000.SH,603000,人民网,互联网,-7.04,-1.2163,25.99
60,601066.SH,601066,中信建投,证券,-2.32,-1.2638,24.22
61,002175.SZ,002175,东方网络,电器仪表,-1.24,-1.7857,5.5
62,601519.SH,601519,大智慧,软件服务,-1.71,-1.885,10.41
63,603383.SH,603383,顶点软件,软件服务,-2.61,-2.2018,111.49
64,002017.SZ,002017,东信和平,通信设备,1.88,-2.2543,16.91
65,300710.SZ,300710,万隆光电,通信设备,-1.23,-2.4043,30.85
66,600776.SH,600776,东方通信,通信设备,1.51,-2.7902,28.22
67,300598.SZ,300598,诚迈科技,软件服务,5.31,-10.0,41.4
