,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,002440.SZ,002440,闰土股份,染料涂料,3.04,7.9559,17.64
1,002099.SZ,002099,海翔药业,化学制药,-5.79,5.0262,10.03
2,603980.SH,603980,吉华集团,染料涂料,-2.48,2.3021,18.22
3,600200.SH,600200,江苏吴中,综合类,-3.68,2.2487,7.73
4,300067.SZ,300067,安诺其,染料涂料,-1.89,2.0921,7.32
5,600352.SH,600352,浙江龙盛,染料涂料,-4.49,2.0728,22.16
6,300107.SZ,300107,建新股份,化工原料,-1.52,1.6794,13.32
7,603790.SH,603790,雅运股份,染料涂料,2.74,1.527,25.93
8,300758.SZ,300758,七彩化学,染料涂料,2.88,1.2553,47.59
9,603823.SH,603823,百合花,染料涂料,-5.74,1.201,25.28
10,002010.SZ,002010,传化智联,仓储物流,2.11,1.1518,9.66
11,600987.SH,600987,航民股份,纺织,0.98,1.0417,11.64
12,603188.SH,603188,亚邦股份,染料涂料,-1.12,0.5837,10.34
13,603826.SH,603826,坤彩科技,染料涂料,0.55,-1.3364,16.98
