,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,002385.SZ,002385,大北农,饲料,5.42,10.0813,6.77
1,603363.SH,603363,傲农生物,饲料,10.33,5.9322,23.75
2,000860.SZ,000860,顺鑫农业,白酒,1.66,3.9399,62.26
3,002548.SZ,002548,金新农,饲料,8.37,3.6258,14.29
4,002100.SZ,002100,天康生物,饲料,4.46,3.6008,10.07
5,603609.SH,603609,禾丰牧业,饲料,2.78,2.535,11.73
6,002330.SZ,002330,得利斯,食品,2.82,2.3256,6.6
7,002726.SZ,002726,龙大肉食,食品,5.28,1.6698,10.96
8,002840.SZ,002840,华统股份,食品,2.66,1.5491,19.01
9,000048.SZ,000048,*ST康达,饲料,-1.42,1.3222,22.99
10,002311.SZ,002311,海大集团,饲料,2.58,1.1804,30.0
11,002505.SZ,002505,大康农业,农业综合,2.28,0.8811,2.29
12,002477.SZ,002477,雏鹰农牧,农业综合,2.21,0.7092,2.84
13,300761.SZ,300761,立华股份,农业综合,-2.47,0.4087,63.88
14,002458.SZ,002458,益生股份,农业综合,-10.04,0.1542,25.98
15,000529.SZ,000529,广弘控股,食品,3.39,-0.2567,7.77
16,000876.SZ,000876,新希望,饲料,-4.91,-0.9811,14.13
17,002157.SZ,002157,正邦科技,饲料,-6.67,-1.2513,18.94
18,600811.SH,600811,东方集团,综合类,2.08,-1.3514,4.38
19,000735.SZ,000735,罗牛山,农业综合,-2.1,-1.5564,12.65
20,002124.SZ,002124,天邦股份,饲料,2.37,-2.0369,20.2
21,300498.SZ,300498,温氏股份,农业综合,-4.13,-2.055,39.56
22,002567.SZ,002567,唐人神,饲料,3.45,-2.1277,15.18
23,600975.SH,600975,新五丰,农业综合,-7.66,-2.324,14.29
24,002714.SZ,002714,牧原股份,农业综合,-3.46,-2.9603,67.2
