,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,600775.SH,600775,南京熊猫,通信设备,7.98,10.0251,17.56
1,300427.SZ,300427,红相股份,电气设备,4.09,10.0128,17.14
2,600150.SH,600150,中国船舶,船舶,-5.53,10.0037,29.58
3,300489.SZ,300489,中飞股份,铝,3.95,10.0,19.47
4,002303.SZ,002303,美盈森,造纸,2.5,10.0,6.93
5,002783.SZ,002783,凯龙股份,化工原料,10.93,9.9842,20.93
6,600815.SH,600815,厦工股份,工程机械,5.31,9.9217,4.21
7,300600.SZ,300600,瑞特股份,电气设备,1.67,8.37,24.6
8,000043.SZ,000043,中航善达,房产服务,1.5,8.0732,10.04
9,600072.SH,600072,中船科技,船舶,2.91,7.8031,17.96
10,600685.SH,600685,中船防务,船舶,3.28,7.5204,19.73
11,002265.SZ,002265,西仪股份,汽车配件,2.99,5.9197,15.03
12,300265.SZ,300265,通光线缆,电气设备,3.36,5.317,10.3
13,300397.SZ,300397,天和防务,通信设备,9.88,5.11,28.18
14,300099.SZ,300099,精准信息,电器仪表,3.92,4.845,10.82
15,002664.SZ,002664,长鹰信质,汽车配件,3.27,4.714,16.66
16,300345.SZ,300345,红宇新材,钢加工,3.44,4.3974,6.41
17,600973.SH,600973,宝胜股份,电气设备,4.49,4.3197,4.83
18,002300.SZ,002300,太阳电缆,电气设备,3.23,4.2627,9.05
19,600850.SH,600850,华东电脑,软件服务,2.7,4.2101,26.98
20,601989.SH,601989,中国重工,船舶,1.64,4.0062,6.75
21,600523.SH,600523,贵航股份,汽车配件,1.93,3.9295,15.34
22,000595.SZ,000595,宝塔实业,机械基件,4.03,3.5897,4.04
23,000070.SZ,000070,特发信息,通信设备,5.81,3.4891,16.61
24,002190.SZ,002190,*ST集成,汽车配件,2.67,3.4518,20.38
25,002756.SZ,002756,永兴特钢,特种钢,0.88,3.3898,17.08
26,300008.SZ,300008,天海防务,船舶,2.76,3.3708,4.6
27,300123.SZ,300123,亚光科技,船舶,2.3,3.2847,14.15
28,002163.SZ,002163,中航三鑫,装修装饰,1.25,3.2448,7.0
29,002669.SZ,002669,康达新材,化工原料,2.98,3.1629,15.33
30,300560.SZ,300560,中富通,通信设备,3.48,2.808,22.7
31,002214.SZ,002214,大立科技,电器仪表,2.66,2.6467,8.92
32,600562.SH,600562,国睿科技,通信设备,1.61,2.6155,18.44
33,600760.SH,600760,中航沈飞,航空,1.45,2.5982,33.96
34,600764.SH,600764,中国海防,通信设备,2.54,2.532,32.8
35,002535.SZ,002535,林州重机,工程机械,3.65,2.381,4.73
36,000760.SZ,000760,斯太尔,汽车配件,9.68,2.3018,4.0
37,002246.SZ,002246,北化股份,化工原料,1.33,2.2066,10.19
38,300065.SZ,300065,海兰信,软件服务,1.89,2.1619,18.43
39,600271.SH,600271,航天信息,电脑设备,-1.93,2.0582,28.76
40,300516.SZ,300516,久之洋,电器仪表,1.68,2.0174,39.95
41,002446.SZ,002446,盛路通信,通信设备,3.21,1.9452,11.53
42,300527.SZ,300527,中国应急,专用机械,2.96,1.8844,16.22
43,002452.SZ,002452,长高集团,电气设备,1.47,1.8557,4.94
44,600416.SH,600416,湘电股份,电气设备,2.97,1.8519,7.7
45,600435.SH,600435,北方导航,专用机械,0.9,1.7642,10.96
46,002297.SZ,002297,博云新材,矿物制品,1.36,1.6908,8.42
