,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,002662.SZ,002662,京威股份,汽车配件,7.96,10.0733,6.01
1,601777.SH,601777,力帆股份,摩托车,12.25,10.0134,8.24
2,000836.SZ,000836,富通鑫茂,通信设备,4.41,9.9366,5.2
3,002766.SZ,002766,索菱股份,汽车配件,-6.51,4.3077,6.78
4,000700.SZ,000700,模塑科技,汽车配件,5.34,3.8813,4.55
5,002373.SZ,002373,千方科技,软件服务,2.32,2.2445,21.41
6,601058.SH,601058,赛轮轮胎,汽车配件,2.37,2.0173,3.54
7,002446.SZ,002446,盛路通信,通信设备,3.21,1.9452,11.53
8,600336.SH,600336,澳柯玛,家用电器,1.82,1.833,5.0
9,002444.SZ,002444,巨星科技,轻工机械,1.17,1.8182,12.32
10,600745.SH,600745,闻泰科技,通信设备,6.22,1.7413,36.81
11,002236.SZ,002236,大华股份,电器仪表,1.92,1.6959,17.39
12,300100.SZ,300100,双林股份,汽车服务,2.52,1.1342,10.7
13,300098.SZ,300098,高新兴,通信设备,2.65,1.0338,10.75
14,300134.SZ,300134,大富科技,通信设备,2.56,0.95,15.94
15,600741.SH,600741,华域汽车,汽车配件,4.56,0.7981,25.26
16,002590.SZ,002590,万安科技,汽车配件,-5.85,0.6579,9.18
17,000901.SZ,000901,航天科技,航空,-3.28,0.6139,14.75
18,000887.SZ,000887,中鼎股份,橡胶,2.34,0.5376,13.09
19,002230.SZ,002230,科大讯飞,软件服务,-2.25,0.4005,35.1
20,600050.SH,600050,中国联通,电信运营,1.21,0.292,6.87
21,002463.SZ,002463,沪电股份,元器件,2.56,0.2414,12.46
22,600262.SH,600262,北方股份,汽车整车,-0.46,0.1739,23.04
23,603023.SH,603023,威帝股份,汽车配件,3.88,0.1543,6.49
24,600320.SH,600320,振华重工,工程机械,0.57,0.0,4.48
25,300053.SZ,300053,欧比特,半导体,1.39,-0.0842,11.87
26,002036.SZ,002036,联创电子,元器件,2.84,-0.1352,14.77
27,000909.SZ,000909,数源科技,综合类,5.84,-0.199,10.03
28,002024.SZ,002024,苏宁易购,电器连锁,-3.25,-0.2149,13.93
29,300458.SZ,300458,全志科技,元器件,1.13,-0.2526,23.69
30,002151.SZ,002151,北斗星通,通信设备,1.38,-0.2963,26.92
31,002413.SZ,002413,雷科防务,通信设备,1.65,-0.5312,7.49
32,601633.SH,601633,长城汽车,汽车整车,6.58,-0.666,10.44
33,002273.SZ,002273,水晶光电,元器件,1.77,-0.7294,13.61
34,300088.SZ,300088,长信科技,元器件,3.31,-0.8,6.2
35,300656.SZ,300656,民德电子,电脑设备,3.13,-0.882,23.6
36,002383.SZ,002383,合众思壮,通信设备,0.8,-0.9299,13.85
37,002415.SZ,002415,海康威视,电器仪表,-2.66,-0.954,34.26
38,300212.SZ,300212,易华录,软件服务,1.13,-1.0291,32.7
39,300456.SZ,300456,耐威科技,元器件,1.27,-1.096,29.78
40,601799.SH,601799,星宇股份,汽车配件,2.79,-1.1029,67.25
41,002448.SZ,002448,中原内配,汽车配件,1.87,-1.1594,6.82
42,002642.SZ,002642,荣之联,软件服务,-3.55,-1.3216,6.72
43,600845.SH,600845,宝信软件,软件服务,4.2,-1.3402,34.6
44,002055.SZ,002055,得润电子,元器件,1.62,-1.3624,14.48
45,002331.SZ,002331,皖通科技,软件服务,1.22,-1.4172,11.13
46,002008.SZ,002008,大族激光,电器仪表,1.88,-1.4716,42.18
47,300219.SZ,300219,鸿利智汇,元器件,2.98,-1.4943,8.57
48,600699.SH,600699,均胜电子,汽车配件,3.16,-1.5173,27.91
49,601127.SH,601127,小康股份,汽车配件,-2.58,-1.6384,16.81
50,603528.SH,603528,多伦科技,软件服务,2.18,-1.6667,8.26
51,603297.SH,603297,永新光学,电器仪表,0.61,-1.6746,51.67
52,600074.SH,600074,*ST保千,电脑设备,-0.85,-1.6807,1.17
53,600166.SH,600166,福田汽车,汽车整车,7.5,-1.7361,2.83
54,002284.SZ,002284,亚太股份,汽车配件,-6.77,-1.7488,6.18
55,002232.SZ,002232,启明信息,软件服务,-4.14,-1.834,10.17
56,300036.SZ,300036,超图软件,软件服务,2.7,-1.8805,17.74
57,300742.SZ,300742,越博动力,汽车配件,2.79,-1.8837,47.4
58,600718.SH,600718,东软集团,软件服务,2.75,-1.8919,14.52
59,300177.SZ,300177,中海达,通信设备,2.01,-1.9079,14.91
60,300270.SZ,300270,中威电子,通信设备,-1.42,-2.0971,8.87
61,000800.SZ,000800,一汽轿车,汽车整车,9.84,-2.1862,12.08
62,600733.SH,600733,北汽蓝谷,汽车整车,8.19,-2.2242,10.99
63,300209.SZ,300209,天泽信息,软件服务,1.19,-2.2286,13.6
64,002829.SZ,002829,星网宇达,通信设备,1.67,-2.2297,23.24
65,600104.SH,600104,上汽集团,汽车整车,3.15,-2.2502,29.54
66,002414.SZ,002414,高德红外,电器仪表,2.67,-2.2786,26.59
67,300449.SZ,300449,汉邦高科,电脑设备,-1.81,-2.3775,20.12
68,002456.SZ,002456,欧菲光,元器件,1.89,-2.4188,14.12
69,000851.SZ,000851,高鸿股份,软件服务,3.92,-2.5735,7.95
70,002488.SZ,002488,金固股份,汽车配件,-2.44,-2.5763,10.21
71,601689.SH,601689,拓普集团,汽车配件,-2.37,-2.6908,19.89
72,000951.SZ,000951,中国重汽,汽车整车,-2.52,-2.6974,19.84
73,002920.SZ,002920,德赛西威,汽车配件,-1.02,-2.7124,29.77
74,600686.SH,600686,金龙汽车,汽车整车,4.66,-2.812,11.06
75,601238.SH,601238,广汽集团,汽车整车,5.23,-2.8321,14.41
76,600066.SH,600066,宇通客车,汽车整车,4.83,-2.8846,15.15
77,002906.SZ,002906,华阳集团,汽车配件,6.37,-2.9883,13.31
78,600081.SH,600081,东风科技,汽车配件,8.54,-3.2083,17.8
79,300496.SZ,300496,中科创达,软件服务,4.99,-3.281,33.9
80,002813.SZ,002813,路畅科技,汽车配件,5.0,-3.5164,33.2
81,000572.SZ,000572,海马汽车,汽车整车,2.83,-3.6304,2.92
82,002703.SZ,002703,浙江世宝,汽车配件,-2.55,-3.9648,6.54
83,600418.SH,600418,江淮汽车,汽车整车,-6.09,-4.3115,6.88
84,002405.SZ,002405,四维图新,软件服务,3.61,-4.5553,26.4
85,300020.SZ,300020,银江股份,软件服务,1.72,-4.7161,9.9
86,300552.SZ,300552,万集科技,软件服务,4.07,-4.7925,29.6
87,000625.SZ,000625,长安汽车,汽车整车,-4.62,-4.845,9.82
88,002594.SZ,002594,比亚迪,汽车整车,2.95,-4.9359,59.32
89,600198.SH,600198,*ST大唐,通信设备,4.38,-5.0173,16.47
90,000868.SZ,000868,*ST安凯,汽车整车,-2.92,-5.1151,3.71
91,600006.SH,600006,东风汽车,汽车整车,5.14,-6.6493,7.16
92,002355.SZ,002355,兴民智通,汽车配件,-1.93,-9.6522,10.39
93,300598.SZ,300598,诚迈科技,软件服务,-10.26,-10.0,37.26
