,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,002662.SZ,002662,京威股份,汽车配件,7.96,10.0733,6.01
1,300325.SZ,300325,德威新材,塑料,7.25,10.0346,6.36
2,300471.SZ,300471,厚普股份,专用机械,6.9,10.0328,16.78
3,600459.SH,600459,贵研铂业,小金属,9.19,10.0136,24.28
4,002684.SZ,002684,猛狮科技,电气设备,5.13,9.987,8.48
5,002783.SZ,002783,凯龙股份,化工原料,10.93,9.9842,20.93
6,300648.SZ,300648,星云股份,电器仪表,3.24,7.4122,25.07
7,000723.SZ,000723,美锦能源,焦炭加工,8.84,6.5298,20.23
8,002418.SZ,002418,康盛股份,机械基件,2.96,6.3269,6.05
9,002592.SZ,002592,八菱科技,汽车配件,3.46,5.4445,30.6
10,300099.SZ,300099,精准信息,电器仪表,3.92,4.845,10.82
11,002221.SZ,002221,东华能源,石油贸易,5.11,3.8835,12.84
12,000637.SZ,000637,茂化实华,石油加工,4.27,3.5336,5.86
13,300228.SZ,300228,富瑞特装,化工机械,5.83,3.4524,8.69
14,603113.SH,603113,金能科技,化工原料,6.51,3.0769,18.09
15,002334.SZ,002334,英威腾,电气设备,2.16,1.8545,7.14
16,001696.SZ,001696,宗申动力,摩托车,5.22,1.6376,9.31
17,600378.SH,600378,天科股份,化工原料,4.8,1.5162,14.06
18,300409.SZ,300409,道氏技术,陶瓷,8.89,1.3242,19.13
19,600860.SH,600860,京城股份,专用机械,4.76,1.2739,9.54
20,600218.SH,600218,全柴动力,农用机械,8.82,0.6843,20.6
21,002158.SZ,002158,汉钟精机,工程机械,3.46,0.5282,11.42
22,600482.SH,600482,中国动力,电气设备,1.85,0.5128,27.44
23,000413.SZ,000413,东旭光电,元器件,3.0,0.316,6.35
24,600478.SH,600478,科力远,元器件,8.81,0.1499,6.68
25,300680.SZ,300680,隆盛科技,汽车配件,6.32,-0.1847,21.62
26,300091.SZ,300091,金通灵,机械基件,4.76,-0.545,7.3
27,601633.SH,601633,长城汽车,汽车整车,6.58,-0.666,10.44
28,002808.SZ,002808,恒久科技,元器件,2.69,-0.7368,18.86
29,300586.SZ,300586,美联新材,化工原料,5.17,-1.0597,17.74
30,000807.SZ,000807,云铝股份,铝,2.77,-1.3201,5.98
31,300376.SZ,300376,易事特,电气设备,1.94,-1.4901,5.95
32,000669.SZ,000669,金鸿控股,供气供热,4.17,-1.6,7.38
33,600166.SH,600166,福田汽车,汽车整车,7.5,-1.7361,2.83
34,002611.SZ,002611,东方精工,轻工机械,3.01,-2.0243,4.84
35,002080.SZ,002080,中材科技,化纤,3.51,-2.1324,13.31
36,002559.SZ,002559,亚威股份,机床制造,3.29,-2.2327,8.32
37,600104.SH,600104,上汽集团,汽车整车,3.15,-2.2502,29.54
38,300435.SZ,300435,中泰股份,机械基件,-5.16,-2.4586,18.25
39,002249.SZ,002249,大洋电机,电气设备,4.22,-2.6034,6.36
40,300408.SZ,300408,三环集团,元器件,3.05,-2.6798,20.7
41,600969.SH,600969,郴电国际,水力发电,4.33,-2.7056,8.99
42,002639.SZ,002639,雪人股份,专用机械,2.73,-2.7569,15.52
43,600686.SH,600686,金龙汽车,汽车整车,4.66,-2.812,11.06
44,600066.SH,600066,宇通客车,汽车整车,4.83,-2.8846,15.15
45,000678.SZ,000678,襄阳轴承,机械基件,3.26,-2.9012,10.71
46,002002.SZ,002002,鸿达兴业,化工原料,4.55,-2.9536,6.9
47,600114.SH,600114,东睦股份,机械基件,1.82,-3.1214,8.38
48,000338.SZ,000338,潍柴动力,汽车配件,5.43,-3.3668,13.49
49,000969.SZ,000969,安泰科技,钢加工,3.45,-3.433,8.72
50,000581.SZ,000581,威孚高科,汽车配件,-2.32,-3.4659,24.51
51,000687.SZ,000687,华讯方舟,通信设备,5.52,-3.4973,8.83
52,300580.SZ,300580,贝斯特,汽车配件,3.81,-3.6632,20.25
53,601678.SH,601678,滨化股份,化工原料,4.76,-3.7887,8.38
54,601311.SH,601311,骆驼股份,电气设备,1.81,-3.8199,14.1
55,600841.SH,600841,上柴股份,机械基件,3.0,-4.3478,9.68
56,603722.SH,603722,阿科力,化工原料,2.3,-4.5985,27.8
57,300069.SZ,300069,金利华电,电气设备,7.03,-4.6143,13.85
58,000957.SZ,000957,中通客车,汽车整车,6.28,-4.7977,10.12
59,600192.SH,600192,长城电工,电气设备,2.85,-4.9578,9.01
60,603026.SH,603026,石大胜华,化工原料,1.63,-5.5445,37.99
61,002274.SZ,002274,华昌化工,农药化肥,-4.86,-5.5684,12.21
62,300340.SZ,300340,科恒股份,元器件,1.69,-5.8191,19.26
63,000531.SZ,000531,穗恒运A,火力发电,4.97,-6.3476,9.0
64,300068.SZ,300068,南都电源,电气设备,7.53,-6.6286,16.34
65,600006.SH,600006,东风汽车,汽车整车,5.14,-6.6493,7.16
66,002733.SZ,002733,雄韬股份,电气设备,6.35,-6.7811,32.58
67,600875.SH,600875,东方电气,电气设备,3.84,-8.8591,14.3
68,300694.SZ,300694,蠡湖股份,汽车配件,3.74,-8.908,27.61
