,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,600776.SH,600776,东方通信,通信设备,1.39,4.2328,29.55
1,600050.SH,600050,中国联通,电信运营,1.05,4.0757,7.15
2,002017.SZ,002017,东信和平,通信设备,3.48,2.8485,16.97
3,600198.SH,600198,*ST大唐,通信设备,3.69,2.2465,16.84
4,600498.SH,600498,烽火通信,通信设备,2.61,1.5322,32.47
5,600345.SH,600345,长江通信,通信设备,-1.55,1.1009,33.06
6,600775.SH,600775,南京熊猫,通信设备,8.33,0.8542,17.71
7,002544.SZ,002544,杰赛科技,软件服务,3.85,0.6321,15.92
8,002179.SZ,002179,中航光电,元器件,0.26,0.22,40.99
9,002281.SZ,002281,光迅科技,通信设备,1.73,-0.25,31.92
