,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,002547.SZ,002547,春兴精工,通信设备,10.47,10.0429,12.82
1,000836.SZ,000836,富通鑫茂,通信设备,6.31,10.0,5.72
2,300265.SZ,300265,通光线缆,电气设备,4.84,10.0,11.33
3,300134.SZ,300134,大富科技,通信设备,2.76,9.9749,17.53
4,000063.SZ,000063,中兴通讯,通信设备,3.27,7.0402,36.49
5,002364.SZ,002364,中恒电气,电气设备,1.67,6.3368,12.25
6,600105.SH,600105,永鼎股份,通信设备,4.35,5.9172,7.16
7,300679.SZ,300679,电连技术,元器件,2.57,5.7987,46.89
8,300217.SZ,300217,东方电热,电器仪表,3.26,5.7803,3.66
9,002837.SZ,002837,英维克,专用机械,0.98,5.4081,21.05
10,603618.SH,603618,杭电股份,电气设备,3.59,5.1899,8.31
11,300025.SZ,300025,华星创业,通信设备,3.41,5.1437,6.95
12,603083.SH,603083,剑桥科技,通信设备,2.02,5.0691,36.48
13,603042.SH,603042,华脉科技,通信设备,3.6,4.8939,17.79
14,002886.SZ,002886,沃特股份,塑料,1.55,4.8706,23.9
15,600776.SH,600776,东方通信,通信设备,1.39,4.2328,29.55
16,600050.SH,600050,中国联通,电信运营,1.05,4.0757,7.15
17,000890.SZ,000890,法尔胜,钢加工,3.6,4.0115,7.26
18,603559.SH,603559,中通国脉,通信设备,2.67,3.5385,26.92
19,000586.SZ,000586,汇源通信,通信设备,2.84,3.2932,12.86
20,300259.SZ,300259,新天科技,电器仪表,2.21,3.2787,4.41
21,600804.SH,600804,鹏博士,电信运营,1.3,3.2313,12.14
22,002796.SZ,002796,世嘉科技,专用机械,7.43,3.1975,42.28
23,002446.SZ,002446,盛路通信,通信设备,1.89,3.0356,11.88
24,002017.SZ,002017,东信和平,通信设备,3.48,2.8485,16.97
25,603602.SH,603602,纵横通信,通信设备,-2.74,2.5014,35.65
26,002309.SZ,002309,中利集团,电气设备,0.96,2.487,9.89
27,600198.SH,600198,*ST大唐,通信设备,3.69,2.2465,16.84
28,000810.SZ,000810,创维数字,家用电器,3.23,2.1082,11.14
29,600487.SH,600487,亨通光电,通信设备,1.25,2.0954,22.9
30,600522.SH,600522,中天科技,通信设备,2.38,2.0591,11.4
31,300563.SZ,300563,神宇股份,通信设备,2.51,2.0548,29.8
32,300597.SZ,300597,吉大通信,通信设备,1.13,1.9097,17.61
33,300292.SZ,300292,吴通控股,软件服务,9.98,1.8152,6.17
34,300565.SZ,300565,科信技术,通信设备,2.31,1.7957,16.44
35,300366.SZ,300366,创意信息,软件服务,1.47,1.769,9.78
36,002475.SZ,002475,立讯精密,元器件,3.5,1.7274,26.5
37,002402.SZ,002402,和而泰,元器件,2.16,1.7208,10.64
38,603991.SH,603991,至正股份,塑料,2.35,1.6387,24.19
39,300629.SZ,300629,新劲刚,矿物制品,2.12,1.5857,20.5
40,300312.SZ,300312,邦讯技术,通信设备,4.08,1.573,9.04
41,300209.SZ,300209,天泽信息,软件服务,2.8,1.5441,13.81
42,600498.SH,600498,烽火通信,通信设备,2.61,1.5322,32.47
43,300635.SZ,300635,达安股份,建筑施工,-0.72,1.4997,16.92
44,300050.SZ,300050,世纪鼎利,软件服务,2.86,1.4925,7.48
45,300593.SZ,300593,新雷能,电气设备,4.39,1.4811,21.24
46,000938.SZ,000938,紫光股份,软件服务,2.54,1.4447,44.94
47,002848.SZ,002848,高斯贝尔,通信设备,-2.36,1.3359,15.93
48,002089.SZ,002089,新海宜,通信设备,3.4,1.3356,6.07
49,002725.SZ,002725,跃岭股份,汽车配件,1.08,1.2939,10.96
50,603912.SH,603912,佳力图,专用机械,4.38,1.2806,17.4
51,002897.SZ,002897,意华股份,元器件,-2.17,1.1981,27.03
52,603678.SH,603678,火炬电子,元器件,2.49,1.1881,20.44
53,000070.SZ,000070,特发信息,通信设备,7.04,1.1439,16.8
54,300252.SZ,300252,金信诺,电气设备,3.69,1.142,14.17
55,300136.SZ,300136,信维通信,通信设备,3.88,1.1093,30.99
56,600345.SH,600345,长江通信,通信设备,-1.55,1.1009,33.06
57,000988.SZ,000988,华工科技,电器仪表,2.0,1.0645,16.14
58,603322.SH,603322,超讯通信,通信设备,4.32,1.0644,35.13
59,300504.SZ,300504,天邑股份,通信设备,2.31,1.0537,29.73
60,300379.SZ,300379,东方通,软件服务,-1.68,1.0494,23.11
61,600289.SH,600289,*ST信通,软件服务,3.21,0.885,3.42
62,600775.SH,600775,南京熊猫,通信设备,8.33,0.8542,17.71
63,000008.SZ,000008,神州高铁,运输设备,-2.98,0.8475,4.76
64,300711.SZ,300711,广哈通信,通信设备,10.5,0.7563,23.98
65,300408.SZ,300408,三环集团,元器件,3.05,0.7246,20.85
66,002792.SZ,002792,通宇通讯,通信设备,4.89,0.6564,35.27
67,002023.SZ,002023,海特高新,航空,3.27,0.6334,12.71
68,002544.SZ,002544,杰赛科技,软件服务,3.85,0.6321,15.92
69,300502.SZ,300502,新易盛,通信设备,1.93,0.4607,30.53
70,002138.SZ,002138,顺络电子,元器件,2.37,0.3544,19.82
71,000917.SZ,000917,电广传媒,影视音像,3.6,0.3436,8.76
72,300493.SZ,300493,润欣科技,通信设备,3.23,0.3431,11.7
73,002217.SZ,002217,合力泰,元器件,3.99,0.2946,6.81
74,601869.SH,601869,长飞光纤,通信设备,1.11,0.2279,48.38
75,002151.SZ,002151,北斗星通,通信设备,0.92,0.2229,26.98
76,300560.SZ,300560,中富通,通信设备,4.01,0.2203,22.75
77,002179.SZ,002179,中航光电,元器件,0.26,0.22,40.99
78,002229.SZ,002229,鸿博股份,广告包装,2.33,0.1994,10.05
79,002491.SZ,002491,通鼎互联,通信设备,2.8,0.1901,10.54
80,300395.SZ,300395,菲利华,玻璃,-1.82,0.1075,18.63
81,300570.SZ,300570,太辰光,元器件,1.74,0.0762,26.26
82,300726.SZ,300726,宏达电子,元器件,2.02,0.0,21.89
83,002231.SZ,002231,奥维通信,通信设备,7.48,0.0,9.25
84,603803.SH,603803,瑞斯康达,通信设备,2.19,0.0,13.22
85,300308.SZ,300308,中际旭创,通信设备,2.16,-0.0186,53.62
86,300602.SZ,300602,飞荣达,元器件,2.13,-0.0228,43.89
87,002384.SZ,002384,东山精密,通信设备,3.01,-0.0496,20.14
88,002885.SZ,002885,京泉华,元器件,1.78,-0.0797,25.08
89,300319.SZ,300319,麦捷科技,元器件,5.6,-0.1339,7.46
90,300548.SZ,300548,博创科技,元器件,-1.09,-0.1663,42.01
91,002281.SZ,002281,光迅科技,通信设备,1.73,-0.25,31.92
92,603220.SH,603220,贝通信,通信设备,6.81,-0.4591,34.69
93,002313.SZ,002313,日海智能,通信设备,1.97,-0.5578,26.74
94,600703.SH,600703,三安光电,半导体,-5.33,-0.6047,13.15
95,300620.SZ,300620,光库科技,元器件,-1.81,-0.6447,40.07
96,300698.SZ,300698,万马科技,通信设备,8.11,-0.7429,24.05
97,002929.SZ,002929,润建通信,通信设备,-1.4,-0.7638,35.08
98,300123.SZ,300123,亚光科技,船舶,2.79,-0.7774,14.04
99,300684.SZ,300684,中石科技,化工原料,1.02,-0.8468,39.81
100,002860.SZ,002860,星帅尔,电气设备,0.96,-0.8791,22.55
101,600260.SH,600260,凯乐科技,通信设备,2.08,-0.935,23.31
102,300250.SZ,300250,初灵信息,软件服务,2.26,-1.0536,20.66
103,300537.SZ,300537,广信材料,染料涂料,-2.3,-1.1046,15.22
104,002927.SZ,002927,泰永长征,电气设备,1.96,-1.1306,33.23
105,002093.SZ,002093,国脉科技,电信运营,3.76,-1.1353,10.45
106,002194.SZ,002194,*ST凡谷,通信设备,3.94,-1.1395,21.69
107,300710.SZ,300710,万隆光电,通信设备,1.29,-1.2067,31.11
108,000636.SZ,000636,风华高科,元器件,1.6,-1.243,15.89
109,300079.SZ,300079,数码科技,通信设备,6.14,-1.2431,7.15
110,603186.SH,603186,华正新材,元器件,4.71,-1.3666,33.2
111,002115.SZ,002115,三维通信,通信设备,5.5,-1.715,14.9
112,002902.SZ,002902,铭普光磁,元器件,1.88,-1.7556,27.98
113,002579.SZ,002579,中京电子,元器件,2.2,-1.7728,12.19
114,002396.SZ,002396,星网锐捷,通信设备,-3.45,-1.8834,27.09
115,300299.SZ,300299,富春股份,通信设备,7.49,-1.9481,7.55
116,300414.SZ,300414,中光防雷,元器件,3.0,-2.1628,24.88
