,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
0,000836.SZ,000836,富通鑫茂,通信设备,6.31,10.0,5.72,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
1,300265.SZ,300265,通光线缆,电气设备,4.84,10.0,11.33,"5G, 特高压, 光通信, 军工, 军民融合, "
2,000063.SZ,000063,中兴通讯,通信设备,3.27,7.0402,36.49,"5G, 光通信, 白马股, MSCI, 物联网, 百度概念股, 互联网金融, 移动支付, 大数据, 云计算, 人工智能, 智慧城市, "
3,600105.SH,600105,永鼎股份,通信设备,4.35,5.9172,7.16,"5G, 光通信, 汽车零部件, 装配式建筑, 大数据, "
4,300217.SZ,300217,东方电热,电器仪表,3.26,5.7803,3.66,"5G, 油服, 业绩预增, 光伏, 3D玻璃, "
5,603618.SH,603618,杭电股份,电气设备,3.59,5.1899,8.31,"5G, 特高压, 光通信, 石墨烯, "
6,603083.SH,603083,剑桥科技,通信设备,2.02,5.0691,36.48,"5G, 光通信, 工业互联网, "
7,603042.SH,603042,华脉科技,通信设备,3.6,4.8939,17.79,"5G, 光通信, "
8,000586.SZ,000586,汇源通信,通信设备,2.84,3.2932,12.86,"5G, 光通信, 智慧安防, 壳公司, "
9,600804.SH,600804,鹏博士,电信运营,1.3,3.2313,12.14,"5G, 安邦系, 光通信, 新进指数成份股, 教育, 回购, 物联网, 谷歌概念股, 大数据, 云计算, 智慧城市, 智慧安防, "
10,002309.SZ,002309,中利集团,电气设备,0.96,2.487,9.89,"5G, 光通信, 国家队重仓, 华为产业链, 破净股, 光伏, 定增破发, "
11,600487.SH,600487,亨通光电,通信设备,1.25,2.0954,22.9,"5G, 光通信, 白马股, MSCI, 海工装备, 混改, 太赫兹, 量子通信, 新能源汽车, 大数据, 智慧城市, 充电桩, "
12,600522.SH,600522,中天科技,通信设备,2.38,2.0591,11.4,"5G, 光通信, MSCI, 风电, 储能, 量子通信, 新能源汽车, 石墨烯, 工业互联网, 充电桩, "
13,300292.SZ,300292,吴通控股,软件服务,9.98,1.8152,6.17,"5G, 光通信, 华为产业链, 物联网, 滴滴出行概念股, 独角兽, "
14,300565.SZ,300565,科信技术,通信设备,2.31,1.7957,16.44,"5G, 光通信, "
15,600498.SH,600498,烽火通信,通信设备,2.61,1.5322,32.47,"5G, 光通信, MSCI, 央企改革, 社保重仓, 网络安全, 大数据, 云计算, "
16,002089.SZ,002089,新海宜,通信设备,3.4,1.3356,6.07,"5G, 光通信, 锂电池, 量子通信, 新能源汽车, LED, 创投, "
17,002897.SZ,002897,意华股份,元器件,-2.17,1.1981,27.03,"5G, 光通信, 华为产业链, 汽车零部件, 小米概念股, 智能制造, "
18,000070.SZ,000070,特发信息,通信设备,7.04,1.1439,16.8,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, "
19,300252.SZ,300252,金信诺,电气设备,3.69,1.142,14.17,"5G, 光通信, PCB板, 大飞机, 航母, 军工, 军民融合, 国产芯片, 高铁轨交, "
20,600345.SH,600345,长江通信,通信设备,-1.55,1.1009,33.06,"5G, 光通信, 央企改革, 北斗导航, 智慧安防, "
21,000988.SZ,000988,华工科技,电器仪表,2.0,1.0645,16.14,"5G, 光通信, 华为产业链, 社保重仓, 工业自动化, 量子通信, 3D打印, 智能制造, 新能源汽车, 半导体, 无人商店, 智慧城市, 高校系, 独角兽, 创投, "
22,300504.SZ,300504,天邑股份,通信设备,2.31,1.0537,29.73,"5G, 光通信, "
23,300408.SZ,300408,三环集团,元器件,3.05,0.7246,20.85,"5G, 光通信, 有色-锆, MSCI, 被动元件, 华为产业链, 有色金属, 小米概念股, 燃料电池, 创业板人气股, 指纹识别, "
24,002792.SZ,002792,通宇通讯,通信设备,4.89,0.6564,35.27,"5G, 光通信, 华为产业链, "
25,300502.SZ,300502,新易盛,通信设备,1.93,0.4607,30.53,"5G, 光通信, "
26,601869.SH,601869,长飞光纤,通信设备,1.11,0.2279,48.38,"5G, 光通信, 新进指数成份股, 高送转-预期, 工业互联网, "
27,002491.SZ,002491,通鼎互联,通信设备,2.8,0.1901,10.54,"5G, 光通信, 定增破发, 网络安全, 大数据, 科创板概念股, "
28,300395.SZ,300395,菲利华,玻璃,-1.82,0.1075,18.63,"5G, 光通信, OLED, 军工, 军民融合, 半导体, "
29,300570.SZ,300570,太辰光,元器件,1.74,0.0762,26.26,"5G, 光通信, 业绩预增, "
30,603803.SH,603803,瑞斯康达,通信设备,2.19,0.0,13.22,"5G, 光通信, 物联网, 工业互联网, "
31,300308.SZ,300308,中际旭创,通信设备,2.16,-0.0186,53.62,"5G, 光通信, "
32,300548.SZ,300548,博创科技,元器件,-1.09,-0.1663,42.01,"5G, 光通信, 华为产业链, "
33,002281.SZ,002281,光迅科技,通信设备,1.73,-0.25,31.92,"5G, 光通信, MSCI, 央企改革, 华为产业链, 量子通信, 3D感应, "
34,600703.SH,600703,三安光电,半导体,-5.33,-0.6047,13.15,"5G, 光通信, 白马股, MSCI, 回购, 半导体, 3D感应, 国产芯片, LED, "
35,300620.SZ,300620,光库科技,元器件,-1.81,-0.6447,40.07,"5G, 光通信, 高送转-预期, 量子通信, "
36,300698.SZ,300698,万马科技,通信设备,8.11,-0.7429,24.05,"5G, 光通信, 物联网, 量子通信, 医疗器械, 互联网医疗, "
37,002929.SZ,002929,润建通信,通信设备,-1.4,-0.7638,35.08,"5G, 光通信, 华为产业链, 物联网, 广西, "
38,600260.SH,600260,凯乐科技,通信设备,2.08,-0.935,23.31,"5G, 光通信, MSCI, 回购, 军工, 军民融合, 量子通信, 互联网医疗, 智慧安防, 创投, "
39,300710.SZ,300710,万隆光电,通信设备,1.29,-1.2067,31.11,"5G, 光通信, 阿里巴巴概念股, 高送转-预期, 物联网, 广电, 强势人气股, "
40,002902.SZ,002902,铭普光磁,元器件,1.88,-1.7556,27.98,"5G, 光通信, 华为产业链, 高送转, "
41,300394.SZ,300394,天孚通信,通信设备,6.15,-3.7181,34.7,"5G, 光通信, "
42,603118.SH,603118,共进股份,通信设备,-2.16,-4.4538,11.37,"5G, 光通信, 业绩预增, 物联网, 基因测序, 医疗器械, "
