,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,603716.SH,603716,塞力斯,医药商业,-0.58,10.0086,25.72
1,300194.SZ,300194,福安药业,化学制药,7.36,9.98,11.02
2,600800.SH,600800,天津磁卡,综合类,2.86,7.1348,9.46
3,300267.SZ,300267,尔康制药,化学制药,5.47,6.3624,7.69
4,603896.SH,603896,寿仙谷,中成药,1.02,4.5658,42.14
5,002390.SZ,002390,信邦制药,中成药,7.14,3.1111,6.96
6,300110.SZ,300110,华仁药业,化学制药,3.84,2.2222,7.36
7,603998.SH,603998,方盛制药,中成药,7.0,2.2124,13.86
8,000677.SZ,000677,恒天海龙,化纤,-0.61,2.2113,4.16
9,000806.SZ,000806,ST银河,生物制药,-1.62,1.6985,4.79
10,600156.SH,600156,华升股份,纺织,2.95,1.1834,6.84
11,000813.SZ,000813,德展健康,化学制药,-1.67,1.0708,12.27
12,600232.SH,600232,金鹰股份,纺织,2.37,0.9695,7.29
13,002923.SZ,002923,润都股份,化学制药,-0.8,0.8178,27.12
14,600356.SH,600356,恒丰纸业,造纸,5.32,0.7718,9.14
15,600177.SH,600177,雅戈尔,服饰,1.85,0.6522,9.26
16,600108.SH,600108,亚盛集团,农业综合,1.88,0.2667,3.76
17,600203.SH,600203,福日电子,元器件,4.5,-0.6266,7.93
18,600664.SH,600664,哈药股份,化学制药,1.12,-0.6826,5.82
19,002118.SZ,002118,紫鑫药业,中成药,6.25,-0.8575,15.03
20,000837.SZ,000837,秦川机床,机床制造,1.8,-1.2281,5.63
21,600572.SH,600572,康恩贝,中成药,-0.75,-1.2308,9.63
22,300482.SZ,300482,万孚生物,生物制药,1.66,-1.7131,33.85
23,601515.SH,601515,东风股份,广告包装,1.44,-2.1371,13.28
24,000766.SZ,000766,通化金马,中成药,2.41,-2.1375,10.53
25,002750.SZ,002750,龙津药业,中成药,-3.45,-2.7464,18.06
26,600096.SH,600096,云天化,农药化肥,3.36,-2.7848,7.68
27,000990.SZ,000990,诚志股份,化工原料,-6.16,-3.1285,26.01
28,002565.SZ,002565,顺灏股份,造纸,6.0,-4.486,20.44
