,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE
0,000836.SZ,000836,富通鑫茂,通信设备,6.31,10.0,5.72
1,601777.SH,601777,力帆股份,摩托车,10.14,9.9515,9.06
2,600571.SH,600571,信雅达,软件服务,4.3,8.5566,12.56
3,603133.SH,603133,碳元科技,元器件,2.45,8.4425,22.35
4,000851.SZ,000851,高鸿股份,软件服务,3.63,6.5409,8.47
5,300184.SZ,300184,力源信息,元器件,1.18,5.9836,12.93
6,002288.SZ,002288,超华科技,元器件,1.86,5.1327,5.94
7,600476.SH,600476,湘邮科技,软件服务,-3.3,5.0777,17.59
8,000987.SZ,000987,越秀金控,多元金融,2.26,4.8446,11.47
9,300016.SZ,300016,北陆药业,中成药,1.83,4.6653,10.32
10,600869.SH,600869,智慧能源,电气设备,0.77,4.5936,5.92
11,002677.SZ,002677,浙江美大,家用电器,1.51,4.5518,14.93
12,300311.SZ,300311,任子行,软件服务,-4.76,4.5077,8.81
13,002301.SZ,002301,齐心集团,文教休闲,3.06,4.3756,11.45
14,300088.SZ,300088,长信科技,元器件,1.6,4.3548,6.47
15,300369.SZ,300369,绿盟科技,软件服务,1.73,4.3247,13.75
16,601628.SH,601628,中国人寿,保险,1.38,4.2871,31.38
17,002654.SZ,002654,万润科技,半导体,2.11,4.2683,5.13
18,002367.SZ,002367,康力电梯,运输设备,-7.39,4.2553,9.31
19,300663.SZ,300663,科蓝软件,软件服务,-11.33,4.2495,53.48
20,600776.SH,600776,东方通信,通信设备,1.39,4.2328,29.55
21,600050.SH,600050,中国联通,电信运营,1.05,4.0757,7.15
22,000890.SZ,000890,法尔胜,钢加工,3.6,4.0115,7.26
23,002141.SZ,002141,贤丰控股,元器件,-1.65,3.956,4.73
24,000676.SZ,000676,智度股份,互联网,-3.97,3.8853,11.23
25,300465.SZ,300465,高伟达,软件服务,1.17,3.7832,10.15
26,002590.SZ,002590,万安科技,汽车配件,3.33,3.4858,9.5
27,300456.SZ,300456,耐威科技,元器件,1.34,3.4251,30.8
28,300546.SZ,300546,雄帝科技,元器件,1.21,3.311,30.89
29,002131.SZ,002131,利欧股份,互联网,-4.25,3.271,2.21
30,601318.SH,601318,中国平安,保险,0.86,3.2028,87.0
31,002607.SZ,002607,中公教育,文教休闲,-1.25,3.1941,12.6
32,300364.SZ,300364,中文在线,出版业,-2.22,3.0457,6.09
33,300336.SZ,300336,新文化,影视音像,1.29,3.0357,5.77
34,603313.SH,603313,梦百合,家居用品,-1.89,2.9616,28.16
35,600187.SH,600187,国中水务,水务,0.96,2.8736,3.58
36,603776.SH,603776,永安行,公共交通,0.81,2.7855,25.83
37,000532.SZ,000532,华金资本,元器件,1.86,2.762,12.65
38,300138.SZ,300138,晨光生物,食品,2.77,2.7132,7.95
39,601601.SH,601601,中国太保,保险,1.96,2.6583,39.39
40,002328.SZ,002328,新朋股份,汽车配件,-3.29,2.4706,8.71
41,002609.SZ,002609,捷顺科技,软件服务,2.97,2.4691,8.3
42,002103.SZ,002103,广博股份,文教休闲,-9.26,2.4164,5.51
43,601336.SH,601336,新华保险,保险,1.32,2.4162,64.43
44,300133.SZ,300133,华策影视,影视音像,0.9,2.3929,8.13
45,603345.SH,603345,安井食品,食品,1.2,2.2524,39.95
46,300332.SZ,300332,天壕环境,环境保护,-2.23,2.2514,5.45
47,600570.SH,600570,恒生电子,软件服务,-3.03,2.2197,90.26
48,300027.SZ,300027,华谊兄弟,影视音像,1.37,2.0725,5.91
49,300195.SZ,300195,长荣股份,轻工机械,2.96,1.9436,10.49
50,600462.SH,600462,ST九有,元器件,3.57,1.9231,2.65
51,300236.SZ,300236,上海新阳,半导体,3.81,1.902,38.04
52,000521.SZ,000521,长虹美菱,家用电器,3.0,1.8561,4.39
53,300001.SZ,300001,特锐德,电气设备,2.43,1.851,22.01
54,300479.SZ,300479,神思电子,软件服务,1.47,1.8497,17.62
55,600859.SH,600859,王府井,百货,1.45,1.821,19.57
56,603825.SH,603825,华扬联众,互联网,-1.07,1.8182,16.24
57,300292.SZ,300292,吴通控股,软件服务,9.98,1.8152,6.17
58,000555.SZ,000555,神州信息,软件服务,-0.67,1.7598,13.3
59,300213.SZ,300213,佳讯飞鸿,通信设备,2.61,1.7348,8.21
60,000728.SZ,000728,国元证券,证券,-3.73,1.7029,10.75
61,603528.SH,603528,多伦科技,软件服务,2.18,1.6949,8.4
62,000566.SZ,000566,海南海药,化学制药,3.29,1.6861,7.84
63,002337.SZ,002337,赛象科技,化工机械,2.61,1.676,5.46
64,600226.SH,600226,瀚叶股份,农药化肥,2.09,1.6563,4.91
65,300588.SZ,300588,熙菱信息,软件服务,-2.99,1.6023,13.95
66,002261.SZ,002261,拓维信息,互联网,0.99,1.6,6.35
67,300148.SZ,300148,天舟文化,出版业,1.79,1.5595,5.21
68,002551.SZ,002551,尚荣医疗,医疗保健,4.58,1.5576,6.52
69,300272.SZ,300272,开能健康,环境保护,3.5,1.555,8.49
70,603636.SH,603636,南威软件,软件服务,-2.01,1.5349,13.23
71,300017.SZ,300017,网宿科技,电信运营,6.52,1.4804,13.71
72,600048.SH,600048,保利地产,全国地产,-1.93,1.4286,14.2
73,002437.SZ,002437,誉衡药业,化学制药,-3.07,1.4286,4.97
74,600446.SH,600446,金证股份,软件服务,-2.65,1.421,28.55
75,300096.SZ,300096,易联众,软件服务,-1.24,1.4143,12.19
76,603189.SH,603189,网达软件,软件服务,-1.04,1.4094,14.39
77,002771.SZ,002771,真视通,软件服务,-2.15,1.3871,16.08
78,300418.SZ,300418,昆仑万维,互联网,-1.41,1.3645,15.6
79,300081.SZ,300081,恒信东方,文教休闲,-0.75,1.3345,11.39
80,002725.SZ,002725,跃岭股份,汽车配件,1.08,1.2939,10.96
81,300170.SZ,300170,汉得信息,软件服务,-1.64,1.2891,16.5
82,600751.SH,600751,海航科技,水运,3.13,1.2887,3.93
83,603019.SH,603019,中科曙光,电脑设备,-3.1,1.1838,59.83
84,002137.SZ,002137,麦达数字,互联网,1.62,1.1682,8.66
85,600070.SH,600070,浙江富润,纺织,4.62,1.1521,8.78
86,300496.SZ,300496,中科创达,软件服务,4.99,1.1504,34.29
87,002241.SZ,002241,歌尔股份,元器件,4.57,1.0827,10.27
88,000988.SZ,000988,华工科技,电器仪表,2.0,1.0645,16.14
89,002065.SZ,002065,东华软件,软件服务,2.57,1.0588,8.59
90,002181.SZ,002181,粤传媒,出版业,-1.29,1.0239,5.92
91,002354.SZ,002354,天神娱乐,互联网,2.02,1.0169,5.96
92,600386.SH,600386,北巴传媒,公共交通,2.36,0.9804,5.15
93,300253.SZ,300253,卫宁健康,软件服务,-0.83,0.977,14.47
94,300339.SZ,300339,润和软件,软件服务,3.22,0.9601,13.67
95,002529.SZ,002529,海源复材,专用机械,5.49,0.9452,10.68
96,300279.SZ,300279,和晶科技,元器件,-2.79,0.9231,6.56
97,300181.SZ,300181,佐力药业,中成药,1.93,0.8571,7.06
