,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
0,002471.SZ,002471,中超控股,电气设备,1.52,10.137,4.02,"新能源汽车, 石墨烯, 充电桩, 科创板概念股, "
1,002418.SZ,002418,康盛股份,机械基件,4.39,10.0826,6.66,"新能源整车, 汽车整车, 白色家电, 家电, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
2,600503.SH,600503,华丽家族,区域地产,3.52,10.0823,5.35,"华为产业链, 恒大概念股, 房地产, 智能制造, 石墨烯, 期货概念, 机器人, "
3,000413.SZ,000413,东旭光电,元器件,3.56,10.0787,6.99,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, "
4,600773.SH,600773,西藏城投,区域地产,2.89,10.0621,8.86,"定增破发, 房地产, 锂电池, 上海国企改革, 新能源汽车, 石墨烯, 西藏, "
5,300128.SZ,300128,锦富技术,元器件,5.6,10.0569,5.8,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, "
6,002630.SZ,002630,华西能源,专用机械,2.22,10.0244,4.5,"石墨烯, 资产重组, "
7,300035.SZ,300035,中科电气,电气设备,2.79,10.0162,6.81,"超级高铁, 锂电池, 新能源汽车, 石墨烯, "
8,002631.SZ,002631,德尔未来,家居用品,3.34,10.0,10.01,"石墨烯, 家具家居, "
9,300317.SZ,300317,珈伟新能,半导体,6.55,10.0,7.7,"光伏, 高质押率, 锂电池, 新能源汽车, 石墨烯, 共享经济, LED, "
10,603110.SH,603110,东方材料,染料涂料,2.27,9.9936,17.17,"回购, 石墨烯, "
11,601011.SH,601011,宝泰隆,焦炭加工,3.53,9.9861,7.93,"煤炭, 石墨电极, 甲醇, 业绩预增, 锂电池, 新能源汽车, 石墨烯, "
12,000510.SZ,000510,金路集团,化工原料,3.06,9.9828,6.39,"烧碱, PVC, 教育, 石墨烯, 年报季报, "
13,300134.SZ,300134,大富科技,通信设备,2.76,9.9749,17.53,"5G, OLED, 特斯拉, 华为产业链, 无人驾驶, 高质押率, 石墨烯, 股权转让, VR&AR, 国资入股, 虹膜识别, "
14,601028.SH,601028,玉龙股份,钢加工,2.03,9.9485,6.41,"油气改革, 天然气, 锂电池, 新能源汽车, 石墨烯, "
15,600175.SH,600175,美都能源,综合类,9.49,9.9359,3.43,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
16,603650.SH,603650,彤程新材,化工原料,1.84,8.6258,25.69,"新进指数成份股, 石墨烯, 橡胶, "
17,603133.SH,603133,碳元科技,元器件,2.45,8.4425,22.35,"石墨烯, 3D玻璃, 独角兽, "
18,002622.SZ,002622,融钰集团,电气设备,1.44,7.2549,5.47,"阿里巴巴概念股, 蔚来汽车概念股, 新零售, 互联网金融, 大数据, 石墨烯, "
19,600735.SH,600735,新华锦,商贸代理,-7.49,7.1101,9.34,"汽车销售, 中韩自贸区, 养老产业, 医疗器械, 自贸区, 石墨烯, 期货概念, "
20,300409.SZ,300409,道氏技术,陶瓷,5.93,6.6388,20.4,"有色金属, 供应链金融, 有色-钴, 定增破发, 锂电池, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
21,000528.SZ,000528,柳工,工程机械,2.3,6.5773,8.75,"一带一路, 业绩预增, 机械, 石墨烯, 广西, "
22,000009.SZ,000009,中国宝安,综合类,1.83,6.4759,7.07,"特斯拉, 土地流转, 锂电池, 3D打印, 智能制造, 新能源汽车, 石墨烯, 彩票, 腾讯概念股, 充电桩, 创投, "
23,002443.SZ,002443,金洲管道,钢加工,-2.0,6.1069,8.34,"钢铁, 油服, 油气改革, 天然气, 地下管廊, 海绵城市, PPP, 石墨烯, "
24,002724.SZ,002724,海洋王,半导体,2.29,5.3468,7.29,"石墨烯, "
25,603618.SH,603618,杭电股份,电气设备,3.59,5.1899,8.31,"5G, 特高压, 光通信, 石墨烯, "
26,600805.SH,600805,悦达投资,综合类,2.04,4.9927,7.15,"汽车整车, 社保重仓, 破净股, 农机, 石墨烯, "
27,300068.SZ,300068,南都电源,电气设备,-3.07,4.896,17.14,"储能, 锂电池, 燃料电池, 新能源汽车, 石墨烯, "
28,600516.SH,600516,方大炭素,矿物制品,4.06,4.7005,27.62,"碳纤维, MSCI, 石墨电极, 核电, 石墨烯, "
29,002319.SZ,002319,乐通股份,染料涂料,1.98,4.6012,13.64,"石墨烯, 资产重组, "
30,600869.SH,600869,智慧能源,电气设备,0.77,4.5936,5.92,"碳纤维, 特高压, 特斯拉, 核电, 业绩预增, 无人机, 雄安-智慧城市, 工业自动化, 高质押率, 锂电池, 智能制造, 雄安新区, 互联网金融, 新能源汽车, 石墨烯, 智慧城市, 股权转让, 独角兽, "
31,300088.SZ,300088,长信科技,元器件,1.6,4.3548,6.47,"OLED, 特斯拉, 华为产业链, 蔚来汽车概念股, 无人驾驶, 小米概念股, 石墨烯, 股权转让, 苹果产业链, 独角兽, "
32,002455.SZ,002455,百川股份,化工原料,1.47,4.3143,6.77,"石墨电极, 定增破发, 锂电池, 新能源汽车, 石墨烯, "
33,002484.SZ,002484,江海股份,元器件,1.5,4.2038,8.18,"被动元件, 储能, 石墨烯, "
34,000973.SZ,000973,佛塑科技,塑料,1.03,4.0153,5.44,"OLED, 煤化工, 锂电池, 新能源汽车, 快递物流, 石墨烯, "
35,002106.SZ,002106,莱宝高科,元器件,2.31,3.6994,8.97,"央企改革, 华为产业链, 光伏, 小米概念股, 石墨烯, 苹果产业链, "
36,600884.SH,600884,杉杉股份,综合类,1.75,3.5294,15.84,"MSCI, 特斯拉, 宁德时代概念股, 光伏, 万达系, 锂电池, 新能源汽车, 石墨烯, 共享经济, 充电桩, 创投, "
37,002163.SZ,002163,中航三鑫,装修装饰,1.37,3.4286,7.24,"央企改革, 军工研究所, 军工, 石墨烯, 玻璃, 装修装饰, "
38,000565.SZ,000565,渝三峡A,染料涂料,1.64,3.1655,7.17,"重庆国企改革, 石墨烯, "
39,002092.SZ,002092,中泰化学,化工原料,0.93,3.0389,10.85,"烧碱, PVC, MSCI, 煤化工, 新疆, 新疆国企改革, 石墨烯, 粘胶短纤, "
40,000928.SZ,000928,中钢国际,建筑施工,1.96,2.8846,7.49,"碳纤维, 振兴东北, 一带一路, 石墨电极, 央企改革, 大基建, 债转股-AMC, 高质押率, 3D打印, 智能制造, 人民币贬值受益, 石墨烯, "
41,000532.SZ,000532,华金资本,元器件,1.86,2.762,12.65,"被动元件, 石墨烯, 独角兽, 创投, "
42,002340.SZ,002340,格林美,小金属,2.48,2.2181,5.53,"MSCI, 特斯拉, 固废处理, 有色金属, 有色-镍, 有色-钴, 宁德时代概念股, 锂电池, 环保, 新能源汽车, 石墨烯, 智慧城市, "
43,000677.SZ,000677,恒天海龙,化纤,-0.61,2.2113,4.16,"轮胎, 石墨烯, 粘胶短纤, 强势人气股, 工业大麻, "
44,600522.SH,600522,中天科技,通信设备,2.38,2.0591,11.4,"5G, 光通信, MSCI, 风电, 储能, 量子通信, 新能源汽车, 石墨烯, 工业互联网, 充电桩, "
45,002618.SZ,002618,丹邦科技,元器件,1.31,1.9139,17.04,"OLED, PCB板, 石墨烯, "
46,601877.SH,601877,正泰电器,电气设备,-1.9,1.7266,28.28,"MSCI, 光伏, 石墨烯, 股权转让, "
47,002389.SZ,002389,航天彩虹,元器件,1.7,1.2766,14.28,"被动元件, 特斯拉, 央企改革, 军工研究所, 军工, 军民融合, 无人机, 锂电池, 新能源汽车, 石墨烯, "
48,002623.SZ,002623,亚玛顿,玻璃,1.09,1.068,17.98,"光伏, 石墨烯, 玻璃, "
