,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LASTPRICE,concept
2145,300770.SZ,300770,新媒股份,影视音像,20.0,57.29,
2143,300768.SZ,300768,迪普科技,软件服务,15.54,28.66,
2144,300769.SZ,300769,德方纳米,化工原料,15.14,96.9,
3304,603317.SH,603317,天味食品,食品,14.93,28.38,
1959,300573.SZ,300573,兴齐眼药,化学制药,13.8,44.3,"医药, 化学药, 眼科, "
110,000514.SZ,000514,渝开发,区域地产,13.15,6.14,"重庆国企改革, 债转股-AMC, 房地产, "
3194,603068.SH,603068,博通集成,半导体,12.21,43.21,
660,002198.SZ,002198,嘉应制药,中成药,12.07,11.15,"医药, 中药, "
1007,002547.SZ,002547,春兴精工,通信设备,11.82,14.1,"5G, 特斯拉, 华为产业链, 3D玻璃, "
2780,600758.SH,600758,红阳能源,煤炭开采,11.66,8.01,"煤炭, 电改, 风电, 股权转让, "
1557,300165.SZ,300165,天瑞仪器,电器仪表,11.53,6.21,"大气治理, 环保, 药品信息化追溯, 污水处理, 体外诊断, "
2561,600513.SH,600513,联环药业,化学制药,11.46,8.28,"医药, 创新药, 化学药, "
2208,600081.SH,600081,东风科技,汽车配件,11.45,16.75,"央企改革, 汽车零部件, 无人驾驶, "
519,002057.SZ,002057,中钢天源,元器件,10.92,12.3,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, "
113,000518.SZ,000518,四环生物,生物制药,10.75,4.24,"医药, 流感, 举牌股, 强势人气股, "
2564,600517.SH,600517,置信电气,电气设备,10.52,11.29,"特高压, 券商, 国家队重仓, 央企改革, 信托, 碳交易, "
967,002506.SZ,002506,协鑫集成,电气设备,10.49,7.41,"MSCI, 乡村振兴, 光伏, 储能, 半导体, "
2290,600175.SH,600175,美都能源,综合类,10.3,3.77,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
286,000753.SZ,000753,漳州发展,汽车服务,10.16,3.96,"福建自贸区, 汽车销售, 装配式建筑, PPP, 环保, 自贸区, 污水处理, "
2328,600218.SH,600218,全柴动力,农用机械,10.11,22.78,"燃料电池, 强势人气股, "
3024,601231.SH,601231,环旭电子,元器件,10.09,14.3,"新进指数成份股, 社保重仓, 回购, 宝能系, 汽车零部件, 苹果产业链, "
