,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
0,002600.SZ,002600,领益智造,元器件,3.04,9.9303,6.31,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
1,300128.SZ,300128,锦富技术,元器件,7.2,4.6552,6.07,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, "
2,600330.SH,600330,天通股份,元器件,3.53,4.5673,8.7,"OLED, 特斯拉, 军工研究所, 业绩预增, 军工, 稀土磁材, 无线充电, 新能源汽车, 半导体, 充电桩, "
3,600460.SH,600460,士兰微,半导体,1.39,4.5267,17.78,"OLED, MSCI, 半导体, 国产芯片, 智慧安防, LED, "
4,000413.SZ,000413,东旭光电,元器件,5.79,3.5765,7.24,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, "
5,600510.SH,600510,黑牡丹,全国地产,-1.3,2.5815,7.55,"OLED, 国家队重仓, 回购, 破净股, 房地产, 创投, "
6,300567.SZ,300567,精测电子,电器仪表,3.98,1.5119,79.9,"OLED, 业绩预增, 工业自动化, 智能制造, 苹果产业链, "
7,000050.SZ,000050,深天马A,元器件,1.85,1.1592,16.58,"OLED, MSCI, 央企改革, 华为产业链, 军工研究所, 军工, 汽车零部件, 小米概念股, VR&AR, "
8,300395.SZ,300395,菲利华,玻璃,-1.82,1.0852,18.63,"5G, 光通信, OLED, 军工, 军民融合, 半导体, "
9,300566.SZ,300566,激智科技,元器件,1.43,1.0716,17.92,"OLED, 华为产业链, 小米概念股, LED, "
10,600552.SH,600552,凯盛科技,玻璃,2.85,1.0526,5.76,"有色-锆, OLED, 央企改革, 有色金属, 小米概念股, 玻璃, 3D玻璃, 强势人气股, "
11,002217.SZ,002217,合力泰,元器件,1.19,0.7342,6.86,"5G, OLED, MSCI, PCB板, 华为产业链, 小米概念股, 无线充电, 指纹识别, 3D玻璃, 股权转让, 国资入股, "
12,300545.SZ,300545,联得装备,专用机械,2.27,0.6627,31.9,"OLED, 华为产业链, 工业自动化, 智能制造, 强势人气股, "
13,002387.SZ,002387,维信诺,元器件,2.4,0.3774,13.3,"OLED, 定增破发, 小米概念股, 资产重组, "
14,002341.SZ,002341,新纶科技,化工原料,-1.18,0.0941,10.64,"OLED, 华为产业链, 社保重仓, 业绩预增, 宁德时代概念股, 锂电池, 无线充电, 新能源汽车, 石墨烯, 半导体, 股权转让, 苹果产业链, "
15,300097.SZ,300097,智云股份,电器仪表,1.93,0.0708,14.13,"OLED, 华为产业链, 回购, 定增破发, 工业自动化, 智能制造, "
16,000725.SZ,000725,京东方A,元器件,0.78,0.0,3.95,"白马股, OLED, MSCI, 国家队重仓, 民营医院, 华为产业链, 新零售, 汽车零部件, 物联网, 智能制造, 医疗器械, 互联网医疗, 指纹识别, 半导体, VR&AR, 苹果产业链, "
17,002585.SZ,002585,双星新材,塑料,-1.59,0.0,6.48,"OLED, 业绩预增, 定增破发, 包装印刷, "
18,002643.SZ,002643,万润股份,化工原料,-1.04,0.0,11.66,"OLED, 央企改革, 业绩预增, 股权转让, 体外诊断, "
19,000810.SZ,000810,创维数字,家用电器,0.95,0.0,11.14,"5G, OLED, 华为产业链, 业绩预增, 百度概念股, 高质押率, 家电, 半导体, 智能音箱, 黑色家电, 手游, 广电, 科创板概念股, "
20,300686.SZ,300686,智动力,元器件,-0.91,-0.2323,17.18,"OLED, 小米概念股, "
21,600458.SH,600458,时代新材,塑料,0.66,-0.4296,11.59,"OLED, 央企改革, 风电, 高铁轨交, "
22,600707.SH,600707,彩虹股份,元器件,0.97,-0.4717,6.33,"OLED, 军工研究所, 军工, 玻璃, "
23,600206.SH,600206,有研新材,半导体,-4.72,-0.6116,9.75,"OLED, 央企改革, 业绩预增, 稀土磁材, 雄安-建材, 雄安新区, 半导体, LED, 科创板概念股, "
24,300410.SZ,300410,正业科技,电器仪表,-0.94,-0.6506,21.38,"OLED, PCB板, 宁德时代概念股, 工业自动化, 锂电池, 智能制造, 新能源汽车, 高送转, 工业互联网, 股权转让, 国资入股, "
25,300305.SZ,300305,裕兴股份,塑料,-5.52,-0.7667,9.06,"OLED, 回购, "
26,300131.SZ,300131,英唐智控,元器件,3.58,-0.7987,6.21,"OLED, 物联网, 股权转让, 国资入股, "
27,000973.SZ,000973,佛塑科技,塑料,1.06,-0.9191,5.39,"OLED, 煤化工, 锂电池, 新能源汽车, 快递物流, 石墨烯, "
28,002885.SZ,002885,京泉华,元器件,1.33,-0.9968,24.83,"5G, OLED, 华为产业链, 小米概念股, 无线充电, 新能源汽车, 充电桩, "
29,300666.SZ,300666,江丰电子,元器件,-1.1,-1.1364,43.5,"OLED, 华为产业链, 半导体, "
30,002384.SZ,002384,东山精密,通信设备,4.08,-1.142,19.91,"5G, OLED, PCB板, 特斯拉, 华为产业链, 业绩预增, 股权转让, 苹果产业链, 资产重组, LED, "
31,300327.SZ,300327,中颖电子,半导体,-1.12,-1.167,24.56,"OLED, 半导体, 国产芯片, "
32,002876.SZ,002876,三利谱,元器件,1.48,-1.2915,42.8,"OLED, "
33,000100.SZ,000100,TCL集团,家用电器,-1.4,-1.3089,3.77,"高股息, OLED, MSCI, 回购, 宁德时代概念股, 工业自动化, 家电, 小米概念股, 智能制造, 腾讯概念股, 黑色家电, 资产重组, 独角兽, 科创板概念股, "
34,000990.SZ,000990,诚志股份,化工原料,-4.63,-1.3456,25.66,"OLED, 民营医院, 甲醇, 回购, 雄安-智慧城市, 雄安新区, 半导体, 高校系, 强势人气股, 工业大麻, "
35,000045.SZ,000045,深纺织A,纺织,2.96,-1.6393,7.8,"OLED, 宝能系, 深圳本地股/深汕合作, "
36,000536.SZ,000536,华映科技,元器件,8.62,-1.6807,3.51,"OLED, 破净股, 债转股-AMC, 3D玻璃, 强势人气股, "
37,002870.SZ,002870,香山股份,电器仪表,3.77,-1.6818,22.8,"OLED, 物联网, 强势人气股, "
38,603773.SH,603773,沃格光电,元器件,-6.05,-1.7306,44.86,"OLED, 高送转-预期, 3D玻璃, "
39,300263.SZ,300263,隆华科技,专用机械,-1.29,-1.746,6.19,"OLED, 业绩预增, 军工, 军民融合, 雄安-公共服务, 环保, 雄安新区, 污水处理, 半导体, 股权转让, 地热, "
40,002326.SZ,002326,永太科技,化工原料,0.51,-1.7822,9.92,"OLED, 农药, 业绩预增, 医药, 化学药, 锂电池, 新能源汽车, 半导体, 股权转让, "
41,300134.SZ,300134,大富科技,通信设备,4.57,-1.9966,17.18,"5G, OLED, 特斯拉, 华为产业链, 无人驾驶, 高质押率, 石墨烯, 股权转让, VR&AR, 国资入股, 虹膜识别, "
42,002845.SZ,002845,同兴达,元器件,-1.41,-2.2505,19.98,"OLED, 华为产业链, 小米概念股, 国资入股, "
43,300429.SZ,300429,强力新材,化工原料,2.29,-2.3443,27.91,"OLED, 高送转, 半导体, "
44,601958.SH,601958,金钼股份,小金属,1.04,-2.4457,7.18,"OLED, MSCI, 新进指数成份股, 有色金属, 业绩预增, 有色-钼, "
45,300057.SZ,300057,万顺股份,广告包装,-2.28,-2.4969,7.81,"OLED, 包装印刷, "
46,002635.SZ,002635,安洁科技,电脑设备,-1.58,-2.7431,15.6,"OLED, 特斯拉, 回购, 定增破发, 小米概念股, 无线充电, 苹果产业链, "
47,002036.SZ,002036,联创电子,元器件,3.75,-2.7609,14.44,"OLED, 特斯拉, 华为产业链, 回购, 无人驾驶, 无线充电, 3D感应, 3D玻璃, VR&AR, 国产芯片, 虹膜识别, 创投, "
48,002456.SZ,002456,欧菲光,元器件,5.15,-2.7682,14.05,"白马股, OLED, MSCI, 北汽新能源, 华为产业链, 回购, 业绩预增, 汽车零部件, 无人驾驶, 小米概念股, 指纹识别, 3D感应, 3D玻璃, VR&AR, 苹果产业链, 虹膜识别, 人脸识别, "
49,300037.SZ,300037,新宙邦,化工原料,5.85,-2.819,26.2,"OLED, 特斯拉, 社保重仓, 锂电池, 新能源汽车, 年报季报, 科创板概念股, "
50,300346.SZ,300346,南大光电,元器件,2.82,-2.9515,13.81,"OLED, 回购, 业绩预增, 高送转, 半导体, LED, "
51,002426.SZ,002426,胜利精密,元器件,5.49,-3.0726,3.47,"OLED, 工业自动化, 锂电池, 智能制造, 新能源汽车, 3D玻璃, 股权转让, 苹果产业链, 机器视觉, 国资入股, "
52,300088.SZ,300088,长信科技,元器件,1.57,-3.0912,6.27,"OLED, 特斯拉, 华为产业链, 蔚来汽车概念股, 无人驾驶, 小米概念股, 石墨烯, 股权转让, 苹果产业链, 独角兽, "
53,601208.SH,601208,东材科技,化工原料,1.31,-3.1079,5.3,"OLED, 回购, 石油化工, 光伏, "
54,002618.SZ,002618,丹邦科技,元器件,-0.98,-3.1103,16.51,"OLED, PCB板, 石墨烯, "
55,300481.SZ,300481,濮阳惠成,化工原料,3.26,-3.1982,16.95,"OLED, 石油化工, 资产重组, "
56,300400.SZ,300400,劲拓股份,专用机械,-1.45,-3.7987,20.26,"OLED, 工业自动化, 智能制造, 举牌股, 3D玻璃, 苹果产业链, 机器视觉, "
57,002008.SZ,002008,大族激光,电器仪表,3.23,-3.9636,41.19,"白马股, OLED, MSCI, 社保重仓, 大飞机, 回购, 宁德时代概念股, 无人驾驶, 3D打印, 智能制造, 半导体, 机器视觉, 机器人, LED, "
58,002450.SZ,002450,ST康得新,化工原料,-1.76,-4.3046,5.78,"碳纤维, OLED, 蔚来汽车概念股, 石墨烯, VR&AR, 国资入股, 资产重组, ST股, "
59,300256.SZ,300256,星星科技,元器件,-3.1,-5.8427,4.19,"OLED, 华为产业链, 指纹识别, 3D玻璃, 股权转让, "
60,600666.SH,600666,奥瑞德,元器件,-9.87,-10.02,4.49,"OLED, 3D玻璃, "
