,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS,concept
0,600723.SH,600723,首商股份,百货,7.37,39432.07,"阿里巴巴概念股, 北京城市规划, 新零售, "
1,300684.SZ,300684,中石科技,化工原料,39.99,28612.89,"5G, 高送转-预期, 华为产业链, "
2,600642.SH,600642,申能股份,火力发电,5.69,22118.4,"火电, 高股息, MSCI, 油服, 甲醇, 社保重仓, 风电, 天然气, 上海国企改革, "
3,600094.SH,600094,大名城,区域地产,9.99,19909.76,"福建自贸区, 房地产, 自贸区, "
4,600900.SH,600900,长江电力,水力发电,16.78,19876.06,"白马股, MSCI, 水电, 电改, 央企改革, "
5,601229.SH,601229,上海银行,银行,12.85,17644.74,"银行, MSCI, 破净股, "
6,600406.SH,600406,国电南瑞,软件服务,21.25,16776.41,"特高压, MSCI, 电改, 央企改革, 新能源汽车, 充电桩, "
7,600282.SH,600282,南钢股份,普钢,4.25,16343.27,"MSCI, 钢铁, 工业互联网, "
8,000711.SZ,000711,京蓝科技,软件服务,7.0,14160.46,"阿里巴巴概念股, 固废处理, 回购, 园林, 物联网, 雄安-园林环保, 海绵城市, PPP, 环保, 雄安新区, 大数据, 区块链, 智慧城市, "
9,603077.SH,603077,和邦生物,化工原料,2.02,14008.33,"碳纤维, 草甘膦, MSCI, 纯碱, 回购, 低价股, "
10,002179.SZ,002179,中航光电,元器件,39.82,13564.46,"5G, MSCI, 新进指数成份股, 央企改革, 军工研究所, 社保重仓, 大飞机, 回购, 军工, 军民融合, 新能源汽车, "
11,000718.SZ,000718,苏宁环球,区域地产,4.11,13312.0,"民营医院, 房地产, 进口博览会, 足球, 年报季报, 动漫, "
12,603590.SH,603590,康辰药业,化学制药,37.48,13185.09,"医药, 创新药, "
13,601857.SH,601857,中国石油,石油开采,7.7,13141.36,"MSCI, 中字头, 油气改革, 可燃冰, 央企改革, 业绩预增, 页岩气, 天然气, 石油化工, 油品升级, "
14,000608.SZ,000608,阳光股份,区域地产,7.31,12967.71,"房地产, 举牌股, 广西, 复牌股, "
15,002320.SZ,002320,海峡股份,水运,16.19,12470.16,"航运, 海南自由贸易港, 高送转, 自贸区, 自由贸易港, 股权转让, 海南, "
16,600004.SH,600004,白云机场,机场,14.16,12159.43,"机场, MSCI, 新进指数成份股, 粤港澳大湾区, "
17,600959.SH,600959,江苏有线,影视音像,5.53,12061.54,"新进指数成份股, 破净股, 定增破发, 智慧城市, 广电, "
18,603101.SH,603101,汇嘉时代,百货,13.23,11785.14,"新疆, "
19,603167.SH,603167,渤海轮渡,水运,10.7,10781.1,"航运, 回购, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, "
20,300382.SZ,300382,斯莱克,专用机械,7.94,10544.33,"回购, 智能制造, 新能源汽车, 机器视觉, 包装印刷, "
21,603600.SH,603600,永艺股份,家居用品,10.05,10124.55,"家具家居, "
22,000429.SZ,000429,粤高速A,路桥,8.91,10032.3,"高速公路, 粤港澳大湾区, "
