,ts_code,symbol,name,industry,COL_MA,COL_LASTPRICE,COL_MA_CLOSE_GAP,COL_MA_10,COL_MA_20,COL_MA_GAP,COL_MA_10_SLOPE,COL_MA_20_SLOPE,concept
0,300462.SZ,300462,华铭智能,专用机械,18.58,18.09,-2.64,18.89,18.58,1.67,0.21,0.0,"移动支付, 大数据, 腾讯概念股, 高铁轨交, 独角兽, "
1,603879.SH,603879,永悦科技,化工原料,12.81,12.51,-2.34,13.29,12.81,3.75,0.15,0.0,"回购, "
2,002947.SZ,002947,恒铭达,元器件,44.33,43.36,-2.19,44.75,44.33,0.95,0.04,-0.31,"次新股, "
3,300469.SZ,300469,信息发展,软件服务,26.37,25.9,-1.78,26.6,26.37,0.87,0.0,-0.23,"阿里巴巴概念股, 新零售, 药品信息化追溯, 区块链, 国产软件, 腾讯概念股, 国产芯片, "
4,002351.SZ,002351,漫步者,电脑设备,6.53,6.46,-1.07,6.56,6.53,0.46,0.0,-0.31,"家电, 智能音箱, 黑色家电, "
5,300312.SZ,300312,邦讯技术,通信设备,8.68,8.59,-1.04,8.89,8.68,2.42,0.11,0.0,"5G, 物联网, 高质押率, 互联网金融, 国资入股, 手游, "
6,603220.SH,603220,贝通信,通信设备,32.65,32.33,-0.98,33.0,32.65,1.07,0.3,0.0,"5G, 强势人气股, "
7,600178.SH,600178,东安动力,汽车配件,6.25,6.19,-0.96,6.5,6.25,4.0,0.15,0.0,"北汽新能源, 混改, 军工混改, 央企改革, 军工研究所, 军工, 汽车零部件, "
8,603559.SH,603559,中通国脉,通信设备,25.16,24.96,-0.79,25.4,25.16,0.95,0.28,0.16,"5G, 云计算, "
9,300634.SZ,300634,彩讯股份,软件服务,28.6,28.38,-0.77,29.26,28.6,2.31,0.14,0.07,"大数据, "
10,002647.SZ,002647,仁东控股,多元金融,13.99,13.89,-0.71,14.01,13.99,0.14,0.14,0.0,"高质押率, 互联网金融, 移动支付, "
11,600212.SH,600212,江泉实业,综合类,5.6,5.56,-0.71,5.68,5.6,1.43,0.35,0.18,"壳公司, "
12,002684.SZ,002684,猛狮科技,电气设备,7.41,7.37,-0.54,7.61,7.41,2.7,0.4,0.14,"新能源整车, 风电, 储能, 特色小镇, 高质押率, 锂电池, 燃料电池, 新能源汽车, 人工智能, "
13,300493.SZ,300493,润欣科技,通信设备,11.34,11.28,-0.53,11.38,11.34,0.35,0.09,0.0,"5G, 移动支付, 高送转, 半导体, 智慧城市, 共享经济, 智慧安防, "
14,000988.SZ,000988,华工科技,电器仪表,15.76,15.69,-0.44,15.78,15.76,0.13,0.19,-0.06,"5G, 光通信, 华为产业链, 社保重仓, 工业自动化, 量子通信, 3D打印, 智能制造, 新能源汽车, 半导体, 无人商店, 智慧城市, 高校系, 独角兽, 创投, "
15,600462.SH,600462,ST九有,元器件,2.48,2.47,-0.4,2.55,2.48,2.82,0.39,-0.4,"低价股, 国资入股, 独角兽, ST股, 壳公司, "
16,300068.SZ,300068,南都电源,电气设备,16.04,16.01,-0.19,16.73,16.04,4.3,0.36,0.19,"储能, 锂电池, 燃料电池, 新能源汽车, 石墨烯, "
17,600406.SH,600406,国电南瑞,软件服务,21.3,21.31,0.05,21.42,21.3,0.56,0.23,0.14,"特高压, MSCI, 电改, 央企改革, 新能源汽车, 充电桩, "
18,600011.SH,600011,华能国际,火力发电,6.61,6.62,0.15,6.62,6.61,0.15,0.15,0.0,"火电, 高股息, 白马股, MSCI, 电改, 央企改革, 风电, "
19,600265.SH,600265,ST景谷,林业,27.35,27.42,0.26,27.71,27.35,1.32,0.36,0.07,"林业, 股权转让, ST股, "
20,002167.SZ,002167,东方锆业,小金属,7.9,7.93,0.38,8.36,7.9,5.82,0.6,0.51,"有色-锆, 一带一路, 央企改革, 核电, 航母, 有色金属, 黄金, "
21,600608.SH,600608,ST沪科,钢加工,5.08,5.11,0.59,5.21,5.08,2.56,0.19,0.0,"钢铁, ST股, "
22,600071.SH,600071,凤凰光学,元器件,13.1,13.18,0.61,13.93,13.1,6.34,0.51,0.38,"央企改革, 军工研究所, 军工, 智能制造, 智慧安防, "
23,002725.SZ,002725,跃岭股份,汽车配件,10.6,10.67,0.66,10.64,10.6,0.38,0.28,0.19,"5G, 汽车零部件, 独角兽, "
24,300682.SZ,300682,朗新科技,软件服务,24.04,24.2,0.67,25.0,24.04,3.99,0.24,0.12,"云计算, 区块链, 工业互联网, 国产软件, 资产重组, 独角兽, 蚂蚁金服概念股, "
25,000666.SZ,000666,经纬纺机,纺织机械,14.91,15.01,0.67,15.36,14.91,3.02,0.39,0.2,"央企改革, 信托, 恒大概念股, 资产重组, "
26,002243.SZ,002243,通产丽星,塑料,20.26,20.4,0.69,20.39,20.26,0.64,0.15,-0.15,"业绩预增, 包装印刷, 资产重组, 深圳本地股/深汕合作, 富勒烯, 创投, "
27,600701.SH,600701,*ST工新,综合类,2.81,2.83,0.71,2.84,2.81,1.07,0.0,-0.35,"破净股, 工业自动化, 网络安全, 智能制造, 低价股, 国产软件, 高校系, ST股, 人脸识别, "
28,300056.SZ,300056,三维丝,环境保护,6.89,6.94,0.73,6.93,6.89,0.58,0.29,-0.14,"兜底式增持, 大气治理, 环保, 举牌股, 股权争夺, "
29,300556.SZ,300556,丝路视觉,软件服务,21.8,21.96,0.73,22.01,21.8,0.96,0.41,0.18,"阿里巴巴概念股, 社保重仓, 业绩预增, 智能制造, 雄安新区, 云计算, 国产软件, VR&AR, 机器视觉, 雄安-设计, "
30,601988.SH,601988,中国银行,银行,3.88,3.91,0.77,3.95,3.88,1.8,0.25,0.0,"银行, 安邦系, MSCI, 中字头, 人民币升值受益, 破净股, "
31,603360.SH,603360,百傲化学,化工原料,28.32,28.54,0.78,28.54,28.32,0.78,0.88,0.6,"农药, 石油化工, "
32,300724.SZ,300724,捷佳伟创,专用机械,35.12,35.4,0.8,35.41,35.12,0.83,0.68,0.29,"社保重仓, 光伏, LED, "
33,002260.SZ,002260,*ST德奥,航空,3.4,3.43,0.88,3.58,3.4,5.29,0.28,0.0,"通用航空, 农机, 小家电, 家电, ST股, 壳公司, "
34,300252.SZ,300252,金信诺,电气设备,13.53,13.67,1.03,13.68,13.53,1.11,0.51,0.3,"5G, 光通信, PCB板, 大飞机, 航母, 军工, 军民融合, 国产芯片, 高铁轨交, "
35,300538.SZ,300538,同益股份,批发业,33.54,33.91,1.1,33.99,33.54,1.34,0.59,-0.12,"华为产业链, 小米概念股, 高送转, 国资入股, "
36,000909.SZ,000909,数源科技,综合类,8.95,9.08,1.45,9.26,8.95,3.46,0.65,0.11,"浙江国企改革, 物联网, 无人驾驶, 智慧停车, 新能源汽车, 充电桩, "
37,600681.SH,600681,百川能源,供气供热,13.56,13.78,1.62,13.68,13.56,0.88,0.29,0.0,"油气改革, 天然气, 雄安-公共服务, 雄安新区, 京津冀, "
38,002474.SZ,002474,榕基软件,软件服务,10.4,10.57,1.63,10.55,10.4,1.44,0.38,0.19,"物联网, 网络安全, 数字中国, 云计算, 智慧城市, 国产软件, VR&AR, 智慧安防, "
39,002161.SZ,002161,远望谷,通信设备,7.61,7.74,1.71,7.64,7.61,0.39,0.26,-0.13,"回购, 物联网, 智慧物流, 智能制造, 移动支付, 无人商店, 智慧城市, 高铁轨交, 资产重组, 创投, 电子车牌, "
40,300481.SZ,300481,濮阳惠成,化工原料,17.37,17.68,1.78,17.5,17.37,0.75,0.52,-0.34,"OLED, 石油化工, 资产重组, "
41,000850.SZ,000850,华茂股份,纺织,4.95,5.04,1.82,5.01,4.95,1.21,0.4,0.0,"棉花, 纺织服装, "
42,600206.SH,600206,有研新材,半导体,9.67,9.85,1.86,9.69,9.67,0.21,0.41,0.21,"OLED, 央企改革, 业绩预增, 稀土磁材, 雄安-建材, 雄安新区, 半导体, LED, 科创板概念股, "
43,300394.SZ,300394,天孚通信,通信设备,32.68,33.36,2.08,33.39,32.68,2.17,0.51,0.46,"5G, 光通信, "
