,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_MA_5_SLOPE,COL_MA_10_SLOPE,COL_MA_20_SLOPE,COL_LASTPRICE,COL_MA_CLOSE_GAP,concept
0,002015.SZ,002015,霞客环保,化纤,6.29,6.21,6.17,0.32,0.16,0.0,6.33,2.59,"涤纶, 资产重组, 壳公司, "
1,002214.SZ,002214,大立科技,电器仪表,9.09,8.81,8.75,0.78,0.23,0.11,9.05,3.43,"军工, 军民融合, 智能制造, 智慧安防, 机器人, 壳公司, "
2,002816.SZ,002816,和科达,专用机械,23.05,22.62,22.54,0.96,0.49,0.09,23.4,3.82,
3,300459.SZ,300459,金科文化,化工原料,9.07,8.8,8.66,0.67,0.57,0.46,9.0,3.93,"阿里巴巴概念股, 新进指数成份股, 回购, 业绩预增, 谷歌概念股, 高质押率, 大数据, 人工智能, "
4,300488.SZ,300488,恒锋工具,机械基件,26.91,26.51,26.46,0.67,0.45,0.3,27.5,3.93,
5,300265.SZ,300265,通光线缆,电气设备,11.21,10.43,10.34,1.72,0.77,0.39,10.75,3.97,"5G, 特高压, 光通信, 军工, 军民融合, "
6,600509.SH,600509,天富能源,火力发电,5.83,5.74,5.66,1.22,0.53,0.35,5.9,4.24,"火电, 电改, 国家队重仓, 破净股, 天然气, 新疆, 新疆国企改革, "
7,002821.SZ,002821,凯莱英,生物制药,93.21,90.14,89.85,0.83,0.41,0.3,93.68,4.26,"社保重仓, 医药, 创新药, "
8,002654.SZ,002654,万润科技,半导体,5.11,5.0,4.97,0.99,0.6,0.2,5.19,4.43,"定增破发, 小米概念股, 股权转让, 国资入股, 独角兽, LED, "
9,603738.SH,603738,泰晶科技,元器件,17.42,16.65,16.61,1.04,0.79,0.42,17.35,4.46,"被动元件, "
10,603088.SH,603088,宁波精达,专用机械,15.49,14.97,14.68,0.91,0.54,0.48,15.41,4.97,
11,002789.SZ,002789,建艺集团,装修装饰,19.05,18.91,18.6,0.74,0.64,0.27,19.57,5.22,"装修装饰, "
12,300528.SZ,300528,幸福蓝海,影视音像,10.34,9.67,9.37,1.57,0.62,0.54,9.87,5.34,"影视, "
13,002240.SZ,002240,威华股份,家居用品,10.03,9.92,9.87,0.7,0.61,0.51,10.4,5.37,"业绩预增, 定增破发, 稀土磁材, 土地流转, 锂电池, 新能源汽车, 家具家居, "
14,000546.SZ,000546,金圆股份,水泥,10.65,10.43,10.37,0.95,0.58,0.48,10.93,5.4,"固废处理, 水泥, 环保, 股权转让, "
