,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS,COL_MAXGAP,concept
0,603222.SH,603222,济民制药,化学制药,30.31,12999.86,95.06,"民营医院, 海南自由贸易港, 医疗器械, 自贸区, 自由贸易港, "
1,300255.SZ,300255,常山药业,生物制药,8.45,9679.45,80.45,"医药, 创新药, 化学药, "
2,601608.SH,601608,中信重工,专用机械,5.14,4854.52,68.32,"业绩预增, 工业自动化, 智能制造, 工业互联网, 机器人, 强势人气股, "
3,600094.SH,600094,大名城,区域地产,8.99,3671.06,121.94,"福建自贸区, 房地产, 自贸区, "
4,000677.SZ,000677,恒天海龙,化纤,4.24,3158.69,79.31,"轮胎, 石墨烯, 粘胶短纤, 强势人气股, 工业大麻, "
5,300220.SZ,300220,金运激光,元器件,28.32,3125.67,140.97,"3D打印, 智能制造, "
6,000811.SZ,000811,冰轮环境,工程机械,10.52,2968.39,69.28,"中韩自贸区, 山东国企改革, 冷链, 自贸区, 地热, 创投, "
7,300175.SZ,300175,朗源股份,食品,6.95,1926.4,79.78,"土地流转, 大数据, 云计算, 农业种植, 股权转让, 强势人气股, 苹果期货, "
8,600278.SH,600278,东方创业,商贸代理,15.07,1902.38,94.06,"业绩预增, 参股券商, 上海国企改革, 进口博览会, 自贸区, 自由贸易港, 独角兽, 上海自由贸易港, 强势人气股, 科创板概念股, "
9,002949.SZ,002949,华阳国际,建筑施工,26.64,1896.76,150.68,"次新股, 装配式建筑, 装修装饰, "
10,600648.SH,600648,外高桥,园区开发,22.52,1676.08,69.46,"MSCI, 参股券商, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, "
11,002017.SZ,002017,东信和平,通信设备,16.99,1363.25,69.84,"5G, 央企改革, 物联网, 移动支付, 强势人气股, "
12,300370.SZ,300370,安控科技,电器仪表,4.96,1235.02,115.97,"油服, 油气改革, 天然气, 石油化工, 兜底式增持, 物联网, 工业自动化, 海南自由贸易港, 智能制造, 自贸区, 工业互联网, 智慧城市, 自由贸易港, 国产芯片, 智慧安防, 机器人, 创投, "
13,600536.SH,600536,中国软件,软件服务,57.89,1197.51,120.14,"中字头, 央企改革, 军工研究所, 军工, 网络安全, 智慧城市, 国产软件, 腾讯概念股, 国产操作系统, "
14,300765.SZ,300765,新诺威,食品,44.5,1159.55,67.89,"次新股, 保健品, 食品, "
15,600290.SH,600290,华仪电气,电气设备,6.85,1100.06,67.9,"风电, 创投, "
16,002950.SZ,002950,奥美医疗,医疗保健,29.9,1010.31,156.18,"次新股, 医疗器械, "
17,600651.SH,600651,飞乐音响,电器仪表,5.13,838.41,91.62,"上海国企改革, 智慧城市, LED, 强势人气股, "
18,300085.SZ,300085,银之杰,软件服务,18.35,763.4,77.09,"参股券商, 创业板人气股, 互联网金融, 大数据, 跨境电商, 国产软件, 智慧安防, 资产重组, 强势人气股, "
19,300119.SZ,300119,瑞普生物,生物制药,19.2,751.13,110.82,"动物保健, "
20,600613.SH,600613,神奇制药,中成药,7.93,719.84,75.92,"医药, 中药, 强势人气股, "
21,000810.SZ,000810,创维数字,家用电器,11.08,717.59,69.62,"5G, OLED, 华为产业链, 业绩预增, 百度概念股, 高质押率, 家电, 半导体, 智能音箱, 黑色家电, 手游, 广电, 科创板概念股, "
22,600131.SH,600131,岷江水电,水力发电,20.33,707.05,91.84,"水电, 央企改革, 业绩预增, 云计算, 强势人气股, "
23,600202.SH,600202,哈空调,电气设备,5.74,685.49,67.57,"振兴东北, 核电, 复牌股, ST摘帽, "
24,000682.SZ,000682,东方电子,电气设备,6.05,676.61,78.61,"物联网, 智能仪表, 山东国企改革, 新能源汽车, 充电桩, "
25,002437.SZ,002437,誉衡药业,化学制药,4.84,664.91,74.71,"PD-1抑制剂, 民营医院, 高质押率, 医药, 万达系, 化学药, 基因测序, 移动支付, 京东金融概念股, 独角兽, 科创板概念股, "
26,600624.SH,600624,复旦复华,综合类,12.73,652.84,121.24,"健康中国, 脑科学, 高校系, 强势人气股, 创投, "
27,300763.SZ,300763,锦浪科技,电气设备,56.36,528.98,105.86,"次新股, 光伏, "
28,002952.SZ,002952,亚世光电,元器件,63.78,514.82,93.24,"次新股, "
29,300766.SZ,300766,每日互动,互联网,69.61,503.61,315.81,
30,603956.SH,603956,威派格,专用机械,24.95,499.84,253.58,"次新股, "
31,300043.SZ,300043,星辉娱乐,文教休闲,5.8,497.64,78.29,"二胎, 足球, 腾讯概念股, 游戏, 手游, 体育产业, 动漫, "
32,002639.SZ,002639,雪人股份,专用机械,16.22,473.56,99.13,"福建自贸区, 燃料电池, 冷链, 自贸区, 体育产业, "
33,600088.SH,600088,中视传媒,影视音像,20.74,455.87,121.4,"旅游, 广电, 影视, 强势人气股, "
34,001696.SZ,001696,宗申动力,摩托车,9.45,411.55,74.96,"东盟博览会, 国家队重仓, 通用航空, 军工, 军民融合, 无人机, 汽车零部件, 农机, 燃料电池, "
35,603000.SH,603000,人民网,互联网,25.64,406.31,83.98,"业绩预增, 直播/短视频, 进口博览会, 区块链, 彩票, 腾讯概念股, 强势人气股, "
36,601519.SH,601519,大智慧,软件服务,10.32,397.32,95.68,"互联网金融, 国产软件, 彩票, ST摘帽, 强势人气股, "
37,300538.SZ,300538,同益股份,批发业,33.91,374.28,70.58,"华为产业链, 小米概念股, 高送转, 国资入股, "
38,002958.SZ,002958,青农商行,银行,8.89,371.84,98.28,"银行, 次新股, "
39,002189.SZ,002189,利达光电,元器件,26.01,366.66,75.32,"混改, 军工混改, 央企改革, 军工研究所, 业绩预增, 军工, 智能制造, 3D感应, VR&AR, 机器视觉, 资产重组, 人脸识别, "
40,300033.SZ,300033,同花顺,软件服务,103.98,365.31,76.14,"高价股, MSCI, 创业板人气股, 互联网金融, 大数据, 人工智能, 国产软件, 彩票, "
41,002077.SZ,002077,大港股份,区域地产,6.2,338.57,77.52,"房地产, 锂电池, 新能源汽车, 半导体, 科创板概念股, "
42,600860.SH,600860,京城股份,专用机械,9.58,333.01,82.87,"天然气, 燃料电池, "
43,600155.SH,600155,华创阳安,证券,15.36,331.28,87.38,"券商, 雄安-建材, 雄安新区, 京津冀, "
44,603300.SH,603300,华铁科技,钢加工,10.18,316.64,101.27,"雄安新区, 雄安-工程基建, 举牌股, 国资入股, "
45,600268.SH,600268,国电南自,电气设备,7.78,316.31,79.2,"特高压, 电改, 央企改革, 新能源汽车, 充电桩, "
46,600602.SH,600602,云赛智联,软件服务,10.7,298.15,83.77,"上海国企改革, 云计算, 智慧城市, 国产软件, "
47,600866.SH,600866,星湖科技,食品,6.18,292.28,76.98,"医药, 化学药, "
48,603026.SH,603026,石大胜华,化工原料,37.0,283.03,77.18,"社保重仓, 石油化工, 山东国企改革, 锂电池, 燃料电池, 新能源汽车, 高校系, "
49,600156.SH,600156,华升股份,纺织,6.66,275.68,67.4,"纺织服装, 湖南国企改革, 人民币贬值受益, 股权转让, 工业大麻, "
50,603577.SH,603577,汇金通,钢加工,14.58,265.8,74.15,"特高压, "
51,000576.SZ,000576,广东甘化,造纸,11.71,261.88,67.72,"军工研究所, 军工, 军民融合, 食品, 白糖, 资产重组, "
52,002356.SZ,002356,赫美集团,其他商业,10.82,256.94,179.04,"高质押率, 互联网金融, 移动支付, 跨境电商, 国资入股, "
53,002440.SZ,002440,闰土股份,染料涂料,16.89,252.3,69.67,"高股息, 染料, "
54,000893.SZ,000893,*ST东凌,食品,8.54,242.62,87.96,"化肥, 股权转让, ST股, "
55,002175.SZ,002175,东方网络,电器仪表,5.12,240.9,123.69,"特色小镇, 广西, 股权转让, VR&AR, 影视, 强势人气股, 动漫, "
56,603032.SH,603032,德新交运,公路,36.4,239.99,68.02,"社保重仓, 业绩预增, 新疆, 资产重组, 强势人气股, "
57,002530.SZ,002530,金财互联,专用机械,12.48,235.47,74.97,"互联网金融, 云计算, 区块链, 电子发票, "
58,000037.SZ,000037,深南电A,火力发电,12.01,231.85,110.83,"火电, 电改, "
59,601975.SH,601975,长航油运,水运,4.06,229.48,118.88,"航运, 年报季报, ST摘帽, "
60,002124.SZ,002124,天邦股份,饲料,22.2,226.81,97.53,"饲料, 养猪, 动物保健, 强势人气股, "
61,300234.SZ,300234,开尔新材,陶瓷,11.66,225.41,88.79,"回购, 高质押率, 装修装饰, "
62,002780.SZ,002780,三夫户外,其他商业,26.42,224.92,74.81,"主题公园, 纺织服装, 体育产业, "
63,000922.SZ,000922,佳电股份,电气设备,11.8,217.24,67.85,"电改, 央企改革, 核电, 业绩预增, 工业自动化, 智能制造, ST摘帽, "
64,603383.SH,603383,顶点软件,软件服务,103.81,214.47,123.1,"高价股, 数字中国, 互联网金融, 国产软件, 知识产权, 强势人气股, "
65,300762.SZ,300762,上海瀚讯,通信设备,72.1,211.96,346.86,"次新股, "
66,002464.SZ,002464,众应互联,互联网,15.3,202.12,67.9,"大数据, 股权转让, 游戏, 手游, "
