,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS,COL_MAXGAP,concept
0,600352.SH,600352,浙江龙盛,染料涂料,20.6,4268.84,134.23,"MSCI, 业绩预增, 染料, 滴滴出行概念股, 独角兽, "
1,002099.SZ,002099,海翔药业,化学制药,9.01,3325.58,96.09,"回购, 业绩预增, 染料, 医药, 化学药, "
2,000993.SZ,000993,闽东电力,水力发电,7.48,3269.23,85.11,"水电, 电改, 风电, 宁德时代概念股, 债转股-AMC, 锂电池, 新能源汽车, 强势人气股, "
3,002370.SZ,002370,亚太药业,化学制药,17.2,3183.85,87.11,"医药, 创新药, 化学药, "
4,000990.SZ,000990,诚志股份,化工原料,23.75,3128.28,161.69,"OLED, 民营医院, 甲醇, 回购, 雄安-智慧城市, 雄安新区, 半导体, 高校系, 强势人气股, 工业大麻, "
5,603823.SH,603823,百合花,染料涂料,21.93,2348.62,87.17,"染料, "
6,603383.SH,603383,顶点软件,软件服务,97.1,2346.08,123.1,"高价股, 数字中国, 互联网金融, 国产软件, 知识产权, 强势人气股, "
7,000813.SZ,000813,德展健康,化学制药,11.19,1985.41,76.46,"新疆, 医药, 化学药, 工业大麻, "
8,002869.SZ,002869,金溢科技,通信设备,27.3,1574.86,81.19,"粤港澳大湾区, 物联网, 智慧停车, 人工智能, 区块链, 智慧城市, 国产软件, 电子车牌, "
9,601975.SH,601975,长航油运,水运,3.87,1400.49,118.88,"航运, 年报季报, ST摘帽, "
10,002496.SZ,002496,辉丰股份,农药化肥,3.33,1324.05,76.21,"农药, 草铵膦, ST摘帽, "
11,002532.SZ,002532,新界泵业,农用机械,7.4,1309.94,70.89,"有色-铝, 乡村振兴, 有色金属, 农机, 水利, 环保, 污水处理, "
12,600710.SH,600710,苏美达,工程机械,6.48,1180.95,82.9,"央企改革, 智能制造, 机器人, "
13,600146.SH,600146,商赢环球,服饰,13.51,1172.45,129.26,"纺织服装, 高质押率, 互联网金融, 区块链, 跨境电商, 宁夏, 强势人气股, "
14,300079.SZ,300079,数码科技,通信设备,6.42,1054.6,106.7,"5G, 业绩预增, 谷歌概念股, 网络安全, 互联网金融, 移动支付, 区块链, 彩票, VR&AR, 广电, 影视, 知识产权, "
15,600093.SH,600093,易见股份,仓储物流,13.76,1017.69,80.53,"供应链金融, 区块链, 股权转让, "
16,002750.SZ,002750,龙津药业,中成药,16.86,1008.65,205.22,"医药, 中药, 强势人气股, 工业大麻, "
17,300378.SZ,300378,鼎捷软件,软件服务,17.65,987.63,105.35,"工业自动化, 智能制造, 人工智能, 工业互联网, 无人商店, 国产软件, 透明工厂, "
18,300234.SZ,300234,开尔新材,陶瓷,11.43,973.88,88.79,"回购, 高质押率, 装修装饰, "
19,002191.SZ,002191,劲嘉股份,广告包装,13.78,917.16,68.51,"回购, 基因测序, 药品信息化追溯, 包装印刷, "
20,600155.SH,600155,华创阳安,证券,15.08,859.3,87.38,"券商, 雄安-建材, 雄安新区, 京津冀, "
21,600422.SH,600422,昆药集团,中成药,12.42,839.96,102.89,"国家队重仓, 回购, 医药, 中药, 创新药, 化学药, 独角兽, "
22,002235.SZ,002235,安妮股份,互联网,8.96,825.81,89.74,"教育, 大数据, 造纸, 区块链, 彩票, 体育产业, 知识产权, 动漫, "
23,600866.SH,600866,星湖科技,食品,5.85,815.27,76.52,"医药, 化学药, "
24,601678.SH,601678,滨化股份,化工原料,7.3,722.42,67.72,"烧碱, 环氧丙烷, 制冷剂, 军工, 军民融合, 煤化工, 燃料电池, "
25,300763.SZ,300763,锦浪科技,电气设备,52.04,686.36,105.86,"次新股, 光伏, "
26,603577.SH,603577,汇金通,钢加工,13.45,683.83,74.15,"特高压, "
27,000927.SZ,000927,一汽夏利,汽车整车,5.32,665.66,84.37,"汽车整车, 混改, 央企改革, 铁总混改, 复牌股, 资产重组, "
28,002177.SZ,002177,御银股份,电脑设备,5.86,637.87,97.52,"业绩预增, 互联网金融, 区块链, 腾讯概念股, 国产操作系统, 虹膜识别, 人脸识别, 无人银行, "
29,603709.SH,603709,中源家居,家居用品,39.0,603.87,66.28,"人民币贬值受益, 家具家居, "
30,000590.SZ,000590,启迪古汉,中成药,14.39,583.89,136.67,"保健品, 食品, 医药, 中药, 雄安新区, 高校系, 资产重组, "
31,600602.SH,600602,云赛智联,软件服务,9.89,540.71,83.77,"上海国企改革, 云计算, 智慧城市, 国产软件, "
32,300110.SZ,300110,华仁药业,化学制药,6.28,529.84,126.04,"医药, 化学药, 工业大麻, "
33,002530.SZ,002530,金财互联,专用机械,11.75,509.52,74.97,"互联网金融, 云计算, 区块链, 电子发票, "
34,002683.SZ,002683,宏大爆破,化工原料,13.66,486.16,67.72,"军工, 军民融合, 民爆, "
