,ts_code,symbol,name,industry,COL_MA,COL_LASTPRICE,COL_MA_CLOSE_GAP,COL_MA_10,COL_MA_20,COL_MA_GAP,concept
0,300532.SZ,300532,今天国际,软件服务,15.19,15.2,0.07,15.25,15.19,0.39,"宁德时代概念股, 智慧物流, 智能制造, 快递物流, 国资入股, "
1,603998.SH,603998,方盛制药,中成药,10.78,10.79,0.09,12.62,10.78,17.07,"医药, 中药, 创新药, 工业大麻, "
2,600379.SH,600379,宝光股份,电气设备,9.24,9.25,0.11,9.73,9.24,5.3,"央企改革, 股权争夺, "
3,603708.SH,603708,家家悦,超市连锁,25.57,25.6,0.12,25.94,25.57,1.45,"社保重仓, 新零售, 快递物流, "
4,603010.SH,603010,万盛股份,化工原料,17.0,17.02,0.12,17.01,17.0,0.06,"国产芯片, 资产重组, "
5,002196.SZ,002196,方正电机,纺织机械,6.77,6.78,0.15,7.01,6.77,3.55,"特斯拉, "
6,300303.SZ,300303,聚飞光电,半导体,3.82,3.83,0.26,3.85,3.82,0.79,"社保重仓, 业绩预增, LED, "
7,000403.SZ,000403,振兴生化,生物制药,28.5,28.58,0.28,28.7,28.5,0.7,"血制品, 业绩预增, 股权争夺, ST摘帽, "
8,002938.SZ,002938,鹏鼎控股,元器件,29.25,29.34,0.31,30.39,29.25,3.9,"密集调研, PCB板, 苹果产业链, "
9,600517.SH,600517,置信电气,电气设备,9.11,9.14,0.33,10.56,9.11,15.92,"特高压, 券商, 国家队重仓, 央企改革, 信托, 碳交易, "
10,600640.SH,600640,号百控股,影视音像,17.73,17.79,0.34,18.36,17.73,3.55,"阿里巴巴概念股, 央企改革, 旅游, 彩票, 游戏, 手游, 广电, "
11,300718.SZ,300718,长盛轴承,机械基件,19.58,19.65,0.36,20.25,19.58,3.42,"特斯拉, "
12,002278.SZ,002278,神开股份,化工机械,8.31,8.34,0.36,8.42,8.31,1.32,"油服, 可燃冰, 业绩预增, 页岩气, 举牌股, 壳公司, "
13,002036.SZ,002036,联创电子,元器件,13.95,14.0,0.36,14.29,13.95,2.44,"OLED, 特斯拉, 华为产业链, 回购, 无人驾驶, 无线充电, 3D感应, 3D玻璃, VR&AR, 国产芯片, 虹膜识别, 创投, "
14,300158.SZ,300158,振东制药,中成药,5.35,5.37,0.37,5.51,5.35,2.99,"破净股, 保健品, 食品, 医药, 中药, 创新药, 化学药, "
15,300161.SZ,300161,华中数控,机床制造,15.24,15.3,0.39,15.56,15.24,2.1,"阿里巴巴概念股, 工业自动化, 智能制造, 高校系, 机器人, "
16,300241.SZ,300241,瑞丰光电,半导体,7.59,7.62,0.4,7.86,7.59,3.56,"汽车零部件, 举牌股, LED, 虹膜识别, "
17,300086.SZ,300086,康芝药业,化学制药,7.37,7.4,0.41,7.68,7.37,4.21,"二胎, 民营医院, 医药, 化学药, 海南自由贸易港, 基因测序, 自贸区, 自由贸易港, 海南, "
18,603488.SH,603488,展鹏科技,电气设备,9.62,9.66,0.42,9.8,9.62,1.87,
19,002396.SZ,002396,星网锐捷,通信设备,26.29,26.4,0.42,27.08,26.29,3.0,"5G, 阿里巴巴概念股, 空铁WiFi, 物联网, 网络安全, 数字中国, 移动支付, 云计算, "
20,300134.SZ,300134,大富科技,通信设备,15.75,15.82,0.44,16.2,15.75,2.86,"5G, OLED, 特斯拉, 华为产业链, 无人驾驶, 高质押率, 石墨烯, 股权转让, VR&AR, 国资入股, 虹膜识别, "
21,000983.SZ,000983,西山煤电,煤炭开采,6.84,6.87,0.44,7.1,6.84,3.8,"MSCI, 煤炭, 社保重仓, 天然气, 山西国企改革, "
22,601666.SH,601666,平煤股份,煤炭开采,4.48,4.5,0.45,4.52,4.48,0.89,"煤炭, 回购, 破净股, 债转股-AMC, "
23,002742.SZ,002742,三圣股份,其他建材,8.86,8.9,0.45,9.37,8.86,5.76,"高质押率, 医药, 化学药, "
24,603681.SH,603681,永冠新材,化工原料,30.29,30.43,0.46,33.05,30.29,9.11,"次新股, "
25,000592.SZ,000592,平潭发展,林业,4.25,4.27,0.47,4.45,4.25,4.71,"赛马, 民营医院, 福建自贸区, 光伏, 土地流转, 林业, 自贸区, 体育产业, "
26,603096.SH,603096,新经典,出版业,59.98,60.3,0.53,60.03,59.98,0.08,
27,603222.SH,603222,济民制药,化学制药,29.13,29.3,0.58,30.17,29.13,3.57,"民营医院, 海南自由贸易港, 医疗器械, 自贸区, 自由贸易港, "
28,600877.SH,600877,*ST嘉陵,摩托车,6.65,6.69,0.6,7.18,6.65,7.97,"混改, 军工混改, 央企改革, 军工研究所, 军工, 资产重组, ST股, "
29,000969.SZ,000969,安泰科技,钢加工,8.19,8.24,0.61,8.67,8.19,5.86,"碳纤维, 央企改革, 有色金属, 业绩预增, 有色-钼, 稀土磁材, 有色-钨, 小米概念股, 燃料电池, 3D打印, 智能制造, 无线充电, "
30,603118.SH,603118,共进股份,通信设备,11.3,11.37,0.62,11.58,11.3,2.48,"5G, 光通信, 业绩预增, 物联网, 基因测序, 医疗器械, "
31,603508.SH,603508,思维列控,软件服务,45.83,46.13,0.65,46.12,45.83,0.63,"回购, 无人机, 高铁轨交, 资产重组, "
32,603380.SH,603380,易德龙,元器件,17.93,18.05,0.67,17.97,17.93,0.22,"独角兽, "
