,ts_code,symbol,name,industry,COL_MA_A,COL_MA_B,COL_MA_GAP,COL_LASTPRICE,concept
0,600516.SH,600516,方大炭素,矿物制品,26.46,26.45,0.04,25.9,"碳纤维, MSCI, 石墨电极, 核电, 石墨烯, "
1,600452.SH,600452,涪陵电力,水力发电,26.46,26.45,0.04,24.8,"特高压, 电改, 央企改革, "
2,002738.SZ,002738,中矿资源,建筑施工,18.83,18.82,0.05,17.79,"可燃冰, 业绩预增, 锂电池, 新能源汽车, 资产重组, "
3,002110.SZ,002110,三钢闽光,普钢,18.8,18.79,0.05,17.89,"MSCI, 钢铁, 高送转, "
4,603727.SH,603727,博迈科,石油开采,15.88,15.87,0.06,15.05,"油服, 海工装备, 回购, 页岩气, 天然气, "
5,601233.SH,601233,桐昆股份,化纤,16.67,16.66,0.06,15.79,"MSCI, 涤纶, 高送转-预期, 供应链金融, 石油化工, "
6,300308.SZ,300308,中际旭创,通信设备,54.36,54.33,0.06,55.48,"5G, 光通信, "
7,300406.SZ,300406,九强生物,生物制药,17.33,17.32,0.06,17.27,"医疗器械, 体外诊断, "
8,002281.SZ,002281,光迅科技,通信设备,31.27,31.25,0.06,29.6,"5G, 光通信, MSCI, 央企改革, 华为产业链, 量子通信, 3D感应, "
9,300661.SZ,300661,圣邦股份,元器件,89.52,89.47,0.06,93.8,"社保重仓, 半导体, 国产芯片, 共享经济, "
10,603010.SH,603010,万盛股份,化工原料,17.01,17.0,0.06,17.02,"国产芯片, 资产重组, "
11,600233.SH,600233,圆通速递,仓储物流,13.92,13.91,0.07,13.25,"阿里巴巴概念股, 快递物流, "
12,300369.SZ,300369,绿盟科技,软件服务,13.74,13.73,0.07,14.23,"社保重仓, 网络安全, 云计算, 工业互联网, 国产软件, 国产操作系统, 独角兽, "
13,603096.SH,603096,新经典,出版业,60.03,59.98,0.08,60.3,
14,000532.SZ,000532,华金资本,元器件,12.46,12.45,0.08,11.8,"被动元件, 石墨烯, 独角兽, 创投, "
15,300447.SZ,300447,全信股份,电气设备,11.62,11.61,0.09,10.95,"大飞机, 回购, 军工, 军民融合, 定增破发, "
16,603100.SH,603100,川仪股份,电器仪表,11.16,11.15,0.09,10.6,"社保重仓, 核电, 重庆国企改革, 业绩预增, 物联网, 智能仪表, 工业互联网, "
17,000686.SZ,000686,东北证券,证券,10.58,10.57,0.09,10.74,"MSCI, 券商, "
18,002931.SZ,002931,锋龙股份,汽车配件,32.82,32.79,0.09,32.14,"高送转-预期, 汽车零部件, "
