,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept
0,000533.SZ,000533,顺钠股份,电气设备,1.0,3.32,
1,600127.SH,600127,金健米业,农业综合,1.0,3.61,"乡村振兴, 食品, 湖南国企改革, 乳业（奶粉）, "
2,002692.SZ,002692,远程股份,电气设备,1.0,4.07,"特高压, 军工, 军民融合, "
3,002164.SZ,002164,宁波东力,电气设备,2.0,4.1,"风电, 定增破发, "
4,600086.SH,600086,东方金钰,服饰,1.0,4.41,"高质押率, 智能制造, 股权转让, 资产重组, 机器人, 黄金, 强势人气股, "
5,600322.SH,600322,天房发展,区域地产,1.0,4.55,"雄安-地产, 破净股, 房地产, 雄安新区, 京津冀, 自贸区, 天津国企改革, 天津自贸区, "
6,002437.SZ,002437,誉衡药业,化学制药,1.0,4.58,"PD-1抑制剂, 民营医院, 高质押率, 医药, 万达系, 化学药, 基因测序, 移动支付, 京东金融概念股, 独角兽, 科创板概念股, "
7,600336.SH,600336,澳柯玛,家用电器,1.0,4.79,"业绩预增, 无人驾驶, 山东国企改革, 白色家电, 家电, 冷链, 无人商店, "
8,600469.SH,600469,风神股份,汽车配件,1.0,4.81,"央企改革, 回购, 重卡, 轮胎, "
9,600368.SH,600368,五洲交通,路桥,3.0,4.92,"高速公路, 一带一路, 东盟博览会, 广西, "
10,002512.SZ,002512,达华智能,元器件,1.0,5.21,"互联网金融, 移动支付, 无人商店, 智慧城市, 股权转让, 国资入股, 资产重组, "
11,600020.SH,600020,中原高速,路桥,1.0,5.37,"高速公路, 信托, 河南自贸区, 自贸区, 科创板概念股, 创投, "
12,000850.SZ,000850,华茂股份,纺织,1.0,5.39,"棉花, 纺织服装, "
13,000720.SZ,000720,新能泰山,火力发电,1.0,5.67,"火电, 电改, 央企改革, 回购, 供应链金融, ST股, "
14,000523.SZ,000523,广州浪奇,日用化工,1.0,6.01,"社保重仓, 粤港澳大湾区, 食品, 白糖, "
15,300317.SZ,300317,珈伟新能,半导体,1.0,6.36,"光伏, 高质押率, 锂电池, 新能源汽车, 石墨烯, 共享经济, LED, "
16,600758.SH,600758,红阳能源,煤炭开采,1.0,7.1,"煤炭, 电改, 风电, 股权转让, "
17,600287.SH,600287,江苏舜天,商贸代理,2.0,7.58,"参股券商, 期货概念, "
18,600626.SH,600626,申达股份,纺织,1.0,7.6,"汽车零部件, 上海国企改革, 进口博览会, "
19,600860.SH,600860,京城股份,专用机械,1.0,7.68,"天然气, 燃料电池, "
20,002135.SZ,002135,东南网架,建筑施工,1.0,7.72,"业绩预增, 大基建, 装配式建筑, 雄安-建材, PPP, 雄安新区, "
21,000600.SZ,000600,建投能源,火力发电,1.0,7.77,"火电, 电改, 核电, 业绩预增, 雄安-公共服务, 雄安新区, 京津冀, "
22,002197.SZ,002197,证通电子,电器仪表,1.0,8.88,"回购, 网络安全, 互联网金融, 新能源汽车, 移动支付, 云计算, 智慧城市, 国资入股, LED, 充电桩, 无人银行, "
23,000650.SZ,000650,仁和药业,中成药,1.0,8.98,"医药, 中药, 互联网金融, 互联网医疗, 眼科, "
24,600618.SH,600618,氯碱化工,化工原料,1.0,9.26,"烧碱, 上海国企改革, "
25,002417.SZ,002417,深南股份,多元金融,1.0,9.66,"供应链金融, 互联网金融, 大数据, 云计算, "
26,600070.SH,600070,浙江富润,纺织,1.0,9.86,"华为产业链, 回购, 大数据, 印染, 独角兽, "
27,002708.SZ,002708,光洋股份,汽车配件,2.0,9.92,"汽车零部件, 股权转让, 壳公司, 创投, "
28,002763.SZ,002763,汇洁股份,服饰,1.0,10.18,"纺织服装, 化妆品, "
29,603028.SH,603028,赛福天,钢加工,1.0,10.18,"壳公司, "
30,300421.SZ,300421,力星股份,机械基件,1.0,10.21,"回购, 高送转, "
31,300772.SZ,300772,N运达,电气设备,2.0,11.36,
32,603988.SH,603988,中电电机,电气设备,1.0,11.43,"特高压, 股权转让, 手游, "
33,002057.SZ,002057,中钢天源,元器件,1.0,12.1,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, "
34,300123.SZ,300123,亚光科技,船舶,1.0,13.13,"5G, 回购, 业绩预增, 军工, 军民融合, 半导体, 股权转让, 国产芯片, 智慧安防, "
35,603966.SH,603966,法兰泰克,机械基件,1.0,13.67,"机械, "
36,300405.SZ,300405,科隆股份,化工原料,4.0,14.18,"石油化工, "
37,603609.SH,603609,禾丰牧业,饲料,1.0,14.19,"饲料, 养猪, "
38,603398.SH,603398,邦宝益智,文教休闲,1.0,15.02,"二胎, 人民币贬值受益, 资产重组, 动漫, "
39,600677.SH,600677,航天通信,通信设备,1.0,15.44,"央企改革, 军工研究所, 业绩预增, 军工, 军民融合, 无人机, "
40,600587.SH,600587,新华医疗,医疗保健,1.0,15.58,"民营医院, 山东国企改革, 医疗器械, "
41,002567.SZ,002567,唐人神,饲料,1.0,16.65,"回购, 饲料, 养猪, 股权转让, 国资入股, "
42,002674.SZ,002674,兴业科技,纺织,1.0,16.85,"业绩预增, 纺织服装, 恒大概念股, 壳公司, "
43,002893.SZ,002893,华通热力,供气供热,1.0,17.29,"高送转-预期, "
44,000876.SZ,000876,新希望,饲料,1.0,17.31,"MSCI, 东盟博览会, 金改, 饲料, 养猪, 独角兽, 蚂蚁金服概念股, "
45,002793.SZ,002793,东音股份,专用机械,4.0,18.02,
46,300561.SZ,300561,汇金科技,软件服务,1.0,18.38,"物联网, 互联网金融, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, "
47,300435.SZ,300435,中泰股份,机械基件,1.0,18.96,"天然气, 煤化工, 燃料电池, 资产重组, "
48,002840.SZ,002840,华统股份,食品,1.0,19.03,"养猪, "
49,002592.SZ,002592,八菱科技,汽车配件,1.0,19.12,"回购, 汽车零部件, 燃料电池, 广西, 股权转让, "
50,300119.SZ,300119,瑞普生物,生物制药,2.0,19.97,"动物保健, "
51,300176.SZ,300176,派生科技,汽车配件,1.0,20.09,"特斯拉, 供应链金融, 汽车零部件, 宁德时代概念股, 互联网金融, 举牌股, 高送转, 股权转让, "
52,603637.SH,603637,镇海股份,建筑施工,1.0,20.59,"大气治理, 环保, 举牌股, 股权争夺, "
53,300417.SZ,300417,南华仪器,电器仪表,1.0,20.88,"智能仪表, "
54,002157.SZ,002157,正邦科技,饲料,1.0,22.33,"阿里巴巴概念股, 饲料, 养猪, 土地流转, "
55,603967.SH,603967,中创物流,仓储物流,1.0,24.27,
56,600053.SH,600053,九鼎投资,多元金融,1.0,25.25,"高质押率, 房地产, 互联网金融, 移动支付, 跨境电商, 创投, "
57,000004.SZ,000004,国农科技,生物制药,1.0,25.28,"网络安全, 资产重组, 游戏, 壳公司, "
58,600452.SH,600452,涪陵电力,水力发电,1.0,26.81,"特高压, 电改, 央企改革, "
59,300508.SZ,300508,维宏股份,软件服务,1.0,34.56,"工业自动化, 智能制造, 工业互联网, "
60,300773.SZ,300773,拉卡拉,软件服务,3.0,63.78,
