,ts_code,symbol,name,industry,COL_LASTPRICE,concept
0,600074.SH,600074,*ST保千,电脑设备,1.04,"新能源整车, 无人驾驶, 智能制造, 新能源汽车, 低价股, 人工智能, 机器视觉, 智慧安防, ST股, "
1,000939.SZ,000939,*ST凯迪,新型电力,1.05,"破净股, 雄安-园林环保, 雄安新区, 低价股, ST股, "
2,002018.SZ,002018,*ST华信,农药化肥,1.21,"油气改革, 低价股, ST股, "
3,601558.SH,601558,ST锐电,电气设备,1.37,"回购, 业绩预增, 风电, 低价股, ST股, "
4,600747.SH,600747,ST大控,多元金融,1.43,"低价股, 资产重组, ST股, "
5,601258.SH,601258,庞大集团,汽车服务,1.49,"北汽新能源, 教育, 汽车销售, 破净股, 雄安新区, 京津冀, 低价股, 雄安-周边, 股权转让, 共享经济, "
6,002680.SZ,002680,*ST长生,生物制药,1.51,"医药, 疫苗, 流感, "
7,300104.SZ,300104,乐视网,互联网,1.69,"低价股, 区块链, VR&AR, 腾讯概念股, 影视, "
8,600010.SH,600010,包钢股份,普钢,1.7,"MSCI, 钢铁, 内蒙古, 航母, 债转股-AMC, 稀土磁材, 低价股, "
9,600022.SH,600022,山东钢铁,普钢,1.78,"钢铁, 山东国企改革, 低价股, 举牌股, "
10,002263.SZ,002263,*ST东南,塑料,1.79,"光伏, 煤化工, 锂电池, 新能源汽车, 低价股, 资产重组, ST股, 游戏, 手游, "
11,603077.SH,603077,和邦生物,化工原料,1.9,"碳纤维, 草甘膦, MSCI, 纯碱, 回购, 低价股, "
12,002604.SZ,002604,*ST龙力,食品,1.96,"食品, 白糖, 低价股, 石墨烯, ST股, 壳公司, 燃料乙醇, "
13,600396.SH,600396,金山股份,火力发电,1.99,"火电, 电改, 央企改革, 低价股, "
14,600186.SH,600186,莲花健康,食品,2.02,"调味品, 食品, 低价股, 壳公司, "
15,300116.SZ,300116,坚瑞沃能,电气设备,2.04,"锂电池, 新能源汽车, 低价股, "
16,601005.SH,601005,重庆钢铁,普钢,2.05,"钢铁, 新进指数成份股, 重庆国企改革, 业绩预增, 低价股, "
17,002610.SZ,002610,爱康科技,电气设备,2.06,"业绩预增, 光伏, 互联网金融, 新能源汽车, 低价股, 区块链, 复牌股, 充电桩, "
18,000982.SZ,000982,*ST中绒,纺织,2.07,"纺织服装, 低价股, ST股, 宁夏, "
19,600157.SH,600157,永泰能源,煤炭开采,2.07,"火电, 煤炭, 二胎, 民营医院, 页岩气, 高质押率, 海南自由贸易港, 低价股, 自贸区, 自由贸易港, "
20,300185.SZ,300185,通裕重工,工程机械,2.1,"通用航空, 风电, 军工, 军民融合, 无人机, 低价股, "
21,600595.SH,600595,中孚实业,铝,2.11,"有色-铝, 有色金属, 定增破发, 高质押率, 低价股, 云计算, "
22,600255.SH,600255,梦舟股份,铜,2.11,"有色金属, 低价股, 有色-铜, 影视, "
23,600726.SH,600726,华电能源,火力发电,2.12,"火电, 电改, 央企改革, 低价股, "
24,600462.SH,600462,ST九有,元器件,2.12,"低价股, 国资入股, 独角兽, ST股, 壳公司, "
25,300090.SZ,300090,盛运环保,环境保护,2.14,"固废处理, 环保, 低价股, 股权转让, "
26,002131.SZ,002131,利欧股份,互联网,2.15,"农机, 大数据, 低价股, 区块链, 资产重组, 独角兽, "
27,600307.SH,600307,酒钢宏兴,普钢,2.17,"钢铁, 业绩预增, 铁矿石, 低价股, "
28,600654.SH,600654,ST中安,软件服务,2.18,"低价股, 智慧城市, 国产软件, 智慧安防, ST股, "
29,600221.SH,600221,海航控股,空运,2.19,"破净股, 海南自由贸易港, 低价股, 自贸区, 自由贸易港, 资产重组, 海南, 民航, "
30,002505.SZ,002505,大康农业,农业综合,2.21,"阿里巴巴概念股, 养猪, 业绩预增, 食品, 乳业（奶粉）, 高质押率, 低价股, "
31,000572.SZ,000572,*ST海马,汽车整车,2.21,"新能源整车, 汽车整车, 破净股, 无人驾驶, 海南自由贸易港, 新能源汽车, 低价股, 自贸区, 自由贸易港, 共享经济, 海南, "
32,601880.SH,601880,大连港,港口,2.22,"MSCI, 振兴东北, 一带一路, 港口, 中韩自贸区, 低价股, 自贸区, "
33,000816.SZ,000816,*ST慧业,农用机械,2.24,"乡村振兴, 农机, 智能制造, 低价股, 机器人, ST股, 壳公司, "
34,002005.SZ,002005,德豪润达,家用电器,2.27,"破净股, 定增破发, 小家电, 家电, 低价股, LED, "
35,000018.SZ,000018,神州长城,装修装饰,2.29,"民营医院, 宝能系, 兜底式增持, 装配式建筑, PPP, 雄安新区, 雄安-工程基建, 低价股, "
36,600321.SH,600321,ST正源,其他建材,2.29,"工业自动化, 智能制造, 低价股, ST股, "
37,002259.SZ,002259,ST升达,供气供热,2.33,"天然气, 低价股, 股权转让, 股权争夺, ST股, 壳公司, "
38,002239.SZ,002239,奥特佳,汽车配件,2.33,"特斯拉, 蔚来汽车概念股, 汽车零部件, 锂电池, 新能源汽车, 低价股, "
39,002031.SZ,002031,巨轮智能,汽车配件,2.33,"工业自动化, 轮胎, 智能制造, 低价股, 人工智能, 机器人, "
