,ts_code,symbol,name,industry,COL_MA_10,COL_MA_20,COL_LASTPRICE,concept
0,600747.SH,600747,ST大控,多元金融,1.65,1.64,1.43,"低价股, 资产重组, ST股, "
1,300116.SZ,300116,坚瑞沃能,电气设备,2.07,2.02,2.04,"锂电池, 新能源汽车, 低价股, "
2,600157.SH,600157,永泰能源,煤炭开采,2.3,2.29,2.07,"火电, 煤炭, 二胎, 民营医院, 页岩气, 高质押率, 海南自由贸易港, 低价股, 自贸区, 自由贸易港, "
3,000982.SZ,000982,*ST中绒,纺织,2.22,1.99,2.07,"纺织服装, 低价股, ST股, 宁夏, "
4,600462.SH,600462,ST九有,元器件,2.47,2.46,2.12,"低价股, 国资入股, 独角兽, ST股, 壳公司, "
5,600654.SH,600654,ST中安,软件服务,2.49,2.47,2.18,"低价股, 智慧城市, 国产软件, 智慧安防, ST股, "
6,002505.SZ,002505,大康农业,农业综合,2.36,2.3,2.21,"阿里巴巴概念股, 养猪, 业绩预增, 食品, 乳业（奶粉）, 高质押率, 低价股, "
7,002259.SZ,002259,ST升达,供气供热,2.74,2.7,2.33,"天然气, 低价股, 股权转让, 股权争夺, ST股, 壳公司, "
8,002102.SZ,002102,ST冠福腾达,化学制药,2.31,2.23,2.35,"破净股, 医药, 化学药, 维生素, 低价股, 股权转让, ST股, "
9,002445.SZ,002445,ST中南,影视音像,2.67,2.64,2.35,"破净股, 直播/短视频, 低价股, 资产重组, 独角兽, ST股, 游戏, 手游, 影视, "
10,600777.SH,600777,新潮能源,综合类,2.81,2.75,2.43,"MSCI, 油服, 油气改革, 可燃冰, 赛马, 业绩预增, 天然气, 低价股, "
11,002477.SZ,002477,*ST雏鹰,农业综合,2.75,2.68,2.46,"养猪, 低价股, 电竞, 国资入股, "
12,600701.SH,600701,*ST工新,综合类,2.77,2.76,2.55,"破净股, 工业自动化, 网络安全, 智能制造, 低价股, 国产软件, 高校系, ST股, 人脸识别, "
13,600568.SH,600568,中珠医疗,区域地产,3.21,3.12,2.68,"破净股, 无人机, 房地产, 北斗导航, 基因测序, 医疗器械, 低价股, "
14,600166.SH,600166,福田汽车,汽车整车,2.91,2.72,2.69,"新能源整车, 汽车整车, 回购, 破净股, 重卡, 百度概念股, 无人驾驶, 燃料电池, 新能源汽车, 低价股, "
15,002638.SZ,002638,勤上股份,半导体,3.26,3.24,2.83,"教育, 破净股, LED, "
16,000667.SZ,000667,美好置业,全国地产,2.87,2.84,2.83,"回购, 装配式建筑, 房地产, 低价股, 农业种植, "
17,000536.SZ,000536,华映科技,元器件,3.4,3.38,2.87,"OLED, 破净股, 债转股-AMC, 3D玻璃, 强势人气股, "
18,600691.SH,600691,阳煤化工,农药化肥,3.24,3.22,2.9,"甲醇, 煤化工, 化肥, 山西国企改革, "
19,000760.SZ,000760,斯太尔,汽车配件,3.58,3.49,2.99,"军工, 军民融合, 汽车零部件, 工业自动化, 智能制造, 强势人气股, "
20,000683.SZ,000683,远兴能源,化工原料,3.24,3.18,3.03,"内蒙古, 石墨电极, 甲醇, 纯碱, 回购, 业绩预增, 化肥, "
21,000903.SZ,000903,云内动力,机械基件,3.24,3.22,3.05,"回购, 汽车零部件, 移动支付, 创投, "
22,002132.SZ,002132,恒星科技,钢加工,3.15,3.14,3.09,"特高压, 有机硅, 回购, 光伏, "
23,002260.SZ,002260,*ST德奥,航空,3.54,3.41,3.15,"通用航空, 农机, 小家电, 家电, ST股, 壳公司, "
24,600863.SH,600863,内蒙华电,火力发电,3.22,3.08,3.18,"火电, MSCI, 内蒙古, 电改, 央企改革, 业绩预增, 风电, 低价股, "
25,002498.SZ,002498,汉缆股份,电气设备,3.44,3.3,3.2,"特高压, "
26,300217.SZ,300217,东方电热,电器仪表,3.45,3.35,3.2,"5G, 油服, 业绩预增, 光伏, 3D玻璃, "
27,601218.SH,601218,吉鑫科技,机械基件,3.47,3.41,3.24,"回购, 风电, 年报季报, "
28,002122.SZ,002122,*ST天马,机械基件,3.36,3.26,3.27,"破净股, 智慧停车, 大数据, ST股, 创投, "
29,000875.SZ,000875,吉电股份,火力发电,3.49,3.42,3.3,"火电, 电改, 央企改革, 破净股, 风电, 光伏, "
30,600725.SH,600725,ST云维,焦炭加工,3.41,3.27,3.34,"甲醇, ST股, "
31,600512.SH,600512,腾达建设,建筑施工,3.02,2.95,3.37,"大基建, 低价股, 举牌股, "
32,600666.SH,600666,奥瑞德,元器件,4.46,4.38,3.38,"OLED, 3D玻璃, "
33,002147.SZ,002147,ST新光,区域地产,3.48,3.39,3.38,"破净股, 债转股-AMC, 高质押率, 房地产, 共享经济, 资产重组, ST股, "
34,002516.SZ,002516,旷达科技,纺织,3.61,3.59,3.39,"回购, 兜底式增持, 光伏, 万达系, "
35,002471.SZ,002471,中超控股,电气设备,3.75,3.74,3.4,"新能源汽车, 石墨烯, 充电桩, 科创板概念股, "
36,601918.SH,601918,新集能源,煤炭开采,3.59,3.58,3.44,"火电, 煤炭, 央企改革, 业绩预增, 煤化工, "
37,000509.SZ,000509,华塑控股,其他建材,3.7,3.52,3.45,"民营医院, 资产重组, 壳公司, "
38,300048.SZ,300048,合康新能,电气设备,3.71,3.46,3.46,"新能源整车, 新能源汽车, 共享经济, 充电桩, "
39,002554.SZ,002554,惠博普,石油开采,3.73,3.7,3.47,"油服, 油气改革, 可燃冰, 页岩气, 天然气, "
40,000506.SZ,000506,中润资源,区域地产,4.11,4.01,3.52,"房地产, 资产重组, 手游, 黄金, "
41,600577.SH,600577,精达股份,电气设备,3.74,3.73,3.53,"小米概念股, 互联网金融, 股权转让, "
42,600289.SH,600289,*ST信通,软件服务,3.35,3.24,3.55,"5G, 网络安全, 大数据, 智慧城市, ST股, "
43,600121.SH,600121,郑州煤电,煤炭开采,3.88,3.87,3.57,"火电, 煤炭, ST摘帽, "
44,600275.SH,600275,ST昌鱼,农业综合,3.95,3.74,3.57,"股权争夺, ST股, 壳公司, "
45,000753.SZ,000753,漳州发展,汽车服务,3.9,3.81,3.6,"福建自贸区, 汽车销售, 装配式建筑, PPP, 环保, 自贸区, 污水处理, "
46,002630.SZ,002630,华西能源,专用机械,4.0,3.91,3.61,"石墨烯, 资产重组, "
47,600966.SH,600966,博汇纸业,造纸,3.91,3.86,3.68,"破净股, 造纸, "
48,600537.SH,600537,亿晶光电,半导体,4.15,4.14,3.74,"光伏, "
49,300032.SZ,300032,金龙机电,元器件,3.96,3.83,3.76,"小米概念股, 智能制造, 共享经济, 机器人, "
50,600175.SH,600175,美都能源,综合类,3.87,3.32,3.77,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
51,300152.SZ,300152,科融环境,环境保护,4.0,3.53,3.77,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
52,002593.SZ,002593,日上集团,汽车配件,4.29,4.25,3.81,"回购, 汽车零部件, 物联网, 装配式建筑, "
53,600370.SH,600370,三房巷,纺织,3.93,3.85,3.85,"高质押率, 印染, "
54,300303.SZ,300303,聚飞光电,半导体,3.86,3.82,3.86,"社保重仓, 业绩预增, LED, "
55,601988.SH,601988,中国银行,银行,3.94,3.91,3.89,"银行, 安邦系, MSCI, 中字头, 人民币升值受益, 破净股, "
