,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_LASTPRICE,concept
0,002505.SZ,002505,大康农业,农业综合,2.37,2.36,2.3,2.21,"阿里巴巴概念股, 养猪, 业绩预增, 食品, 乳业（奶粉）, 高质押率, 低价股, "
1,600691.SH,600691,阳煤化工,农药化肥,3.28,3.24,3.22,2.9,"甲醇, 煤化工, 化肥, 山西国企改革, "
2,600863.SH,600863,内蒙华电,火力发电,3.23,3.22,3.08,3.18,"火电, MSCI, 内蒙古, 电改, 央企改革, 业绩预增, 风电, 低价股, "
3,002122.SZ,002122,*ST天马,机械基件,3.37,3.36,3.26,3.27,"破净股, 智慧停车, 大数据, ST股, 创投, "
4,600966.SH,600966,博汇纸业,造纸,3.96,3.91,3.86,3.68,"破净股, 造纸, "
5,600175.SH,600175,美都能源,综合类,4.29,3.87,3.32,3.77,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
6,300152.SZ,300152,科融环境,环境保护,4.29,4.0,3.53,3.77,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
7,000868.SZ,000868,*ST安凯,汽车整车,3.95,3.9,3.82,3.91,"新能源整车, 汽车整车, 安徽国企改革, 无人驾驶, 定增破发, PPP, 新能源汽车, "
8,600393.SH,600393,粤泰股份,全国地产,4.04,3.91,3.52,3.94,"粤港澳大湾区, 高质押率, 房地产, 低价股, "
9,001896.SZ,001896,豫能控股,火力发电,4.68,4.51,4.3,4.07,"火电, 电改, 破净股, 风电, 定增破发, "
10,600261.SH,600261,阳光照明,家用电器,4.44,4.27,4.14,4.38,"LED, "
11,600248.SH,600248,延长化建,建筑施工,5.38,5.33,5.17,4.68,"中科院系, 大基建, 资产重组, "
12,002611.SZ,002611,东方精工,轻工机械,5.64,5.36,5.03,4.82,"北汽新能源, 社保重仓, 宁德时代概念股, 定增破发, 锂电池, 燃料电池, 新能源汽车, 包装印刷, "
13,600470.SH,600470,六国化工,农药化肥,5.61,5.44,5.35,4.99,"安徽国企改革, 煤化工, 化肥, 磷化工, "
14,600110.SH,600110,诺德股份,电气设备,5.52,5.47,5.29,5.11,"中科院系, 宁德时代概念股, "
15,002666.SZ,002666,德联集团,化工原料,5.73,5.64,5.41,5.17,"蔚来汽车概念股, "
16,300145.SZ,300145,中金环境,专用机械,6.14,5.82,5.06,5.41,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
17,600538.SH,600538,国发股份,医药商业,5.6,5.5,5.48,5.53,"农药, 民营医院, 医药, 中药, 医疗器械, 广西, "
18,000755.SZ,000755,山西路桥,公路,5.72,5.56,5.35,5.54,"高速公路, 山西国企改革, ST摘帽, "
19,300022.SZ,300022,吉峰科技,农用机械,6.18,5.81,5.28,5.57,"乡村振兴, 农机, "
20,002261.SZ,002261,拓维信息,互联网,6.28,6.25,6.19,5.59,"教育, 华为产业链, 回购, 大数据, 云计算, 人工智能, 彩票, 独角兽, 游戏, 手游, "
21,600794.SH,600794,保税科技,仓储物流,5.75,5.68,5.07,5.62,"军工, 军民融合, 快递物流, "
22,002688.SZ,002688,金河生物,化学制药,6.22,6.05,5.96,5.66,"内蒙古, 业绩预增, 动物保健, "
23,000637.SZ,000637,茂化实华,石油加工,6.22,6.15,5.76,5.69,"油气改革, 石油化工, 燃料电池, "
24,002089.SZ,002089,新海宜,通信设备,6.21,6.08,5.7,5.85,"5G, 光通信, 锂电池, 量子通信, 新能源汽车, LED, 创投, "
25,002564.SZ,002564,天沃科技,化工机械,6.46,6.36,6.29,5.85,"回购, 风电, 军工, 军民融合, 煤化工, 股权转让, 国资入股, "
26,002600.SZ,002600,领益智造,元器件,6.51,6.31,6.01,5.87,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
27,600478.SH,600478,科力远,元器件,7.02,6.88,6.48,6.21,"回购, 稀土磁材, 工业自动化, 燃料电池, 智能制造, 资产重组, "
28,002360.SZ,002360,同德化工,化工原料,6.81,6.7,6.53,6.37,"回购, 民爆, "
29,002515.SZ,002515,金字火腿,食品,6.79,6.58,6.38,6.46,"回购, 业绩预增, 食品, 高质押率, 医药, 创新药, 互联网金融, 股权转让, 国资入股, 资产重组, "
30,000890.SZ,000890,法尔胜,钢加工,7.51,7.42,7.23,6.56,"5G, 供应链金融, 京东金融概念股, 独角兽, "
31,600696.SH,600696,ST岩石,区域地产,6.68,6.64,6.57,6.6,"ST股, 壳公司, "
32,600732.SH,600732,ST新梅,区域地产,7.32,7.31,6.95,6.99,"上海国企改革, 资产重组, ST股, 壳公司, "
33,300341.SZ,300341,麦克奥迪,电气设备,7.42,7.31,7.01,7.05,
34,600731.SH,600731,湖南海利,农药化肥,7.27,7.18,6.81,7.05,"农药, 湖南国企改革, "
35,300319.SZ,300319,麦捷科技,元器件,7.68,7.64,7.54,7.11,"5G, 华为产业链, 物联网, 无线充电, 股权转让, VR&AR, 国资入股, "
36,000995.SZ,000995,*ST皇台,白酒,7.85,7.61,6.42,7.47,"教育, 白酒, 资产重组, ST股, 壳公司, "
37,002678.SZ,002678,珠江钢琴,文教休闲,7.86,7.69,7.61,7.73,"二胎, 教育, "
38,002330.SZ,002330,得利斯,食品,8.1,7.47,6.85,7.91,"养猪, 食品, "
39,300021.SZ,300021,大禹节水,农业综合,8.41,8.28,7.85,8.08,"乡村振兴, 农机, 水利, 海绵城市, 土地流转, PPP, "
40,000702.SZ,000702,正虹科技,饲料,8.69,7.99,7.49,8.1,"饲料, 业绩预增, 湖南国企改革, 农垦, "
41,000566.SZ,000566,海南海药,化学制药,8.4,8.07,7.97,8.12,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, "
42,603168.SH,603168,莎普爱思,化学制药,10.1,9.95,9.38,8.47,"医药, 化学药, 眼科, 股权转让, "
