,ts_code,symbol,name,industry,COL_LASTPRICE,concept
0,000536.SZ,000536,华映科技,元器件,2.87,"OLED, 破净股, 债转股-AMC, 3D玻璃, 强势人气股, "
1,002426.SZ,002426,胜利精密,元器件,3.03,"OLED, 工业自动化, 锂电池, 智能制造, 新能源汽车, 3D玻璃, 股权转让, 苹果产业链, 机器视觉, 国资入股, "
2,600666.SH,600666,奥瑞德,元器件,3.38,"OLED, 3D玻璃, "
3,300256.SZ,300256,星星科技,元器件,3.49,"OLED, 华为产业链, 指纹识别, 3D玻璃, 股权转让, "
4,000100.SZ,000100,TCL集团,家用电器,3.59,"高股息, OLED, MSCI, 回购, 宁德时代概念股, 工业自动化, 家电, 小米概念股, 智能制造, 腾讯概念股, 黑色家电, 资产重组, 独角兽, 科创板概念股, "
5,000725.SZ,000725,京东方A,元器件,3.6,"白马股, OLED, MSCI, 国家队重仓, 民营医院, 华为产业链, 新零售, 汽车零部件, 物联网, 智能制造, 医疗器械, 互联网医疗, 指纹识别, 半导体, VR&AR, 苹果产业链, "
6,300128.SZ,300128,锦富技术,元器件,4.45,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, "
7,000973.SZ,000973,佛塑科技,塑料,4.69,"OLED, 煤化工, 锂电池, 新能源汽车, 快递物流, 石墨烯, "
8,601208.SH,601208,东材科技,化工原料,4.88,"OLED, 回购, 石油化工, 光伏, "
9,600552.SH,600552,凯盛科技,玻璃,4.98,"有色-锆, OLED, 央企改革, 有色金属, 小米概念股, 玻璃, 3D玻璃, 强势人气股, "
10,002450.SZ,002450,ST康得新,化工原料,5.0,"碳纤维, OLED, 蔚来汽车概念股, 石墨烯, VR&AR, 国资入股, 资产重组, ST股, "
11,600707.SH,600707,彩虹股份,元器件,5.33,"OLED, 军工研究所, 军工, 玻璃, "
12,300263.SZ,300263,隆华科技,专用机械,5.65,"OLED, 业绩预增, 军工, 军民融合, 雄安-公共服务, 环保, 雄安新区, 污水处理, 半导体, 股权转让, 地热, "
13,002585.SZ,002585,双星新材,塑料,5.7,"OLED, 业绩预增, 定增破发, 包装印刷, "
14,300088.SZ,300088,长信科技,元器件,5.7,"OLED, 特斯拉, 华为产业链, 蔚来汽车概念股, 无人驾驶, 小米概念股, 石墨烯, 股权转让, 苹果产业链, 独角兽, "
15,002600.SZ,002600,领益智造,元器件,5.87,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
16,002217.SZ,002217,合力泰,元器件,5.99,"5G, OLED, MSCI, PCB板, 华为产业链, 小米概念股, 无线充电, 指纹识别, 3D玻璃, 股权转让, 国资入股, "
17,300131.SZ,300131,英唐智控,元器件,6.03,"OLED, 物联网, 股权转让, 国资入股, "
18,000413.SZ,000413,东旭光电,元器件,6.17,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, "
19,600510.SH,600510,黑牡丹,全国地产,6.59,"OLED, 国家队重仓, 回购, 破净股, 房地产, 创投, "
20,601958.SH,601958,金钼股份,小金属,6.65,"OLED, MSCI, 新进指数成份股, 有色金属, 业绩预增, 有色-钼, "
21,000045.SZ,000045,深纺织A,纺织,7.36,"OLED, 宝能系, 深圳本地股/深汕合作, "
