,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE,concept
0,300772.SZ,300772,N运达,电气设备,15.97,2.0,0.0,11.36,
1,300773.SZ,300773,拉卡拉,软件服务,15.06,3.0,0.0,63.78,
2,300771.SZ,300771,智莱科技,电脑设备,13.18,6.0,1.0,64.6,
3,300405.SZ,300405,科隆股份,化工原料,11.25,4.0,0.0,14.18,"石油化工, "
4,300573.SZ,300573,兴齐眼药,化学制药,10.64,9.0,1.0,60.0,"医药, 化学药, 眼科, "
5,002793.SZ,002793,东音股份,专用机械,10.61,4.0,0.0,18.02,
6,603317.SH,603317,天味食品,食品,10.14,9.0,1.0,36.81,
7,603967.SH,603967,中创物流,仓储物流,10.02,1.0,0.0,24.27,
8,002018.SZ,002018,*ST华信,农药化肥,10.0,1.0,0.0,1.21,"油气改革, 低价股, ST股, "
9,002869.SZ,002869,金溢科技,通信设备,9.78,2.0,1.0,27.5,"粤港澳大湾区, 物联网, 智慧停车, 人工智能, 区块链, 智慧城市, 国产软件, 电子车牌, "
10,000815.SZ,000815,美利云,造纸,9.73,5.0,0.0,13.0,"大数据, 云计算, 造纸, 宁夏, "
11,300216.SZ,300216,千山药机,医疗保健,9.01,1.0,0.0,3.81,"智能制造, 基因测序, 医疗器械, 机器视觉, "
12,002164.SZ,002164,宁波东力,电气设备,8.74,2.0,0.0,4.1,"风电, 定增破发, "
13,000038.SZ,000038,深大通,广告包装,8.37,1.0,0.0,13.76,"高质押率, 国资入股, "
14,600368.SH,600368,五洲交通,路桥,8.33,3.0,0.0,4.92,"高速公路, 一带一路, 东盟博览会, 广西, "
15,600512.SH,600512,腾达建设,建筑施工,8.06,2.0,0.0,3.37,"大基建, 低价股, 举牌股, "
16,600587.SH,600587,新华医疗,医疗保健,7.64,1.0,0.0,15.58,"民营医院, 山东国企改革, 医疗器械, "
17,600751.SH,600751,海航科技,水运,7.55,4.0,1.0,3.85,"破净股, 京津冀, 自贸区, 天津自贸区, 资产重组, 独角兽, "
18,600287.SH,600287,江苏舜天,商贸代理,7.54,2.0,0.0,7.58,"参股券商, 期货概念, "
19,300051.SZ,300051,三五互联,互联网,7.42,4.0,1.0,7.19,"数字中国, 云计算, 区块链, 国产软件, 腾讯概念股, 游戏, 手游, 动漫, "
20,002551.SZ,002551,尚荣医疗,医疗保健,6.78,1.0,0.0,6.07,"国家队重仓, 民营医院, 定增破发, 医疗器械, 独角兽, "
21,002708.SZ,002708,光洋股份,汽车配件,6.72,2.0,0.0,9.92,"汽车零部件, 股权转让, 壳公司, 创投, "
22,002825.SZ,002825,纳尔股份,化工原料,6.69,1.0,0.0,18.59,"业绩预增, 煤化工, "
23,300475.SZ,300475,聚隆科技,专用机械,6.4,2.0,1.0,10.18,"智能制造, 机器人, "
24,300119.SZ,300119,瑞普生物,生物制药,6.36,2.0,0.0,19.97,"动物保健, "
