,ts_code,symbol,name,industry,COL_LASTPRICE,concept
0,601558.SH,601558,ST锐电,电气设备,1.37,"回购, 业绩预增, 风电, 低价股, ST股, "
1,601005.SH,601005,重庆钢铁,普钢,2.05,"钢铁, 新进指数成份股, 重庆国企改革, 业绩预增, 低价股, "
2,002610.SZ,002610,爱康科技,电气设备,2.06,"业绩预增, 光伏, 互联网金融, 新能源汽车, 低价股, 区块链, 复牌股, 充电桩, "
3,600307.SH,600307,酒钢宏兴,普钢,2.17,"钢铁, 业绩预增, 铁矿石, 低价股, "
4,002505.SZ,002505,大康农业,农业综合,2.21,"阿里巴巴概念股, 养猪, 业绩预增, 食品, 乳业（奶粉）, 高质押率, 低价股, "
5,600777.SH,600777,新潮能源,综合类,2.43,"MSCI, 油服, 油气改革, 可燃冰, 赛马, 业绩预增, 天然气, 低价股, "
6,000420.SZ,000420,吉林化纤,化纤,2.48,"碳纤维, 业绩预增, 低价股, 粘胶短纤, "
7,002526.SZ,002526,山东矿机,工程机械,2.61,"业绩预增, 无人机, 工业自动化, 智能制造, 低价股, 游戏, 手游, "
8,600317.SH,600317,营口港,港口,2.79,"振兴东北, 港口, 业绩预增, 中韩自贸区, 进口博览会, 自贸区, "
9,002113.SZ,002113,ST天润,互联网,2.98,"教育, 业绩预增, 定增破发, ST股, 游戏, 手游, "
10,000683.SZ,000683,远兴能源,化工原料,3.03,"内蒙古, 石墨电极, 甲醇, 纯碱, 回购, 业绩预增, 化肥, "
11,600159.SH,600159,大龙地产,区域地产,3.06,"北京城市规划, 业绩预增, 房地产, 京津冀, "
12,600077.SH,600077,宋都股份,全国地产,3.08,"民营医院, 业绩预增, 环杭州湾大湾区, 房地产, "
13,600863.SH,600863,内蒙华电,火力发电,3.18,"火电, MSCI, 内蒙古, 电改, 央企改革, 业绩预增, 风电, 低价股, "
14,000949.SZ,000949,新乡化纤,化纤,3.18,"业绩预增, 医药, 化学药, 粘胶短纤, "
15,300217.SZ,300217,东方电热,电器仪表,3.2,"5G, 油服, 业绩预增, 光伏, 3D玻璃, "
16,000616.SZ,000616,海航投资,全国地产,3.2,"业绩预增, 养老产业, 房地产, 资产重组, "
17,000709.SZ,000709,河钢股份,普钢,3.2,"MSCI, 钢铁, 大飞机, 回购, 有色金属, 业绩预增, 破净股, 雄安新区, 有色-钒, 京津冀, 雄安-周边, "
18,000005.SZ,000005,世纪星源,环境保护,3.3,"回购, 业绩预增, "
19,601058.SH,601058,赛轮轮胎,汽车配件,3.31,"东盟博览会, 业绩预增, 无人驾驶, 轮胎, 举牌股, "
20,600496.SH,600496,精工钢构,钢加工,3.36,"华为产业链, 业绩预增, 装配式建筑, 雄安-建材, 雄安新区, "
21,600578.SH,600578,京能电力,火力发电,3.41,"火电, 高股息, 电改, 业绩预增, 独角兽, 蚂蚁金服概念股, "
22,600017.SH,600017,日照港,港口,3.43,"港口, 业绩预增, 中韩自贸区, 山东国企改革, 自贸区, "
23,601918.SH,601918,新集能源,煤炭开采,3.44,"火电, 煤炭, 央企改革, 业绩预增, 煤化工, "
24,600227.SH,600227,圣济堂,农药化肥,3.46,"民营医院, 甲醇, 业绩预增, 保健品, 煤化工, 食品, 化肥, 医药, 中药, 化学药, 医疗器械, 创投, "
25,000629.SZ,000629,攀钢钒钛,小金属,3.55,"央企改革, 有色金属, 业绩预增, 有色-钒, 钛白粉, 有色-钛, ST摘帽, "
26,600190.SH,600190,锦州港,港口,3.57,"振兴东北, 港口, 业绩预增, 中韩自贸区, 自贸区, 资产重组, "
27,600567.SH,600567,山鹰纸业,造纸,3.59,"MSCI, 人民币升值受益, 新进指数成份股, 回购, 业绩预增, 造纸, "
28,600982.SH,600982,宁波热电,供气供热,3.66,"水电, 业绩预增, 浙江国企改革, 环杭州湾大湾区, 资产重组, "
29,600423.SH,600423,*ST柳化,农药化肥,3.7,"业绩预增, 煤化工, 化肥, 广西, ST股, "
30,002154.SZ,002154,报喜鸟,服饰,3.71,"业绩预增, 纺织服装, 举牌股, "
31,600533.SH,600533,栖霞建设,区域地产,3.76,"业绩预增, 雄安-金融, 房地产, 锂电池, 雄安新区, 互联网金融, 新能源汽车, 独角兽, "
32,002392.SZ,002392,北京利尔,其他建材,3.79,"有色-镁, 有色金属, 业绩预增, 耐火材料, "
33,600780.SH,600780,通宝能源,火力发电,3.85,"火电, 电改, 业绩预增, 破净股, 山西国企改革, "
34,300303.SZ,300303,聚飞光电,半导体,3.86,"社保重仓, 业绩预增, LED, "
35,002133.SZ,002133,广宇集团,全国地产,3.88,"业绩预增, 环杭州湾大湾区, 房地产, "
36,002535.SZ,002535,林州重机,工程机械,3.9,"业绩预增, 供应链金融, 军工, 军民融合, 锂电池, 新能源汽车, 虹膜识别, "
37,002481.SZ,002481,双塔食品,食品,3.9,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, "
38,002619.SZ,002619,艾格拉斯,互联网,3.98,"业绩预增, 地下管廊, 高质押率, PPP, 游戏, 手游, 动漫, 创投, "
39,601616.SH,601616,广电电气,电气设备,4.02,"特高压, 业绩预增, "
40,600256.SH,600256,广汇能源,石油开采,4.05,"MSCI, 煤炭, 油服, 油气改革, 可燃冰, 甲醇, 业绩预增, 天然气, 煤化工, 新疆, 恒大概念股, "
41,002489.SZ,002489,浙江永强,家居用品,4.06,"旅游, 业绩预增, 家具家居, 独角兽, "
