,ts_code,symbol,name,industry,COL_MA_10,COL_MA_20,COL_LASTPRICE,COL_INDAY_CHG,concept
0,300116.SZ,300116,坚瑞沃能,电气设备,2.06,2.01,1.86,0.02,"锂电池, 新能源汽车, 低价股, "
1,002260.SZ,002260,*ST德奥,航空,3.54,3.41,3.15,0.03,"通用航空, 农机, 小家电, 家电, ST股, 壳公司, "
2,600303.SH,600303,曙光股份,汽车整车,5.39,5.22,4.98,0.02,"新能源整车, 振兴东北, 汽车整车, 汽车零部件, 新能源汽车, 股权转让, "
3,300022.SZ,300022,吉峰科技,农用机械,5.86,5.31,5.3,0.04,"乡村振兴, 农机, "
4,300145.SZ,300145,中金环境,专用机械,5.88,5.11,5.39,0.28,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
5,002196.SZ,002196,方正电机,纺织机械,6.88,6.8,6.22,0.02,"特斯拉, "
6,600778.SH,600778,*ST友好,百货,6.4,6.35,6.37,0.3,"转基因, 新疆, 举牌股, ST股, 壳公司, "
7,600732.SH,600732,ST新梅,区域地产,7.29,6.98,6.77,0.05,"上海国企改革, 资产重组, ST股, 壳公司, "
8,300138.SZ,300138,晨光生物,食品,7.72,7.65,6.95,0.07,"海底捞概念股, 回购, 独角兽, "
9,002385.SZ,002385,大北农,饲料,7.38,6.66,7.22,0.04,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
10,002549.SZ,002549,凯美特气,环境保护,7.64,7.52,7.28,0.33,"业绩预增, 碳交易, "
11,000995.SZ,000995,*ST皇台,白酒,7.61,6.42,7.47,0.1,"教育, 白酒, 资产重组, ST股, 壳公司, "
12,002678.SZ,002678,珠江钢琴,文教休闲,7.7,7.61,7.48,0.02,"二胎, 教育, "
13,000702.SZ,000702,正虹科技,饲料,8.09,7.52,7.8,0.05,"饲料, 业绩预增, 湖南国企改革, 农垦, "
14,000911.SZ,000911,*ST南糖,食品,8.35,8.33,7.82,0.15,"食品, 白糖, 广西, 股权转让, 复牌股, ST股, "
15,002214.SZ,002214,大立科技,电器仪表,8.81,8.75,8.05,0.11,"军工, 军民融合, 智能制造, 智慧安防, 机器人, 壳公司, "
16,300511.SZ,300511,雪榕生物,种植业,9.31,9.21,8.39,0.03,"海底捞概念股, 农业种植, 独角兽, "
17,002166.SZ,002166,莱茵生物,中成药,10.17,9.68,8.58,0.38,"广西, "
18,000626.SZ,000626,远大控股,商贸代理,10.33,10.12,9.08,0.03,
19,002203.SZ,002203,海亮股份,铜,10.28,9.81,10.04,0.06,"有色金属, 有色-钴, 工业自动化, 智能制造, 有色-铜, "
20,002511.SZ,002511,中顺洁柔,造纸,10.62,10.24,10.1,0.01,"社保重仓, 回购, 造纸, "
21,300274.SZ,300274,阳光电源,电气设备,12.48,12.32,11.24,0.17,"阿里巴巴概念股, 光伏, 储能, 新能源汽车, 充电桩, "
22,002127.SZ,002127,南极电商,互联网,11.38,11.28,11.37,0.17,"MSCI, 回购, 新零售, 业绩预增, "
23,603399.SH,603399,吉翔股份,小金属,12.48,12.27,11.79,0.27,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
24,300640.SZ,300640,德艺文创,文教休闲,12.86,12.61,12.2,0.3,"人民币贬值受益, 家具家居, "
25,000038.SZ,000038,深大通,广告包装,14.42,14.12,13.18,0.42,"高质押率, 国资入股, "
26,600438.SH,600438,通威股份,饲料,14.44,13.78,13.94,0.09,"MSCI, 乡村振兴, 饲料, 业绩预增, 光伏, 举牌股, "
27,603968.SH,603968,醋化股份,化工原料,17.78,17.4,16.82,0.16,
28,002767.SZ,002767,先锋电子,电器仪表,17.87,17.55,17.84,0.74,"物联网, 智能仪表, "
29,601166.SH,601166,兴业银行,银行,19.55,19.47,19.34,0.04,"银行, MSCI, 破净股, "
30,300238.SZ,300238,冠昊生物,医疗保健,20.1,18.43,20.03,1.25,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
31,603027.SH,603027,千禾味业,食品,22.98,22.95,22.52,0.12,"社保重仓, 调味品, 业绩预增, 食品, "
32,603363.SH,603363,傲农生物,饲料,25.12,22.1,22.7,0.45,"饲料, 养猪, 动物保健, "
33,603886.SH,603886,元祖股份,食品,24.36,23.51,23.84,0.54,"食品, 休闲食品, "
34,002299.SZ,002299,圣农发展,农业综合,26.96,26.52,25.97,0.47,"MSCI, 业绩预增, 养鸡, "
35,002690.SZ,002690,美亚光电,专用机械,26.75,26.74,26.36,0.92,"社保重仓, 智能制造, 医疗器械, 机器视觉, "
36,002727.SZ,002727,一心堂,医药商业,28.34,27.41,27.91,0.11,"医药商业, 医药, 医疗信息化, "
37,300659.SZ,300659,中孚信息,软件服务,34.18,33.64,33.45,0.73,"网络安全, 国产软件, 资产重组, "
38,603501.SH,603501,韦尔股份,半导体,55.69,55.55,54.8,2.29,"回购, 小米概念股, 半导体, 国产芯片, 资产重组, "
39,300529.SZ,300529,健帆生物,医疗保健,60.93,59.87,59.86,1.36,"新进指数成份股, 社保重仓, 医疗器械, "
40,601888.SH,601888,中国国旅,旅游服务,78.12,75.51,76.01,1.01,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, "
41,603160.SH,603160,汇顶科技,元器件,127.92,118.43,118.43,2.43,"高价股, 华为产业链, 小米概念股, 人工智能, 指纹识别, 半导体, 3D感应, 国产芯片, 手势识别, 人脸识别, "
