,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_MA_5_SLOPE,COL_MA_10_SLOPE,COL_MA_20_SLOPE,COL_LASTPRICE,concept
0,601588.SH,601588,北辰实业,区域地产,3.92,3.8,3.74,1.82,0.8,0.54,4.03,"北京城市规划, 破净股, 房地产, 京津冀, "
1,600322.SH,600322,天房发展,区域地产,4.16,3.98,3.92,2.21,0.76,0.51,4.18,"雄安-地产, 破净股, 房地产, 雄安新区, 京津冀, 自贸区, 天津国企改革, 天津自贸区, "
2,600368.SH,600368,五洲交通,路桥,4.51,4.27,4.19,7.13,3.14,1.95,5.39,"高速公路, 一带一路, 东盟博览会, 广西, "
3,600287.SH,600287,江苏舜天,商贸代理,6.94,6.81,6.79,3.58,1.49,0.74,7.8,"参股券商, 期货概念, "
4,600626.SH,600626,申达股份,纺织,7.11,6.91,6.85,3.34,1.47,1.18,7.93,"汽车零部件, 上海国企改革, 进口博览会, "
5,000566.SZ,000566,海南海药,化学制药,8.52,8.18,8.02,1.43,1.36,0.63,8.68,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, "
6,601933.SH,601933,永辉超市,超市连锁,9.45,9.28,9.24,0.85,0.43,0.33,9.5,"白马股, MSCI, 大消费, 金改, 海底捞概念股, 新零售, 腾讯概念股, "
7,600410.SH,600410,华胜天成,软件服务,9.73,9.41,9.31,1.25,0.53,0.22,9.76,"阿里巴巴概念股, 国家队重仓, 回购, 军工, 军民融合, 物联网, 智慧物流, 网络安全, 智能制造, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 国产软件, 国产芯片, 科创板概念股, 透明工厂, "
8,000043.SZ,000043,中航善达,房产服务,10.5,9.94,9.37,4.17,2.37,1.41,11.59,"央企改革, 军工研究所, 业绩预增, 军工, 房地产, "
9,000815.SZ,000815,美利云,造纸,11.81,10.42,9.95,3.96,1.96,1.43,11.7,"大数据, 云计算, 造纸, 宁夏, "
10,603703.SH,603703,盛洋科技,通信设备,12.15,12.0,11.96,1.93,1.01,0.34,13.03,"量子通信, LED, "
11,603777.SH,603777,来伊份,食品,13.28,12.8,12.58,3.11,2.15,0.96,14.84,"大消费, 回购, 新零售, 食品, 休闲食品, 进口博览会, "
12,002695.SZ,002695,煌上煌,食品,14.18,13.43,13.22,3.58,1.67,0.76,15.03,"食品, 休闲食品, "
13,600004.SH,600004,白云机场,机场,14.87,14.56,14.48,1.09,0.62,0.14,15.09,"机场, MSCI, 新进指数成份股, 粤港澳大湾区, "
14,002910.SZ,002910,庄园牧场,乳制品,14.92,14.61,14.56,1.29,0.83,0.07,15.42,"食品, 乳业（奶粉）, "
15,300405.SZ,300405,科隆股份,化工原料,13.01,11.36,10.62,10.07,5.28,3.01,15.6,"石油化工, "
16,002895.SZ,002895,川恒股份,化工原料,14.91,14.55,14.41,1.64,1.46,0.63,16.01,"高质押率, 磷化工, "
17,601116.SH,601116,三江购物,超市连锁,14.75,14.3,13.98,4.46,2.44,1.16,16.92,"阿里巴巴概念股, 新零售, "
18,000876.SZ,000876,新希望,饲料,16.43,15.46,15.0,2.62,1.84,0.74,17.07,"MSCI, 东盟博览会, 金改, 饲料, 养猪, 独角兽, 蚂蚁金服概念股, "
19,300566.SZ,300566,激智科技,元器件,18.55,18.09,17.86,0.27,-0.06,-0.17,17.92,"OLED, 华为产业链, 小米概念股, LED, "
20,002793.SZ,002793,东音股份,专用机械,16.53,14.72,13.87,9.54,4.77,2.44,19.82,
21,002411.SZ,002411,延安必康,化学制药,20.11,19.76,19.67,0.65,0.1,0.0,20.0,"高质押率, 医药, 中药, 化学药, 锂电池, 新能源汽车, 股权转让, 国资入股, "
22,300578.SZ,300578,会畅通讯,通信设备,25.96,25.27,25.0,0.15,0.08,-0.32,24.44,"业绩预增, 大数据, 资产重组, "
23,002679.SZ,002679,福建金森,林业,26.5,25.72,25.08,1.03,0.78,0.24,26.4,"土地流转, 林业, "
24,002847.SZ,002847,盐津铺子,食品,31.09,30.84,29.41,1.7,1.41,0.79,32.57,"大消费, 高送转-预期, 社保重仓, 食品, 休闲食品, "
25,300659.SZ,300659,中孚信息,软件服务,35.07,34.18,33.64,0.29,0.23,-0.12,33.45,"网络安全, 国产软件, 资产重组, "
26,002234.SZ,002234,民和股份,农业综合,37.18,34.54,31.56,2.28,2.13,1.77,38.14,"养鸡, "
27,603345.SH,603345,安井食品,食品,44.13,42.28,41.45,0.96,0.93,0.17,43.6,"海底捞概念股, 社保重仓, 独角兽, "
28,603508.SH,603508,思维列控,软件服务,50.9,48.39,47.12,4.97,1.75,1.25,58.0,"回购, 无人机, 高铁轨交, 资产重组, "
29,600763.SH,600763,通策医疗,医疗保健,74.32,71.01,69.38,1.91,0.95,0.38,74.46,"健康中国, 二胎, 民营医院, 业绩预增, "
30,603288.SH,603288,海天味业,食品,87.59,86.97,86.59,0.57,0.27,0.2,88.5,"白马股, MSCI, 大消费, 调味品, 食品, "
